,tweet,clean_tweet,hastags,attherate,urls,emojis,label
81,Coronavirus goes to Assembly house🏠🏠,coronaviru assembl hous ,[],[],[],"['🏠', '🏠']",0
82,"""Noone is concerned about us. No one came to look after or to listen to us. We truly appreciate your timely help"", says Tapsika.  Ration, essentials and medicine kits distributed to over 100 transgender families.  सर्वे भवन्तु सुखिन: 🙏    #coronavirus  https://t.co/ypFXsLdk8q",concern look listen truli appreci time help tapsika ration essenti medicin kit distribut transgend famili ,['#coronavirus'],[],['https://t.co/ypFXsLdk8q'],['🙏'],0
83,Sweat-sniffer dogs make Thai debut as coronavirus detectors  https://t.co/OUogbx78fv,sweatsniff dog thai debut coronaviru detector ,[],[],['https://t.co/OUogbx78fv'],[],0
84,When it comes on us it very hard to be practical ❤️.  MY WARMEST HEART AND LOVE TO ALL WHO LOST THEIR LOVED ✨ #coronavirus #CovidIndia #COVID #Covid_19 #lockdown #nashiklockdownupdates #nashik #nashiklockdown #CoronaSecondWave,hard practic warmest heart love lose love ,"['#coronavirus', '#CovidIndia', '#COVID', '#Covid_19', '#lockdown', '#nashiklockdownupdates', '#nashik', '#nashiklockdown', '#CoronaSecondWave']",[],[],"['❤️', '✨']",0
85,@PMOIndia @narendramodi You're strong leader with nice speaking skills  But you must accept that you hadn't done much in health sector before #covid and still you all thought we'd defeated #coronavirus Your plannings are good but your prioritise says something else.,your strong leader speak skill accept hadnt health sector thought wed defeat plan prioritis ,"['#covid', '#coronavirus']","['@PMOIndia', '@narendramodi']",[],[],0
87,#Indianvariantvirus.. Are you fed up with this word? How come all are using this #word casually rather than b.1617? Same #media does not have courage to tell #COVID19 as #chinesevirus. Let's trend this.. #b2305 #COVIDEmergency #CongressToolkitExposed #coronavirus #ChinaGenocida,fed word casual courag tell trend ,"['#Indianvariantvirus..', '#word', '#media', '#COVID19', '#chinesevirus.', '#b2305', '#COVIDEmergency', '#CongressToolkitExposed', '#coronavirus', '#ChinaGenocida']",[],[],[],0
88,"#Mucormycosis is ravaging the country just as we are recovering from #coronavirus. Also known as #BlackFungus, it is making the condition of health workers dire. Watch the full video at  https://t.co/SQ0XdIer3X  @otvnews @CMO_Odisha @DMSundargarh  #COVID19India #Covid19IndiaHelp  https://t.co/TNM4XvM7xT",ravag countri recov condit health worker dire watch video ,"['#Mucormycosis', '#coronavirus.', '#BlackFungus,', '#COVID19India', '#Covid19IndiaHelp']","['@otvnews', '@CMO_Odisha', '@DMSundargarh']","['https://t.co/SQ0XdIer3X', 'https://t.co/TNM4XvM7xT']",[],0
90,Dr Fauci now 'not convinced' COVID-19 developed naturally; calls for origin to be probed: So President Trump was right then when he said virus originated from China ! @mikepompeo @SecBlinken @Arzookazmi30 @   https://t.co/Q1biwMASeQ #Fauci #coronavirus #SARS-CoV-2 #Wuhan,fauci convinc covid develop natur call origin probe presid trump viru origin china ,"['#Fauci', '#coronavirus', '#SARS-CoV-2', '#Wuhan']","['@mikepompeo', '@SecBlinken', '@Arzookazmi30', '@']",['https://t.co/Q1biwMASeQ'],[],0
91,Union Health Minister Asks Baba Ramdev to Withdraw His Comment Against Allopathy Read ➡️  https://t.co/fPmpZjzI0d  #Ramdev #ArrestRamdev #ArrestBabaRamdev #Allopathy #COVID19 #coronavirus #India #YellowTelegraph  https://t.co/ujKSpPtM99,union health minist ask baba ramdev withdraw comment allopathi read ,"['#Ramdev', '#ArrestRamdev', '#ArrestBabaRamdev', '#Allopathy', '#COVID19', '#coronavirus', '#India', '#YellowTelegraph']",[],"['https://t.co/fPmpZjzI0d', 'https://t.co/ujKSpPtM99']",['➡️'],0
92,Suspending entry to the Kingdom from the countries on the Red List &amp; applying a precautionary quarantine to non-vaccinated persons from all countries  https://t.co/Kuu3ha57q5  #Bahrain #travel #COVID19  #coronavirus  #vaccinated #India #Nepal #Srilanka #Pakistan #Bangladesh #بحرين,suspend entri kingdom countri red list appli precautionari quarantin nonvaccin person countri ,"['#Bahrain', '#travel', '#COVID19', '#coronavirus', '#vaccinated', '#India', '#Nepal', '#Srilanka', '#Pakistan', '#Bangladesh', '#بحرين']",[],['https://t.co/Kuu3ha57q5'],[],0
96,JOIN US ! ➡️ #आत्मसुरक्षाविश्वसुरक्षा |  #COVID19 #coronavirus #MaskUpIndia  https://t.co/cdL8YyIIt7,join ,"['#आत्मसुरक्षाविश्वसुरक्षा', '#COVID19', '#coronavirus', '#MaskUpIndia']",[],['https://t.co/cdL8YyIIt7'],['➡️'],0
97,Only #coronavirus will be #banned from Rest of working as of now #BanTWITTER #BanTwitterInIndia #FacebookBan ...  https://t.co/gzgg0Wt809,rest work ,"['#coronavirus', '#banned', '#BanTWITTER', '#BanTwitterInIndia', '#FacebookBan']",[],['https://t.co/gzgg0Wt809'],[],0
98,"#Health and #Hygiene Kits are one of the major initiatives we took up to safeguard vulnerable people from getting infected from the extremely Contagious novel coronavirus. We have distributed 50 such kits in Sewa Basti, Nagpur.  https://t.co/4tIzn0NptE",kit major initi safeguard vulner peopl infect extrem contagi novel coronaviru distribut kit sewa basti nagpur ,"['#Health', '#Hygiene']",[],['https://t.co/4tIzn0NptE'],[],0
103,Thai retail store Big C in #Vietnam’s capital suspended for #coronavirus-associated disinfection  https://t.co/uedg5cv8Rm,thai retail store big capit suspend disinfect ,"['#Vietnam’s', '#coronavirus-associated']",[],['https://t.co/uedg5cv8Rm'],[],0
104,"25 May 2021 : Bulletin on Novel #CoronaVirus ( #COVID19 ) #Jammu and #Kashmir reports 2964 new positive cases, 227242 recovered so far  https://t.co/DP29vQKJEm",bulletin novel report new posit case recov far ,"['#CoronaVirus', '#COVID19', '#Jammu', '#Kashmir']",[],['https://t.co/DP29vQKJEm'],[],0
105,Revised and consolidated directives for containment of #COVID19 cases for #Rural areas in #Assam.   #coronavirus #StayHome #StaySafe  https://t.co/CNddGW9is1,revis consolid direct contain case area ,"['#COVID19', '#Rural', '#Assam.', '#coronavirus', '#StayHome', '#StaySafe']",[],['https://t.co/CNddGW9is1'],[],0
106,"Coronavirus | It’s MOVID pandemic, a Modi-made disaster, says Congress - The Hindu  https://t.co/0RHaMjQTnJ",coronaviru movid pandem modimad disast congress hindu ,[],[],['https://t.co/0RHaMjQTnJ'],[],0
108,How did Sharif family made properties of billions of rupees in London: Fawad Chaudhry.  #PakistanMovingForward #Pakistan #COVID19 #CancelAllBoardExams #cryptocurrency #CancelExamsSaveStudents #coronavirus #AWNews  https://t.co/2l5VF00GTZ,sharif famili properti billion rupe london fawad chaudhri ,"['#PakistanMovingForward', '#Pakistan', '#COVID19', '#CancelAllBoardExams', '#cryptocurrency', '#CancelExamsSaveStudents', '#coronavirus', '#AWNews']",[],['https://t.co/2l5VF00GTZ'],[],0
109,Omar Ayub emphasizes on timely completion of 20 foreign funded projects worth $7.4 billion.  #PakistanMovingForward #Pakistan #coronavirus #COVID19 #AWNews  https://t.co/VZsQ6n0Q1z,omar ayub emphas time complet foreign fund project worth billion ,"['#PakistanMovingForward', '#Pakistan', '#coronavirus', '#COVID19', '#AWNews']",[],['https://t.co/VZsQ6n0Q1z'],[],0
110,"PM urges youth to take advantage of Skills Education, Kamyab Jawan Programs.  #PakistanMovingForward #Pakistan #ImranKhan #COVID19 #coronavirus #PTI  https://t.co/Cfbiss74fE",urg youth advantag skill educ kamyab jawan program ,"['#PakistanMovingForward', '#Pakistan', '#ImranKhan', '#COVID19', '#coronavirus', '#PTI']",[],['https://t.co/Cfbiss74fE'],[],0
