,Unnamed: 0,tweet,language,hastags,attherate,urls,tokenized_Tweet,filteredToken,clean_tweet
10,10,@ianbremmer @gzeromedia 1 - Modi attended tons of rallies not wearing a mask  2 - The health minister literally participated  in the launch of a fake cure for Coronavirus introduced by a notorious quack:   https://t.co/MomlbF0skG,en,[],"['@ianbremmer', '@gzeromedia']",['https://t.co/MomlbF0skG'],"['ianbremmer', 'gzeromedia', '1', 'Modi', 'attended', 'tons', 'of', 'rallies', 'not', 'wearing', 'a', 'mask', '2', 'The', 'health', 'minister', 'literally', 'participated', 'in', 'the', 'launch', 'of', 'a', 'fake', 'cure', 'for', 'Coronavirus', 'introduced', 'by', 'a', 'notorious', 'quack', 'https', 't.co/MomlbF0skG']","['fake', 'Modi', 'attended', 'rallies', 'tons', 'introduced', '2', 'literally', 'https', 'notorious', 'participated', 'ianbremmer', 'launch', 'mask', 'gzeromedia', 'health', 't.co/MomlbF0skG', 'cure', '1', 'quack', 'minister', 'The', 'wearing', 'Coronavirus']", 1  Modi attended tons of rallies not wearing a mask 2  The health minister literally participated in the launch of a fake cure for Coronavirus introduced by a notorious quack: 
11,11,The country is not in a state of shock because the healthcare system has collapsed. It is in the state of shock because the #healthcare system has #collapsed for the #Rich too.  #health #medicines #doctors #coronavirus #wellness #nurses #care #Mentalhealth #hospitals,en,"['#healthcare', '#collapsed', '#Rich', '#health', '#medicines', '#doctors', '#coronavirus', '#wellness', '#nurses', '#care', '#Mentalhealth', '#hospitals']",[],[],"['The', 'country', 'is', 'not', 'in', 'a', 'state', 'of', 'shock', 'because', 'the', 'healthcare', 'system', 'has', 'collapsed', 'It', 'is', 'in', 'the', 'state', 'of', 'shock', 'because', 'the', 'healthcare', 'system', 'has', 'collapsed', 'for', 'the', 'Rich', 'too', 'health', 'medicines', 'doctors', 'coronavirus', 'wellness', 'nurses', 'care', 'Mentalhealth', 'hospitals']","['state', 'collapsed', 'Mentalhealth', 'care', 'Rich', 'health', 'nurses', 'healthcare', 'The', 'coronavirus', 'shock', 'country', 'system', 'hospitals', 'wellness', 'medicines', 'It', 'doctors']",The country is not in a state of shock because the healthcare system has collapsed It is in the state of shock because the system has for the too 
12,12,@Atmos_Air Very healthy report about transmission of corona virus.,en,[],['@Atmos_Air'],[],"['Atmos_Air', 'Very', 'healthy', 'report', 'about', 'transmission', 'of', 'corona', 'virus']","['report', 'Atmos_Air', 'corona', 'healthy', 'Very', 'transmission', 'virus']", Very healthy report about transmission of corona virus
13,13,11 hrs no #electricity in #Titwala @CMOMaharashtra @ThePrintIndia @OfficeofUT @ndtv @ABPNews @LoksattaLive worse than #coronavirus,en,"['#electricity', '#Titwala', '#coronavirus']","['@CMOMaharashtra', '@ThePrintIndia', '@OfficeofUT', '@ndtv', '@ABPNews', '@LoksattaLive']",[],"['11', 'hrs', 'no', 'electricity', 'in', 'Titwala', 'CMOMaharashtra', 'ThePrintIndia', 'OfficeofUT', 'ndtv', 'ABPNews', 'LoksattaLive', 'worse', 'than', 'coronavirus']","['LoksattaLive', 'ABPNews', 'hrs', 'Titwala', 'ndtv', 'OfficeofUT', 'coronavirus', 'worse', 'electricity', '11', 'ThePrintIndia', 'CMOMaharashtra']",11 hrs no in worse than 
14,14,"The third wave of coronavirus has rung alarm bells as it is proving to be more lethal and contagious than before. Keeping in view the expansion of coronavirus cases across the country, third-time educational institutions are closed. No one knows when this dilemma will end. #CL  https://t.co/0VHmYc6FcA",en,['#CL'],[],['https://t.co/0VHmYc6FcA'],"['The', 'third', 'wave', 'of', 'coronavirus', 'has', 'rung', 'alarm', 'bells', 'as', 'it', 'is', 'proving', 'to', 'be', 'more', 'lethal', 'and', 'contagious', 'than', 'before', 'Keeping', 'in', 'view', 'the', 'expansion', 'of', 'coronavirus', 'cases', 'across', 'the', 'country', 'third-time', 'educational', 'institutions', 'are', 'closed', 'No', 'one', 'knows', 'when', 'this', 'dilemma', 'will', 'end', 'CL', 'https', 't.co/0VHmYc6FcA']","['cases', 'wave', 'third-time', 'https', 'institutions', 'lethal', 'bells', 'across', 'alarm', 'contagious', 'Keeping', 'coronavirus', 'proving', 'knows', 'third', 'CL', 'dilemma', 'rung', 'end', 'educational', 'view', 'No', 'one', 'expansion', 'closed', 'The', 'country', 't.co/0VHmYc6FcA']",The third wave of coronavirus has rung alarm bells as it is proving to be more lethal and contagious than before Keeping in view the expansion of coronavirus cases across the country thirdtime educational institutions are closed No one knows when this dilemma will end 
15,15,Officially: for the 1st time “WHO” allows the Sinopharm vaccine against Coronavirus.  https://t.co/b6JPs4MuzA  #vaccination #vaccinated #Sinopharm #who #COVID19 #coronavirus #Bahrain #بحرين #Bahrain,en,"['#vaccination', '#vaccinated', '#Sinopharm', '#who', '#COVID19', '#coronavirus', '#Bahrain', '#بحرين', '#Bahrain']",[],['https://t.co/b6JPs4MuzA'],"['Officially', 'for', 'the', '1st', 'time', '“', 'WHO', '”', 'allows', 'the', 'Sinopharm', 'vaccine', 'against', 'Coronavirus', 'https', 't.co/b6JPs4MuzA', 'vaccination', 'vaccinated', 'Sinopharm', 'who', 'COVID19', 'coronavirus', 'Bahrain', 'بحرين', 'Bahrain']","['WHO', '”', 'Sinopharm', '“', 't.co/b6JPs4MuzA', 'time', 'Bahrain', 'Officially', '1st', 'coronavirus', 'vaccinated', 'https', 'COVID19', 'vaccine', 'allows', 'vaccination', 'Coronavirus', 'بحرين']",Officially: for the 1st time “WHO” allows the Sinopharm vaccine against Coronavirus  
16,16,Australia aiming to begin India repatriation flights next week after backlash to travel ban  https:#COVID19India #Australia #India #coronavirus  https://t.co/VuC5nWV3J0,en,"['#Australia', '#India', '#coronavirus']",[],"['https:#COVID19India', 'https://t.co/VuC5nWV3J0']","['Australia', 'aiming', 'to', 'begin', 'India', 'repatriation', 'flights', 'next', 'week', 'after', 'backlash', 'to', 'travel', 'ban', 'https', 'COVID19India', 'Australia', 'India', 'coronavirus', 'https', 't.co/VuC5nWV3J0']","['backlash', 'Australia', 'aiming', 'travel', 'ban', 'next', 'repatriation', 'India', 'https', 'coronavirus', 'week', 't.co/VuC5nWV3J0', 'begin', 'flights', 'COVID19India']",Australia aiming to begin India repatriation flights next week after backlash to travel ban https: 
17,17,COVID-19 infections and deaths are mounting with alarming speed in India with no end in sight to the crisis. #coronavirus #COVIDEmergencyIndia  https://t.co/9ZBzIjiX7o,en,"['#coronavirus', '#COVIDEmergencyIndia']",[],['https://t.co/9ZBzIjiX7o'],"['COVID-19', 'infections', 'and', 'deaths', 'are', 'mounting', 'with', 'alarming', 'speed', 'in', 'India', 'with', 'no', 'end', 'in', 'sight', 'to', 'the', 'crisis', 'coronavirus', 'COVIDEmergencyIndia', 'https', 't.co/9ZBzIjiX7o']","['alarming', 'sight', 'infections', 't.co/9ZBzIjiX7o', 'coronavirus', 'end', 'https', 'COVIDEmergencyIndia', 'deaths', 'speed', 'mounting', 'India', 'COVID-19', 'crisis']",COVID19 infections and deaths are mounting with alarming speed in India with no end in sight to the crisis 
18,18,"New cases in India have surpassed 400,000—the highest caseload yet. Even that is sure to be an underestimate #coronavirus #CovidIndia #news  https://t.co/pIZhTf6F5i",en,"['#coronavirus', '#CovidIndia', '#news']",[],['https://t.co/pIZhTf6F5i'],"['New', 'cases', 'in', 'India', 'have', 'surpassed', '400,000—the', 'highest', 'caseload', 'yet', 'Even', 'that', 'is', 'sure', 'to', 'be', 'an', 'underestimate', 'coronavirus', 'CovidIndia', 'news', 'https', 't.co/pIZhTf6F5i']","['caseload', 'cases', 'Even', 'underestimate', 'yet', 'surpassed', 'coronavirus', 'highest', 'https', 'India', 'New', 't.co/pIZhTf6F5i', '400,000—the', 'news', 'CovidIndia', 'sure']",New cases in India have surpassed 400000—the highest caseload yet Even that is sure to be an underestimate 
19,19,India moves fastest to stock up on Covid-19 vaccines  #CoronaVaccine #coronavirus #Covid_19 #Covid_19Vaccine #COVID  https://t.co/xKSJiuZcr9 via @indiatoday,en,"['#CoronaVaccine', '#coronavirus', '#Covid_19', '#Covid_19Vaccine', '#COVID']",['@indiatoday'],['https://t.co/xKSJiuZcr9'],"['India', 'moves', 'fastest', 'to', 'stock', 'up', 'on', 'Covid-19', 'vaccines', 'CoronaVaccine', 'coronavirus', 'Covid_19', 'Covid_19Vaccine', 'COVID', 'https', 't.co/xKSJiuZcr9', 'via', 'indiatoday']","['fastest', 'vaccines', 'Covid_19', 'stock', 'Covid-19', 'India', 'coronavirus', 'Covid_19Vaccine', 'COVID', 'https', 'CoronaVaccine', 't.co/xKSJiuZcr9', 'via', 'indiatoday', 'moves']",India moves fastest to stock up on Covid19 vaccines  via 
20,20,"India reports 3,57,229 new #COVID19 cases, 3,20,289 discharges and 3,449 deaths in the last 24 hours, as per Union Health Ministry   Total cases: 2,02,82,833 Total recoveries: 1,66,13,292 Death toll: 2,22,408 Active cases: 34,47,133  Total vaccination: 15,89,32,921  #coronavirus",en,"['#COVID19', '#coronavirus']",[],[],"['India', 'reports', '3,57,229', 'new', 'COVID19', 'cases', '3,20,289', 'discharges', 'and', '3,449', 'deaths', 'in', 'the', 'last', '24', 'hours', 'as', 'per', 'Union', 'Health', 'Ministry', 'Total', 'cases', '2,02,82,833', 'Total', 'recoveries', '1,66,13,292', 'Death', 'toll', '2,22,408', 'Active', 'cases', '34,47,133', 'Total', 'vaccination', '15,89,32,921', 'coronavirus']","['toll', 'Health', 'cases', '1,66,13,292', 'hours', 'deaths', 'reports', 'Ministry', 'vaccination', '24', 'last', '2,22,408', '34,47,133', 'coronavirus', '3,449', 'per', 'new', 'Death', 'Active', 'Union', '2,02,82,833', 'discharges', '15,89,32,921', 'recoveries', 'COVID19', 'India', '3,57,229', 'Total', '3,20,289']",India reports 357229 new cases 320289 discharges and 3449 deaths in the last 24 hours as per Union Health Ministry Total cases: 20282833 Total recoveries: 16613292 Death toll: 222408 Active cases: 3447133 Total vaccination: 158932921 
21,21,"""English"" Has been Effected by Corona Virus. 😂😂🤐                    (Rip in Advance)  https://t.co/Sq1LQPU8xP",en,[],[],['https://t.co/Sq1LQPU8xP'],"['English', 'Has', 'been', 'Effected', 'by', 'Corona', 'Virus', '😂😂🤐', 'Rip', 'in', 'Advance', 'https', 't.co/Sq1LQPU8xP']","['Has', 'Corona', 't.co/Sq1LQPU8xP', 'English', 'Effected', 'Advance', '😂😂🤐', 'Rip', 'Virus', 'https']",English Has been Effected by Corona Virus 😂😂🤐 (Rip in Advance) 
22,22,May these difficult times gets over soon. #coronavirus  ❤️🤞 #WeWillRiseAgain  #FightAgainstCorona,en,"['#coronavirus', '#WeWillRiseAgain', '#FightAgainstCorona']",[],[],"['May', 'these', 'difficult', 'times', 'gets', 'over', 'soon', 'coronavirus', '❤️🤞', 'WeWillRiseAgain', 'FightAgainstCorona']","['May', 'difficult', '❤️🤞', 'WeWillRiseAgain', 'times', 'coronavirus', 'FightAgainstCorona', 'gets', 'soon']",May these difficult times gets over soon ❤️🤞 
23,23,In case any one in need Noor nagar sarvoday school  30 beds+oxygen support  Johri Farm Association #coronavirus #CoronaSecondWave #OxygenCrisis #COVIDEmergency  https://t.co/lQ3i4kgOoF,en,"['#coronavirus', '#CoronaSecondWave', '#OxygenCrisis', '#COVIDEmergency']",[],['https://t.co/lQ3i4kgOoF'],"['In', 'case', 'any', 'one', 'in', 'need', 'Noor', 'nagar', 'sarvoday', 'school', '30', 'beds+oxygen', 'support', 'Johri', 'Farm', 'Association', 'coronavirus', 'CoronaSecondWave', 'OxygenCrisis', 'COVIDEmergency', 'https', 't.co/lQ3i4kgOoF']","['beds+oxygen', 'need', 'https', '30', 'In', 'school', 'support', 'OxygenCrisis', 'coronavirus', 't.co/lQ3i4kgOoF', 'nagar', 'Association', 'CoronaSecondWave', 'Farm', 'sarvoday', 'case', 'one', 'COVIDEmergency', 'Noor', 'Johri']",In case any one in need Noor nagar sarvoday school 30 beds+oxygen support Johri Farm Association 
24,24,"Last year it was just about #surviving #lockdown,   this year it's about #survival  Yatindar Bansal   #qoutes #coronavirus #coronastrain #lockdown #Delhi #Mumbai #IndiaFightsBack",en,"['#surviving', '#lockdown,', '#survival', '#qoutes', '#coronavirus', '#coronastrain', '#lockdown', '#Delhi', '#Mumbai', '#IndiaFightsBack']",[],[],"['Last', 'year', 'it', 'was', 'just', 'about', 'surviving', 'lockdown', 'this', 'year', 'it', ""'s"", 'about', 'survival', 'Yatindar', 'Bansal', 'qoutes', 'coronavirus', 'coronastrain', 'lockdown', 'Delhi', 'Mumbai', 'IndiaFightsBack']","['Last', 'Yatindar', 'Delhi', 'Mumbai', 'qoutes', 'coronastrain', 'Bansal', 'survival', 'coronavirus', 'year', 'IndiaFightsBack', 'lockdown', 'surviving', ""'s""]",Last year it was just about this year its about Yatindar Bansal 
25,25,"Greetings !! Hope everything is fine out there.  Nothing lasts forever. This shall pass too.  Stay Home, Stay Safe – is the only best medicine found till now against coronavirus. Take care of yourself and your family #STAYTUNED :  https://t.co/SHxucegqv1  # PRAY🙏🏻   :  @SURAJKALRA",en,"['#STAYTUNED', '#']",['@SURAJKALRA'],['https://t.co/SHxucegqv1'],"['Greetings', 'Hope', 'everything', 'is', 'fine', 'out', 'there', 'Nothing', 'lasts', 'forever', 'This', 'shall', 'pass', 'too', 'Stay', 'Home', 'Stay', 'Safe', '–', 'is', 'the', 'only', 'best', 'medicine', 'found', 'till', 'now', 'against', 'coronavirus', 'Take', 'care', 'of', 'yourself', 'and', 'your', 'family', 'STAYTUNED', 'https', 't.co/SHxucegqv1', 'PRAY🙏🏻', 'SURAJKALRA']","['pass', 'https', 'Stay', 'Nothing', 'STAYTUNED', '–', 'Take', 'everything', 'best', 'coronavirus', 'medicine', 'found', 'fine', 'Home', 'family', 'This', 'PRAY🙏🏻', 'Greetings', 't.co/SHxucegqv1', 'forever', 'Safe', 'shall', 'lasts', 'care', 'SURAJKALRA', 'Hope', 'till']",Greetings  Hope everything is fine out there Nothing lasts forever This shall pass too Stay Home Stay Safe – is the only best medicine found till now against coronavirus Take care of yourself and your family :  # PRAY🙏🏻 : 
26,26,"You call out 17 Muslim names and ask if it's a ""Madrassa""... So was it a matta or a church that the other 180 were non Muslim? #TejasviSuryaExposed #BJP #COVIDSecondWave #COVID19India #COVIDEmergency2021 #Corona #coronavirus #ModiHataoDeshBachao",en,"['#TejasviSuryaExposed', '#BJP', '#COVIDSecondWave', '#COVID19India', '#COVIDEmergency2021', '#Corona', '#coronavirus', '#ModiHataoDeshBachao']",[],[],"['You', 'call', 'out', '17', 'Muslim', 'names', 'and', 'ask', 'if', 'it', ""'s"", 'a', 'Madrassa', 'So', 'was', 'it', 'a', 'matta', 'or', 'a', 'church', 'that', 'the', 'other', '180', 'were', 'non', 'Muslim', 'TejasviSuryaExposed', 'BJP', 'COVIDSecondWave', 'COVID19India', 'COVIDEmergency2021', 'Corona', 'coronavirus', 'ModiHataoDeshBachao']","['BJP', 'names', 'COVIDEmergency2021', 'COVIDSecondWave', 'call', 'You', 'church', 'ask', 'Corona', 'coronavirus', 'Muslim', 'COVID19India', 'matta', 'non', '180', ""'s"", 'So', 'Madrassa', 'ModiHataoDeshBachao', '17', 'TejasviSuryaExposed']",You call out 17 Muslim names and ask if its a Madrassa So was it a matta or a church that the other 180 were non Muslim 
27,27,#actionagainstchina #WorldForgetChina! Birthplace of #coronavirus. #China is celebrating Wuhan Music Festival &amp; rest of world fighting for #breath!  Time to take strict action by #UnitedNation &amp; we all shud protest fuckin #China!  https://t.co/2h1tJSoXtu,en,"['#actionagainstchina', '#WorldForgetChina!', '#coronavirus.', '#China', '#breath!', '#UnitedNation', '#China!']",[],['https://t.co/2h1tJSoXtu'],"['actionagainstchina', 'WorldForgetChina', 'Birthplace', 'of', 'coronavirus', 'China', 'is', 'celebrating', 'Wuhan', 'Music', 'Festival', 'amp', 'rest', 'of', 'world', 'fighting', 'for', 'breath', 'Time', 'to', 'take', 'strict', 'action', 'by', 'UnitedNation', 'amp', 'we', 'all', 'shud', 'protest', 'fuckin', 'China', 'https', 't.co/2h1tJSoXtu']","['amp', 'world', 'strict', 'shud', 'actionagainstchina', 'https', 'Time', 'WorldForgetChina', 'UnitedNation', 'Music', 'coronavirus', 'fighting', 'fuckin', 'protest', 'Wuhan', 'China', 'Birthplace', 'breath', 'celebrating', 'rest', 't.co/2h1tJSoXtu', 'take', 'Festival', 'action']", Birthplace of is celebrating Wuhan Music Festival amp rest of world fighting for Time to take strict action by amp we all shud protest fuckin 
28,28,"@hamzashafqaat @Asma_Baloch In fact, not giving space to coronavirus 🤫🤫  https://t.co/KLRbS4wTrR",en,[],"['@hamzashafqaat', '@Asma_Baloch']",['https://t.co/KLRbS4wTrR'],"['hamzashafqaat', 'Asma_Baloch', 'In', 'fact', 'not', 'giving', 'space', 'to', 'coronavirus', '🤫🤫', 'https', 't.co/KLRbS4wTrR']","['Asma_Baloch', 't.co/KLRbS4wTrR', '🤫🤫', 'hamzashafqaat', 'fact', 'coronavirus', 'https', 'space', 'In', 'giving']", In fact not giving space to coronavirus 🤫🤫 
29,29,Verified by volunteers. #coronavirüsü #coronaoutbreak #coronaupdate #coronaout #coronanews #coronacapital #coronavírus #coronavirüs #hmmm #coronavirusindia #coronavirusindiapdate #covıd #covi̇d19 #covid19news #covi̇d_19 #covidtimes #covidnews #covid1948 #stayhome  https://t.co/KavzGcO6DB,en,"['#coronavirüsü', '#coronaoutbreak', '#coronaupdate', '#coronaout', '#coronanews', '#coronacapital', '#coronavírus', '#coronavirüs', '#hmmm', '#coronavirusindia', '#coronavirusindiapdate', '#covıd', '#covi̇d19', '#covid19news', '#covi̇d_19', '#covidtimes', '#covidnews', '#covid1948', '#stayhome']",[],['https://t.co/KavzGcO6DB'],"['Verified', 'by', 'volunteers', 'coronavirüsü', 'coronaoutbreak', 'coronaupdate', 'coronaout', 'coronanews', 'coronacapital', 'coronavírus', 'coronavirüs', 'hmmm', 'coronavirusindia', 'coronavirusindiapdate', 'covıd', 'covi̇d19', 'covid19news', 'covi̇d_19', 'covidtimes', 'covidnews', 'covid1948', 'stayhome', 'https', 't.co/KavzGcO6DB']","['Verified', 'coronavírus', 'covid19news', 'covıd', 'hmmm', 'covidtimes', 'https', 't.co/KavzGcO6DB', 'covid1948', 'covi̇d_19', 'coronaupdate', 'covidnews', 'coronavirüs', 'coronacapital', 'coronaout', 'volunteers', 'coronavirusindia', 'stayhome', 'coronavirusindiapdate', 'coronanews', 'coronaoutbreak', 'coronavirüsü', 'covi̇d19']",Verified by volunteers 
30,30,Verified by volunteers. #coronavirüsü #coronaoutbreak #coronaupdate #coronaout #coronanews #coronacapital #coronavírus #coronavirüs #hmmm #coronavirusindia #coronavirusindiapdate #covıd #covi̇d19 #covid19news #covi̇d_19 #covidtimes #covidnews #covid1948 #stayhome  https://t.co/85xmF0jvlS,en,"['#coronavirüsü', '#coronaoutbreak', '#coronaupdate', '#coronaout', '#coronanews', '#coronacapital', '#coronavírus', '#coronavirüs', '#hmmm', '#coronavirusindia', '#coronavirusindiapdate', '#covıd', '#covi̇d19', '#covid19news', '#covi̇d_19', '#covidtimes', '#covidnews', '#covid1948', '#stayhome']",[],['https://t.co/85xmF0jvlS'],"['Verified', 'by', 'volunteers', 'coronavirüsü', 'coronaoutbreak', 'coronaupdate', 'coronaout', 'coronanews', 'coronacapital', 'coronavírus', 'coronavirüs', 'hmmm', 'coronavirusindia', 'coronavirusindiapdate', 'covıd', 'covi̇d19', 'covid19news', 'covi̇d_19', 'covidtimes', 'covidnews', 'covid1948', 'stayhome', 'https', 't.co/85xmF0jvlS']","['Verified', 'coronavírus', 'covid19news', 'covıd', 't.co/85xmF0jvlS', 'hmmm', 'covidtimes', 'https', 'covid1948', 'covi̇d_19', 'coronaupdate', 'covidnews', 'coronavirüs', 'coronacapital', 'coronaout', 'volunteers', 'coronavirusindia', 'stayhome', 'coronavirusindiapdate', 'coronanews', 'coronaoutbreak', 'coronavirüsü', 'covi̇d19']",Verified by volunteers 
