,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,tweet,language,hastags,attherate,urls,tokenized_Tweet,filteredToken,clean_tweet
54,54,54,54,Sir please take responsibility for samastipur people ? I hope MLA samastipur take the ground reality and taken serious action against this deadly Corona virus in favor of samastipur people @yadavtejashwi @RJDforIndia @officecmbihar @NitishKumar @KashishBihar @News18Bihar,en,[],"['@yadavtejashwi', '@RJDforIndia', '@officecmbihar', '@NitishKumar', '@KashishBihar', '@News18Bihar']",[],"['Sir', 'please', 'take', 'responsibility', 'for', 'samastipur', 'people', 'I', 'hope', 'MLA', 'samastipur', 'take', 'the', 'ground', 'reality', 'and', 'taken', 'serious', 'action', 'against', 'this', 'deadly', 'Corona', 'virus', 'in', 'favor', 'of', 'samastipur', 'people', 'yadavtejashwi', 'RJDforIndia', 'officecmbihar', 'NitishKumar', 'KashishBihar', 'News18Bihar']","['News18Bihar', 'please', 'samastipur', 'responsibility', 'favor', 'action', 'KashishBihar', 'RJDforIndia', 'MLA', 'virus', 'Sir', 'people', 'deadly', 'serious', 'Corona', 'hope', 'officecmbihar', 'taken', 'I', 'take', 'yadavtejashwi', 'reality', 'ground', 'NitishKumar']",Sir please take responsibility for samastipur people  I hope MLA samastipur take the ground reality and taken serious action against this deadly Corona virus in favor of samastipur people 
55,55,55,55,#AndhraPradesh: #FIR lodged against #ChandrababuNaidu for creating fear over #N440K strain of #coronavirus   https://t.co/XDsX6GertJ,en,"['#AndhraPradesh:', '#FIR', '#ChandrababuNaidu', '#N440K', '#coronavirus']",[],['https://t.co/XDsX6GertJ'],"['AndhraPradesh', 'FIR', 'lodged', 'against', 'ChandrababuNaidu', 'for', 'creating', 'fear', 'over', 'N440K', 'strain', 'of', 'coronavirus', 'https', 't.co/XDsX6GertJ']","['AndhraPradesh', 'FIR', 'coronavirus', 't.co/XDsX6GertJ', 'https', 'ChandrababuNaidu', 'lodged', 'fear', 'strain', 'N440K', 'creating']", lodged against for creating fear over strain of 
56,56,56,56,"'Coronavirus that causes Covid-19 mutated more than 6,600 times'.",en,[],[],[],"[""'Coronavirus"", 'that', 'causes', 'Covid-19', 'mutated', 'more', 'than', '6,600', 'times']","['causes', 'mutated', '6,600', 'Covid-19', 'times', ""'Coronavirus""]",Coronavirus that causes Covid19 mutated more than 6600 times
57,57,57,57,It's not Corona Virus It's #chinas_Virus @PMOIndia @narendramodi  https://t.co/VtI9KOF8KQ,en,['#chinas_Virus'],"['@PMOIndia', '@narendramodi']",['https://t.co/VtI9KOF8KQ'],"['It', ""'s"", 'not', 'Corona', 'Virus', 'It', ""'s"", 'chinas_Virus', 'PMOIndia', 'narendramodi', 'https', 't.co/VtI9KOF8KQ']","['PMOIndia', 'Virus', 'https', 'It', 'Corona', 'narendramodi', 't.co/VtI9KOF8KQ', 'chinas_Virus', ""'s""]",Its not Corona Virus Its 
58,58,58,58,"Opening mosques, and prayer halls for the Eid prayer  https://t.co/SmIQCwVfOw  #Bahrain #eid #بحرين #COVID19 #coronavirus #Commit4Bahrain #VACCINATEANDSTAYSAFE #prayer #mosque",en,"['#Bahrain', '#eid', '#بحرين', '#COVID19', '#coronavirus', '#Commit4Bahrain', '#VACCINATEANDSTAYSAFE', '#prayer', '#mosque']",[],['https://t.co/SmIQCwVfOw'],"['Opening', 'mosques', 'and', 'prayer', 'halls', 'for', 'the', 'Eid', 'prayer', 'https', 't.co/SmIQCwVfOw', 'Bahrain', 'eid', 'بحرين', 'COVID19', 'coronavirus', 'Commit4Bahrain', 'VACCINATEANDSTAYSAFE', 'prayer', 'mosque']","['mosque', 'Eid', 'coronavirus', 'prayer', 'بحرين', 'COVID19', 'https', 'mosques', 'Commit4Bahrain', 'VACCINATEANDSTAYSAFE', 'Bahrain', 't.co/SmIQCwVfOw', 'eid', 'Opening', 'halls']",Opening mosques and prayer halls for the Eid prayer  
59,59,59,59,How #Mumbai stayed a step ahead of the #CoronaVirus -    https://t.co/DfVxxqqz4A,en,"['#Mumbai', '#CoronaVirus']",[],['https://t.co/DfVxxqqz4A'],"['How', 'Mumbai', 'stayed', 'a', 'step', 'ahead', 'of', 'the', 'CoronaVirus', 'https', 't.co/DfVxxqqz4A']","['step', 'stayed', 'https', 't.co/DfVxxqqz4A', 'CoronaVirus', 'How', 'Mumbai', 'ahead']",How stayed a step ahead of the  
60,60,60,60,@drsangitareddy @TelanganaCMO At last your thought and vision to control Corona Virus..  our CM have Eyes to read your tweet and Have Lock Down today.   #Lockdown for control Corona Virus and Saving Lives 🙏🙏🙏,en,['#Lockdown'],"['@drsangitareddy', '@TelanganaCMO']",[],"['drsangitareddy', 'TelanganaCMO', 'At', 'last', 'your', 'thought', 'and', 'vision', 'to', 'control', 'Corona', 'Virus', 'our', 'CM', 'have', 'Eyes', 'to', 'read', 'your', 'tweet', 'and', 'Have', 'Lock', 'Down', 'today', 'Lockdown', 'for', 'control', 'Corona', 'Virus', 'and', 'Saving', 'Lives', '🙏🙏🙏']","['Virus', 'Lock', 'Have', 'Lives', 'last', '🙏🙏🙏', 'At', 'today', 'thought', 'tweet', 'vision', 'Eyes', 'control', 'read', 'Corona', 'Saving', 'CM', 'TelanganaCMO', 'Down', 'drsangitareddy', 'Lockdown']", At last your thought and vision to control Corona Virus our CM have Eyes to read your tweet and Have Lock Down today for control Corona Virus and Saving Lives 🙏🙏🙏
61,61,61,61,@UnionBankTweets It is universally accepted fact that weak immunity invites diseases Accordingly senior citizens are accessible to Covid 19 by age &amp; poor immunity Kindly help  retired people to fight Corona virus,en,[],['@UnionBankTweets'],[],"['UnionBankTweets', 'It', 'is', 'universally', 'accepted', 'fact', 'that', 'weak', 'immunity', 'invites', 'diseases', 'Accordingly', 'senior', 'citizens', 'are', 'accessible', 'to', 'Covid', '19', 'by', 'age', 'amp', 'poor', 'immunity', 'Kindly', 'help', 'retired', 'people', 'to', 'fight', 'Corona', 'virus']","['accessible', 'amp', 'senior', 'fight', 'Kindly', 'fact', 'invites', 'It', 'weak', 'virus', 'Accordingly', 'age', 'people', 'citizens', '19', 'Corona', 'poor', 'UnionBankTweets', 'Covid', 'retired', 'immunity', 'diseases', 'accepted', 'universally', 'help']", It is universally accepted fact that weak immunity invites diseases Accordingly senior citizens are accessible to Covid 19 by age amp poor immunity Kindly help retired people to fight Corona virus
62,62,62,62,stupidity is always more contagious than coronavirus,en,[],[],[],"['stupidity', 'is', 'always', 'more', 'contagious', 'than', 'coronavirus']","['always', 'stupidity', 'contagious', 'coronavirus']",stupidity is always more contagious than coronavirus
63,63,63,63,"Carona Curfew in all 20 districts of #JammuAndKashmir which is presently in place, extended from 7 am on 17th May till 7am on 24th of May in an effort to contain the spread of #Coronavirus infection. However, the curfew will be strict except for a few essential services.",en,"['#JammuAndKashmir', '#Coronavirus']",[],[],"['Carona', 'Curfew', 'in', 'all', '20', 'districts', 'of', 'JammuAndKashmir', 'which', 'is', 'presently', 'in', 'place', 'extended', 'from', '7', 'am', 'on', '17th', 'May', 'till', '7am', 'on', '24th', 'of', 'May', 'in', 'an', 'effort', 'to', 'contain', 'the', 'spread', 'of', 'Coronavirus', 'infection', 'However', 'the', 'curfew', 'will', 'be', 'strict', 'except', 'for', 'a', 'few', 'essential', 'services']","['contain', 'services', 'However', 'extended', 'JammuAndKashmir', 'till', 'Carona', 'strict', 'districts', 'infection', '7', '24th', '7am', 'place', '17th', 'except', 'May', 'Coronavirus', 'spread', 'effort', 'Curfew', 'curfew', '20', 'essential', 'presently']",Carona Curfew in all 20 districts of which is presently in place extended from 7 am on 17th May till 7am on 24th of May in an effort to contain the spread of infection However the curfew will be strict except for a few essential services
64,64,64,64,Stay strong! Think positive! Take care yourself! We are together in this tight! Everything will we normal one day !  #StayHome #Corona #coronavirus #CoronaSecondWave #IndiaCovidCrisis #IndiaFightsCOVID19,en,"['#StayHome', '#Corona', '#coronavirus', '#CoronaSecondWave', '#IndiaCovidCrisis', '#IndiaFightsCOVID19']",[],[],"['Stay', 'strong', 'Think', 'positive', 'Take', 'care', 'yourself', 'We', 'are', 'together', 'in', 'this', 'tight', 'Everything', 'will', 'we', 'normal', 'one', 'day', 'StayHome', 'Corona', 'coronavirus', 'CoronaSecondWave', 'IndiaCovidCrisis', 'IndiaFightsCOVID19']","['positive', 'coronavirus', 'Think', 'one', 'Take', 'Stay', 'Everything', 'normal', 'tight', 'CoronaSecondWave', 'StayHome', 'We', 'day', 'Corona', 'strong', 'care', 'IndiaFightsCOVID19', 'IndiaCovidCrisis', 'together']",Stay strong Think positive Take care yourself We are together in this tight Everything will we normal one day  
65,65,65,65,"@callmezainul @calmequeen As we were already Tensed with Corona Virus , Bhoi Attacked Us with Raadhe Virus , And That is the only Virus That can't be cured ... 😞😞",en,[],"['@callmezainul', '@calmequeen']",[],"['callmezainul', 'calmequeen', 'As', 'we', 'were', 'already', 'Tensed', 'with', 'Corona', 'Virus', 'Bhoi', 'Attacked', 'Us', 'with', 'Raadhe', 'Virus', 'And', 'That', 'is', 'the', 'only', 'Virus', 'That', 'ca', ""n't"", 'be', 'cured', '😞😞']","['ca', ""n't"", 'cured', 'Virus', 'Bhoi', 'And', 'calmequeen', 'Attacked', 'That', 'Corona', 'callmezainul', 'Tensed', '😞😞', 'already', 'Raadhe', 'As', 'Us']", As we were already Tensed with Corona Virus  Bhoi Attacked Us with Raadhe Virus  And That is the only Virus That cant be cured  😞😞
66,66,66,66,"In a last few days I lost many relatives, friends and my closer ones , we all are facing with very difficult times in this pandemic ,My request you to all please wear a mask ,stay at home, protect yourself, Avoid unnecessary travelling and make social distancing #coronavirus",en,['#coronavirus'],[],[],"['In', 'a', 'last', 'few', 'days', 'I', 'lost', 'many', 'relatives', 'friends', 'and', 'my', 'closer', 'ones', 'we', 'all', 'are', 'facing', 'with', 'very', 'difficult', 'times', 'in', 'this', 'pandemic', 'My', 'request', 'you', 'to', 'all', 'please', 'wear', 'a', 'mask', 'stay', 'at', 'home', 'protect', 'yourself', 'Avoid', 'unnecessary', 'travelling', 'and', 'make', 'social', 'distancing', 'coronavirus']","['unnecessary', 'please', 'coronavirus', 'social', 'home', 'request', 'friends', 'difficult', 'In', 'pandemic', 'distancing', 'protect', 'days', 'facing', 'ones', 'Avoid', 'make', 'I', 'many', 'wear', 'stay', 'relatives', 'My', 'closer', 'times', 'mask', 'travelling', 'lost', 'last']",In a last few days I lost many relatives friends and my closer ones  we all are facing with very difficult times in this pandemic My request you to all please wear a mask stay at home protect yourself Avoid unnecessary travelling and make social distancing 
67,67,67,67,When will this coronavirus end ? Any prediction? #COVID19 #coronavirus #CoronaPandemic @WHO,en,"['#COVID19', '#coronavirus', '#CoronaPandemic']",['@WHO'],[],"['When', 'will', 'this', 'coronavirus', 'end', 'Any', 'prediction', 'COVID19', 'coronavirus', 'CoronaPandemic', 'WHO']","['WHO', 'coronavirus', 'When', 'COVID19', 'CoronaPandemic', 'end', 'Any', 'prediction']",When will this coronavirus end  Any prediction 
68,68,68,68,"both partners committed to “operate on a not-for-profit basis for the duration of the coronavirus pandemic, with only the costs of production and distribution being covered”.",en,[],[],[],"['both', 'partners', 'committed', 'to', '“', 'operate', 'on', 'a', 'not-for-profit', 'basis', 'for', 'the', 'duration', 'of', 'the', 'coronavirus', 'pandemic', 'with', 'only', 'the', 'costs', 'of', 'production', 'and', 'distribution', 'being', 'covered', '”']","['“', 'distribution', 'coronavirus', 'partners', 'costs', 'covered', 'committed', 'production', 'not-for-profit', '”', 'operate', 'duration', 'pandemic', 'basis']",both partners committed to “operate on a notforprofit basis for the duration of the coronavirus pandemic with only the costs of production and distribution being covered”
69,69,69,69,"""Covirgin"" A person who is not been infected with Covid-19.  #COVID19 #coronavirus #covirgin #CoronaSecondWave #Covaxin #Covishield",en,"['#COVID19', '#coronavirus', '#covirgin', '#CoronaSecondWave', '#Covaxin', '#Covishield']",[],[],"['Covirgin', 'A', 'person', 'who', 'is', 'not', 'been', 'infected', 'with', 'Covid-19', 'COVID19', 'coronavirus', 'covirgin', 'CoronaSecondWave', 'Covaxin', 'Covishield']","['Covaxin', 'coronavirus', 'CoronaSecondWave', 'COVID19', 'A', 'infected', 'Covid-19', 'Covirgin', 'Covishield', 'covirgin', 'person']",Covirgin A person who is not been infected with Covid19 
70,70,70,70,Has anyone of you thanked the nature for the free #Oxygen it has given you for all these years without asking anything in return.    #COVID19 #coronavirus #nature,en,"['#Oxygen', '#COVID19', '#coronavirus', '#nature']",[],[],"['Has', 'anyone', 'of', 'you', 'thanked', 'the', 'nature', 'for', 'the', 'free', 'Oxygen', 'it', 'has', 'given', 'you', 'for', 'all', 'these', 'years', 'without', 'asking', 'anything', 'in', 'return', 'COVID19', 'coronavirus', 'nature']","['nature', 'coronavirus', 'given', 'Oxygen', 'asking', 'COVID19', 'anyone', 'thanked', 'years', 'free', 'without', 'return', 'anything', 'Has']",Has anyone of you thanked the nature for the free it has given you for all these years without asking anything in return 
71,71,71,71,"The Delhi govt. has started the coronavirus vaccine shots for the age group of 18-44 years but it is not possible for the people's of Tilak Nagar (110018) area as there is only one Vaccination centre i.e. Sarvodaya Bal Vidhyala 1514005, Tilak Nagar, New Delhi-110018 @AtishiAAP",en,[],['@AtishiAAP'],[],"['The', 'Delhi', 'govt', 'has', 'started', 'the', 'coronavirus', 'vaccine', 'shots', 'for', 'the', 'age', 'group', 'of', '18-44', 'years', 'but', 'it', 'is', 'not', 'possible', 'for', 'the', 'people', ""'s"", 'of', 'Tilak', 'Nagar', '110018', 'area', 'as', 'there', 'is', 'only', 'one', 'Vaccination', 'centre', 'i.e', 'Sarvodaya', 'Bal', 'Vidhyala', '1514005', 'Tilak', 'Nagar', 'New', 'Delhi-110018', 'AtishiAAP']","['The', 'started', 'possible', 'coronavirus', 'Vaccination', 'Tilak', 'one', 'group', 'area', 'Bal', 'New', 'Vidhyala', 'AtishiAAP', 'Delhi-110018', '110018', 'Delhi', 'Nagar', ""'s"", 'age', 'people', '1514005', 'govt', '18-44', 'centre', 'shots', 'Sarvodaya', 'i.e', 'vaccine', 'years']",The Delhi govt has started the coronavirus vaccine shots for the age group of 1844 years but it is not possible for the peoples of Tilak Nagar (110018) area as there is only one Vaccination centre ie Sarvodaya Bal Vidhyala 1514005 Tilak Nagar New Delhi110018 
72,72,72,72,Change is the only constant thing with respect to corona virus,en,[],[],[],"['Change', 'is', 'the', 'only', 'constant', 'thing', 'with', 'respect', 'to', 'corona', 'virus']","['corona', 'thing', 'constant', 'Change', 'respect', 'virus']",Change is the only constant thing with respect to corona virus
73,73,73,73,Today world's the first batch of Anti-COVID drug #2DG developed by @DRDO_India And @drreddys Laboratories Ltd. have been released.. This oral drug will play a pivotal role in the faster recovery of patients &amp; strengthen our fight against #COVID19 #coronavirus  https://t.co/HGErNNWOwV,en,"['#2DG', '#COVID19', '#coronavirus']","['@DRDO_India', '@drreddys']",['https://t.co/HGErNNWOwV'],"['Today', 'world', ""'s"", 'the', 'first', 'batch', 'of', 'Anti-COVID', 'drug', '2DG', 'developed', 'by', 'DRDO_India', 'And', 'drreddys', 'Laboratories', 'Ltd', 'have', 'been', 'released', 'This', 'oral', 'drug', 'will', 'play', 'a', 'pivotal', 'role', 'in', 'the', 'faster', 'recovery', 'of', 'patients', 'amp', 'strengthen', 'our', 'fight', 'against', 'COVID19', 'coronavirus', 'https', 't.co/HGErNNWOwV']","['This', 'world', 'first', 'coronavirus', 'Laboratories', 'amp', '2DG', 'faster', 'oral', 'fight', 'Ltd', 't.co/HGErNNWOwV', 'Anti-COVID', 'batch', 'pivotal', 'COVID19', 'developed', 'drreddys', ""'s"", 'role', 'And', 'DRDO_India', 'play', 'drug', 'https', 'Today', 'patients', 'recovery', 'strengthen', 'released']",Today worlds the first batch of AntiCOVID drug developed by And Laboratories Ltd have been released This oral drug will play a pivotal role in the faster recovery of patients amp strengthen our fight against 
74,74,74,74,Our Doctors are taking Complete safety precautions while providing #dentalcare. We encourage all of you to get the first dose if covid vaccine as soon as possible.  Your safety is our priority!  #SafetyFirst  #healthcareworkers #coronavirus  #GetVaccinated  https://t.co/8C82sMJJug,en,"['#dentalcare.', '#SafetyFirst', '#healthcareworkers', '#coronavirus', '#GetVaccinated']",[],['https://t.co/8C82sMJJug'],"['Our', 'Doctors', 'are', 'taking', 'Complete', 'safety', 'precautions', 'while', 'providing', 'dentalcare', 'We', 'encourage', 'all', 'of', 'you', 'to', 'get', 'the', 'first', 'dose', 'if', 'covid', 'vaccine', 'as', 'soon', 'as', 'possible', 'Your', 'safety', 'is', 'our', 'priority', 'SafetyFirst', 'healthcareworkers', 'coronavirus', 'GetVaccinated', 'https', 't.co/8C82sMJJug']","['first', 'Doctors', 'possible', 'coronavirus', 't.co/8C82sMJJug', 'safety', 'covid', 'encourage', 'SafetyFirst', 'Your', 'providing', 'healthcareworkers', 'dentalcare', 'get', 'We', 'Our', 'soon', 'taking', 'Complete', 'dose', 'GetVaccinated', 'vaccine', 'https', 'precautions', 'priority']",Our Doctors are taking Complete safety precautions while providing We encourage all of you to get the first dose if covid vaccine as soon as possible Your safety is our priority 
75,75,75,75,Life just fine until.... #Covid_19 🖤🖤🖤🖤🖤  #COVID  #coronavirus  #pkp  https://t.co/4ubcT61QtR,en,"['#Covid_19', '#COVID', '#coronavirus', '#pkp']",[],['https://t.co/4ubcT61QtR'],"['Life', 'just', 'fine', 'until', 'Covid_19', '🖤🖤🖤🖤🖤', 'COVID', 'coronavirus', 'pkp', 'https', 't.co/4ubcT61QtR']","['Covid_19', 'coronavirus', 'fine', 'https', '🖤🖤🖤🖤🖤', 't.co/4ubcT61QtR', 'pkp', 'Life', 'COVID']",Life just fine until 🖤🖤🖤🖤🖤 
76,76,76,76,Rest in peace Sir..😓  News of people dying through Corona Virus  Is too hilarious. No one knows when it's going to end. 😪,en,[],[],[],"['Rest', 'in', 'peace', 'Sir', '😓', 'News', 'of', 'people', 'dying', 'through', 'Corona', 'Virus', 'Is', 'too', 'hilarious', 'No', 'one', 'knows', 'when', 'it', ""'s"", 'going', 'to', 'end', '😪']","['Sir', 'Virus', 'people', 'dying', 'peace', 'going', 'knows', 'Rest', 'one', 'end', 'Corona', 'hilarious', '😪', 'News', 'Is', '😓', 'No', ""'s""]",Rest in peace Sir😓 News of people dying through Corona Virus Is too hilarious No one knows when its going to end 😪
77,77,77,77,"All because of you who are busy in #Politics , innocent #Nepalese citizen have to suffer again , Mid term election will be another superspreader not just for political #Violence also for #ThirdWave of #CoronaVirus #NepaliPolitics #Nepal",en,"['#Politics', '#Nepalese', '#Violence', '#ThirdWave', '#CoronaVirus', '#NepaliPolitics', '#Nepal']",[],[],"['All', 'because', 'of', 'you', 'who', 'are', 'busy', 'in', 'Politics', 'innocent', 'Nepalese', 'citizen', 'have', 'to', 'suffer', 'again', 'Mid', 'term', 'election', 'will', 'be', 'another', 'superspreader', 'not', 'just', 'for', 'political', 'Violence', 'also', 'for', 'ThirdWave', 'of', 'CoronaVirus', 'NepaliPolitics', 'Nepal']","['NepaliPolitics', 'busy', 'political', 'Politics', 'innocent', 'ThirdWave', 'term', 'All', 'Nepalese', 'CoronaVirus', 'superspreader', 'also', 'citizen', 'election', 'Nepal', 'Violence', 'another', 'Mid', 'suffer']",All because of you who are busy in  innocent citizen have to suffer again  Mid term election will be another superspreader not just for political also for of 
78,78,78,78,@bhatray @KashmirPolice Just one question does lockdown help you to overcome corona virus 🦠 ?? You are killing poor,en,[],"['@bhatray', '@KashmirPolice']",[],"['bhatray', 'KashmirPolice', 'Just', 'one', 'question', 'does', 'lockdown', 'help', 'you', 'to', 'overcome', 'corona', 'virus', '🦠', 'You', 'are', 'killing', 'poor']","['bhatray', 'corona', 'lockdown', 'killing', 'overcome', 'question', 'one', 'poor', 'Just', 'help', 'KashmirPolice', '🦠', 'You', 'virus']", Just one question does lockdown help you to overcome corona virus 🦠  You are killing poor
79,79,79,79,Unjunk your body to fight against diseases GEVALLEY Pocket Nuts daily nuts  Click n buy : https://t.co/WeOyrWik98   https://t.co/Atb6TFHUHN  #Vegan #healthy #happiness #Yoga_Automatic #gym #sports #fitness #Indian #lockdown #StayHomeStaySafe #coronavirus #free #ImmunityBoosterTips  https://t.co/XV0FlaRnGv,en,"['#Vegan', '#healthy', '#happiness', '#Yoga_Automatic', '#gym', '#sports', '#fitness', '#Indian', '#lockdown', '#StayHomeStaySafe', '#coronavirus', '#free', '#ImmunityBoosterTips']",[],"['https://t.co/WeOyrWik98', 'https://t.co/Atb6TFHUHN', 'https://t.co/XV0FlaRnGv']","['Unjunk', 'your', 'body', 'to', 'fight', 'against', 'diseases', 'GEVALLEY', 'Pocket', 'Nuts', 'daily', 'nuts', 'Click', 'n', 'buy', 'https', 't.co/WeOyrWik98', 'https', 't.co/Atb6TFHUHN', 'Vegan', 'healthy', 'happiness', 'Yoga_Automatic', 'gym', 'sports', 'fitness', 'Indian', 'lockdown', 'StayHomeStaySafe', 'coronavirus', 'free', 'ImmunityBoosterTips', 'https', 't.co/XV0FlaRnGv']","['t.co/Atb6TFHUHN', 'coronavirus', 'Indian', 'Unjunk', 'happiness', 'fight', 'Vegan', 'Pocket', 'buy', 'lockdown', 'Nuts', 't.co/WeOyrWik98', 'StayHomeStaySafe', 'Yoga_Automatic', 'gym', 'n', 'daily', 'nuts', 't.co/XV0FlaRnGv', 'GEVALLEY', 'diseases', 'body', 'fitness', 'ImmunityBoosterTips', 'https', 'free', 'Click', 'sports', 'healthy']",Unjunk your body to fight against diseases GEVALLEY Pocket Nuts daily nuts Click n buy :   
80,80,80,80,"Govt issues urgent advisory to all the social media platforms. Asks them to remove all the content that names, refers to or implies 'Indian variant' of corona virus immediately as there is no such variant scientifically cited as such by the WHO. उठ गए, finally",en,[],[],[],"['Govt', 'issues', 'urgent', 'advisory', 'to', 'all', 'the', 'social', 'media', 'platforms', 'Asks', 'them', 'to', 'remove', 'all', 'the', 'content', 'that', 'names', 'refers', 'to', 'or', 'implies', ""'Indian"", 'variant', 'of', 'corona', 'virus', 'immediately', 'as', 'there', 'is', 'no', 'such', 'variant', 'scientifically', 'cited', 'as', 'such', 'by', 'the', 'WHO', 'उठ', 'गए', 'finally']","['cited', 'Govt', 'remove', 'social', 'immediately', 'finally', 'refers', 'Asks', 'गए', 'content', 'scientifically', 'variant', 'virus', 'issues', 'names', 'implies', ""'Indian"", 'urgent', 'advisory', 'WHO', 'उठ', 'corona', 'platforms', 'media']",Govt issues urgent advisory to all the social media platforms Asks them to remove all the content that names refers to or implies Indian variant of corona virus immediately as there is no such variant scientifically cited as such by the WHO उठ गए finally
81,81,81,81,Coronavirus goes to Assembly house🏠🏠,en,[],[],[],"['Coronavirus', 'goes', 'to', 'Assembly', 'house🏠🏠']","['Assembly', 'Coronavirus', 'goes', 'house🏠🏠']",Coronavirus goes to Assembly house🏠🏠
82,82,82,82,"""Noone is concerned about us. No one came to look after or to listen to us. We truly appreciate your timely help"", says Tapsika.  Ration, essentials and medicine kits distributed to over 100 transgender families.  सर्वे भवन्तु सुखिन: 🙏    #coronavirus  https://t.co/ypFXsLdk8q",en,['#coronavirus'],[],['https://t.co/ypFXsLdk8q'],"['Noone', 'is', 'concerned', 'about', 'us', 'No', 'one', 'came', 'to', 'look', 'after', 'or', 'to', 'listen', 'to', 'us', 'We', 'truly', 'appreciate', 'your', 'timely', 'help', 'says', 'Tapsika', 'Ration', 'essentials', 'and', 'medicine', 'kits', 'distributed', 'to', 'over', '100', 'transgender', 'families', 'सर्वे', 'भवन्तु', 'सुखिन', '🙏', 'coronavirus', 'https', 't.co/ypFXsLdk8q']","['timely', 'coronavirus', 'medicine', 'सुखिन', 'one', 'look', 'concerned', 'came', 'Ration', 'kits', 'says', 'listen', 'appreciate', 'We', 'families', 'Tapsika', '100', 'us', 'essentials', 'No', 'सर्वे', 'transgender', 'भवन्तु', 't.co/ypFXsLdk8q', 'https', 'Noone', 'help', 'truly', 'distributed', '🙏']",Noone is concerned about us No one came to look after or to listen to us We truly appreciate your timely help says Tapsika Ration essentials and medicine kits distributed to over 100 transgender families सर्वे भवन्तु सुखिन: 🙏 
83,83,83,83,Sweat-sniffer dogs make Thai debut as coronavirus detectors  https://t.co/OUogbx78fv,en,[],[],['https://t.co/OUogbx78fv'],"['Sweat-sniffer', 'dogs', 'make', 'Thai', 'debut', 'as', 'coronavirus', 'detectors', 'https', 't.co/OUogbx78fv']","['dogs', 'coronavirus', 'Thai', 'https', 'debut', 't.co/OUogbx78fv', 'detectors', 'make', 'Sweat-sniffer']",Sweatsniffer dogs make Thai debut as coronavirus detectors 
84,84,84,84,When it comes on us it very hard to be practical ❤️.  MY WARMEST HEART AND LOVE TO ALL WHO LOST THEIR LOVED ✨ #coronavirus #CovidIndia #COVID #Covid_19 #lockdown #nashiklockdownupdates #nashik #nashiklockdown #CoronaSecondWave,en,"['#coronavirus', '#CovidIndia', '#COVID', '#Covid_19', '#lockdown', '#nashiklockdownupdates', '#nashik', '#nashiklockdown', '#CoronaSecondWave']",[],[],"['When', 'it', 'comes', 'on', 'us', 'it', 'very', 'hard', 'to', 'be', 'practical', '❤️', 'MY', 'WARMEST', 'HEART', 'AND', 'LOVE', 'TO', 'ALL', 'WHO', 'LOST', 'THEIR', 'LOVED', '✨', 'coronavirus', 'CovidIndia', 'COVID', 'Covid_19', 'lockdown', 'nashiklockdownupdates', 'nashik', 'nashiklockdown', 'CoronaSecondWave']","['LOST', 'comes', 'coronavirus', 'LOVED', 'nashiklockdown', 'practical', '✨', 'WARMEST', 'LOVE', 'Covid_19', 'lockdown', 'THEIR', '❤️', 'CovidIndia', 'nashiklockdownupdates', 'CoronaSecondWave', 'COVID', 'ALL', 'HEART', 'AND', 'TO', 'MY', 'us', 'WHO', 'hard', 'When', 'nashik']",When it comes on us it very hard to be practical ❤️ MY WARMEST HEART AND LOVE TO ALL WHO LOST THEIR LOVED ✨ 
85,85,85,85,@PMOIndia @narendramodi You're strong leader with nice speaking skills  But you must accept that you hadn't done much in health sector before #covid and still you all thought we'd defeated #coronavirus Your plannings are good but your prioritise says something else.,en,"['#covid', '#coronavirus']","['@PMOIndia', '@narendramodi']",[],"['PMOIndia', 'narendramodi', 'You', ""'re"", 'strong', 'leader', 'with', 'nice', 'speaking', 'skills', 'But', 'you', 'must', 'accept', 'that', 'you', 'had', ""n't"", 'done', 'much', 'in', 'health', 'sector', 'before', 'covid', 'and', 'still', 'you', 'all', 'thought', 'we', ""'d"", 'defeated', 'coronavirus', 'Your', 'plannings', 'are', 'good', 'but', 'your', 'prioritise', 'says', 'something', 'else']","[""n't"", 'health', 'coronavirus', 'covid', 'You', 'must', 'Your', 'But', 'prioritise', 'defeated', 'thought', 'says', 'still', ""'d"", 'speaking', 'plannings', 'skills', 'nice', 'sector', 'something', 'accept', 'narendramodi', 'leader', ""'re"", 'much', 'strong', 'else', 'PMOIndia', 'good', 'done']", Youre strong leader with nice speaking skills But you must accept that you hadnt done much in health sector before and still you all thought wed defeated Your plannings are good but your prioritise says something else
