,tweet,clean_tweet,hastags,attherate,urls,emojis
10,@63d235a2bfac484 @KiritSomaiya @BJP4Maharashtra Yes nothing will happen to Fadnavis in remdesivir matter.Anil deshmukh is vasuli matter. And others is other scams. Bjp signed in favour of scamster Ajit pawar to form govt. why Kirit is not questioning Fadnavis too, Yes nothing will happen to Fadnavis in remdesivir matterAnil deshmukh is vasuli matter And others is other scams Bjp signed in favour of scamster Ajit pawar to form govt why Kirit is not questioning Fadnavis too,[],"['@63d235a2bfac484', '@KiritSomaiya', '@BJP4Maharashtra']",[],[]
11,"We COOL people always fill your lungs, clear your mind. To breathe, we do not only need air and lungs, we need freedom. #COVID19 #kitajagakita #kementeriankesihatanmalaysi  https://t.co/cv0zzuiiXe",We COOL people always fill your lungs clear your mind To breathe we do not only need air and lungs we need freedom ,"['#COVID19', '#kitajagakita', '#kementeriankesihatanmalaysi']",[],['https://t.co/cv0zzuiiXe'],[]
12,@jayesh_ranjan I hope you and your family is safe from covid 19 . please ask your family and Yourself to travel in public bus/train and public transport for 1 month .this will help us believe that covid protocol are strong., I hope you and your family is safe from covid 19  please ask your family and Yourself to travel in public bus/train and public transport for 1 month this will help us believe that covid protocol are strong,[],['@jayesh_ranjan'],[],[]
13,"For the time being, continuing to  mask up, as well as  other simple precautions such as physical distancing, hand hygiene, avoid crowded and confined places as much as possible. As the saying goes,  ""sediakan payung sebelum hujan"".  #MaskUp #COVID19 #StaySafe",For the time being continuing to mask up as well as other simple precautions such as physical distancing hand hygiene avoid crowded and confined places as much as possible As the saying goes sediakan payung sebelum hujan ,"['#MaskUp', '#COVID19', '#StaySafe']",[],[],[]
14,"Ex CM of Sindh nd our Honourable Saeen Qaim Ali shah positive for COVID-19 , prayers for speedy and complete recovery from Covid19.   May Allah bless him with healthy and long life amen sum ameeen  @ShahNafisa  https://t.co/zwEapjL4kF",Ex CM of Sindh nd our Honourable Saeen Qaim Ali shah positive for COVID19  prayers for speedy and complete recovery from Covid19 May Allah bless him with healthy and long life amen sum ameeen ,[],['@ShahNafisa'],['https://t.co/zwEapjL4kF'],[]
15,HPM #SheikhHasina-led @albd1971 Govt. plans to vaccinate approx. 10 million people Vs #COVID19 in a week starting Aug 8 when ongoing mass #vaccination drive is extended to the grassroots union level.  #VaccineForAll #VaccineEquity @CEPIvaccines @gavi    https://t.co/QK7CYMcKIg,HPM Govt plans to vaccinate approx 10 million people Vs in a week starting Aug 8 when ongoing mass drive is extended to the grassroots union level ,"['#SheikhHasina-led', '#COVID19', '#vaccination', '#VaccineForAll', '#VaccineEquity']","['@albd1971', '@CEPIvaccines', '@gavi']",['https://t.co/QK7CYMcKIg'],[]
16,Saravanan: Employers must pay for Covid-19 screening tests for employees | New Straits Times  https://t.co/6s2SxB0zT4,Saravanan: Employers must pay for Covid19 screening tests for employees | New Straits Times ,[],[],['https://t.co/6s2SxB0zT4'],[]
17,Day after day covid-19 took someone precious away from people’s life 💔,Day after day covid19 took someone precious away from people’s life ,[],[],[],['💔']
18,Happy Birthday with good wishes for His Healthy &amp; Happy Life ❤️  Thanks! 🇮🇳  https://t.co/ClzWihOkie 🇮🇳 Sincerely Public Apriciated website for Doctors support to Nation People in Covid-19.,Happy Birthday with good wishes for His Healthy amp Happy Life  Thanks    Sincerely Public Apriciated website for Doctors support to Nation People in Covid19,[],[],['https://t.co/ClzWihOkie'],"['❤️', '🇮🇳', '🇮🇳']"
19,If I was @Neeraj_chopra1 @BajrangPunia @ravikumardhaiya @LovlinaBorgohai or Olympic contingent  came from #Tokyo2020 today would have asked fans not to gather  welcoming them &amp; #maintainsocialdistance considering that #COVID19 3rd wave is just around &amp; We may face 1 more disaster,If I was or Olympic contingent came from today would have asked fans not to gather welcoming them amp considering that 3rd wave is just around amp We may face 1 more disaster,"['#Tokyo2020', '#maintainsocialdistance', '#COVID19']","['@Neeraj_chopra1', '@BajrangPunia', '@ravikumardhaiya', '@LovlinaBorgohai']",[],[]
20,"Sincerely Publicly Apriciated website for Doctors supports to Nation People in Covid-19.  Made in India 🇮🇳 Made for World !  Please like, Rt in favor of Nation love ❤️  https://t.co/txCA8pgMTM",Sincerely Publicly Apriciated website for Doctors supports to Nation People in Covid19 Made in India  Made for World  Please like Rt in favor of Nation love  ,[],[],['https://t.co/txCA8pgMTM'],"['🇮🇳', '❤️']"
21,The Council of Europe and UNHCR support Member States in bringing refugee health workers into the COVID-19 response:  https://t.co/DI2HlX02mv via @refugees,The Council of Europe and UNHCR support Member States in bringing refugee health workers into the COVID19 response:  via ,[],['@refugees'],['https://t.co/DI2HlX02mv'],[]
22,"At that time i didnt know i am a Positive  Covid-19. But now Alhamdullillah i think ive already recover. And tmrw my quarantine, probably will be over after swab test. And getting my 2nd dose.",At that time i didnt know i am a Positive Covid19 But now Alhamdullillah i think ive already recover And tmrw my quarantine probably will be over after swab test And getting my 2nd dose,[],[],[],[]
23,"Don't need rocket-science to predict that this was always on the cards, given the US administration had asked the citizens to come out without masks on, after vaccination, as I had pointed out back in May. That was just a blatant error! #COVID19 #USA   https://t.co/2dr2S1kkpH",Dont need rocketscience to predict that this was always on the cards given the US administration had asked the citizens to come out without masks on after vaccination as I had pointed out back in May That was just a blatant error ,"['#COVID19', '#USA']",[],['https://t.co/2dr2S1kkpH'],[]
24,When we will get freedom from mask 😷   #COVID19,When we will get freedom from mask  ,['#COVID19'],[],[],['😷']
25,"@ATULBORA2 Sir,…Pray for your early &amp; speedy recovery from Covid-19. Recovery", Sir…Pray for your early amp speedy recovery from Covid19 Recovery,[],['@ATULBORA2'],[],[]
26,"1,40,454 tests were conducted in #Assam on August 9 of which 1120 have tested positive for #COVID19.   197 of these cases were from Kamrup Metro. The positivity rate is at 0.80%  #AssamCovidUpdate #Guwahati #CoronavirusPandemic  https://t.co/qL17Jo1jSb",140454 tests were conducted in on August 9 of which 1120 have tested positive for 197 of these cases were from Kamrup Metro The positivity rate is at 080% ,"['#Assam', '#COVID19.', '#AssamCovidUpdate', '#Guwahati', '#CoronavirusPandemic']",[],['https://t.co/qL17Jo1jSb'],[]
27,Aluva Municipality completes 150 Covid Bulletins.   Today’s Covid Bulletin(151) &amp; (152) Aluva Municipality   #COVID19  https://t.co/QMncowu0l0,Aluva Municipality completes 150 Covid Bulletins Today’s Covid Bulletin(151) amp (152) Aluva Municipality ,['#COVID19'],[],['https://t.co/QMncowu0l0'],[]
28,"May Allah make this year better for us, shower His mercy and make us better Humans &amp; better Muslims and protect this whole world from #COVID19 😷😇🌸 May Allah be please with all of us. Ameen 🤲🏻 #Muharram #IslamicNewYear  #محرم_الحرام  https://t.co/gycs2XKCoO",May Allah make this year better for us shower His mercy and make us better Humans amp better Muslims and protect this whole world from  May Allah be please with all of us Ameen  ,"['#COVID19', '#Muharram', '#IslamicNewYear', '#محرم_الحرام']",[],['https://t.co/gycs2XKCoO'],"['😷', '😇', '🌸', '🤲🏻']"
29,#BREAKING I SAID&gt;END LAST YEAR&gt;LACKIN VENTILTRS/OXYGN WAS DA TIME PAVITHRA WS FLOOZING AROUND WT SHAVENDRA/ANIL SAYIN FLoB BETTER DAN USA&gt;COVID MATTERS. DIS IS DA CASE-MORONS COMPARE FLoB WT BEST LANDS&gt;ENDS UP WORSE-Wiki Wiks '21-08-09 #SriLanka #COVID19   https://t.co/dLI313L4so, I SAIDgtEND LAST YEARgtLACKIN VENTILTRS/OXYGN WAS DA TIME PAVITHRA WS FLOOZING AROUND WT SHAVENDRA/ANIL SAYIN FLoB BETTER DAN USAgtCOVID MATTERS DIS IS DA CASEMORONS COMPARE FLoB WT BEST LANDSgtENDS UP WORSEWiki Wiks 210809 ,"['#BREAKING', '#SriLanka', '#COVID19']",[],['https://t.co/dLI313L4so'],[]
30,"So Sad and Unfortunate ..the bridge about which I felt proud,  concerned department and Authorities, the Bridge got demolished in monsoon. This is the  result of poor accountability and transparency. #COVID19 #CORRUPTION @dawn_com @ImranKhanPTI #AssamPoliceFakeEscort @KPKUpdates  https://t.co/eTBJ6nbH6c",So Sad and Unfortunate the bridge about which I felt proud concerned department and Authorities the Bridge got demolished in monsoon This is the result of poor accountability and transparency ,"['#COVID19', '#CORRUPTION', '#AssamPoliceFakeEscort']","['@dawn_com', '@ImranKhanPTI', '@KPKUpdates']",['https://t.co/eTBJ6nbH6c'],[]
31,Central government is taking all precautions fighting #COVID19  https://t.co/2VM4Mikqsd,Central government is taking all precautions fighting ,['#COVID19'],[],['https://t.co/2VM4Mikqsd'],[]
32,"As part of a global initiative aimed at equitable access to #COVID19 vaccines, a shipment of almost 1 million Sinopharm jabs was sent from #China to #Pakistan on Monday. Through this shipment, CNBG has begun fulfilling its vaccine supply commitment to COVAX.",As part of a global initiative aimed at equitable access to vaccines a shipment of almost 1 million Sinopharm jabs was sent from to on Monday Through this shipment CNBG has begun fulfilling its vaccine supply commitment to COVAX,"['#COVID19', '#China', '#Pakistan']",[],[],[]
33,The many facets of cutaneous manifestations of #COVID19 #medtwitter #dermtwitter #SARSCoV2 #Sars_Cov_2 #skin #hairfall #Corona,The many facets of cutaneous manifestations of ,"['#COVID19', '#medtwitter', '#dermtwitter', '#SARSCoV2', '#Sars_Cov_2', '#skin', '#hairfall', '#Corona']",[],[],[]
34,"@AskAnshul By @TimesNow #India reports 35,499 new #COVID-19 cases, 447 fatalities in past 24 hours.   https://t.co/RPTc414bzO", By reports 35499 new cases 447 fatalities in past 24 hours ,"['#India', '#COVID-19']","['@AskAnshul', '@TimesNow']",['https://t.co/RPTc414bzO'],[]
35,Details of #covid19 status in diff parts of Karnataka:  https://t.co/FMxLsl0Quj,Details of status in diff parts of Karnataka: ,['#covid19'],[],['https://t.co/FMxLsl0Quj'],[]
36,"For 2nd consec day, just 1 #COVID19 death in Bengaluru. City had 296 new cases on Sund. #Karnataka 24 deaths &amp; 1186 cases. Tsts 132192 Dch 1776  +vty rat: 0.89% @ChitraSundaram7 @dr_asr @sun_usind @scooban @SunithaNahar @Amit_A_Tiwari @SimplyJaya4 @ShobhaMookerje1 @airavatvolvo",For 2nd consec day just 1 death in Bengaluru City had 296 new cases on Sund 24 deaths amp 1186 cases Tsts 132192 Dch 1776 +vty rat: 089% ,"['#COVID19', '#Karnataka']","['@ChitraSundaram7', '@dr_asr', '@sun_usind', '@scooban', '@SunithaNahar', '@Amit_A_Tiwari', '@SimplyJaya4', '@ShobhaMookerje1', '@airavatvolvo']",[],[]
37,Operating rooms at the Covid-19 national quarantine and treatment center.August 2021. #thesanitiserman #FrontlinersMalaysia #covid19malaysia #kitajagakita #PKRC #iPhone12Pro  https://t.co/3ecwySBzYs,Operating rooms at the Covid19 national quarantine and treatment centerAugust 2021 ,"['#thesanitiserman', '#FrontlinersMalaysia', '#covid19malaysia', '#kitajagakita', '#PKRC', '#iPhone12Pro']",[],['https://t.co/3ecwySBzYs'],[]
38,"Take that first step, confidence follows  #COVID19 #ipoh  https://t.co/Z4O2eGsAx9",Take that first step confidence follows ,"['#COVID19', '#ipoh']",[],['https://t.co/Z4O2eGsAx9'],[]
39,@WHO  Help my (Iran) S. O. S #soslran  #Covid_19  https://t.co/iS1IWos9cL, Help my (Iran) S O S ,"['#soslran', '#Covid_19']",['@WHO'],['https://t.co/iS1IWos9cL'],[]
40,"""COVID-19: Here’s a list of some of the organisations helping India cope""   https://t.co/v0qJ6NDaVD",COVID19: Here’s a list of some of the organisations helping India cope ,[],[],['https://t.co/v0qJ6NDaVD'],[]
41,This hotel got special permission to operate in night also during the pandemic covid-19 . Locals contiously complaining on 100 but no action has been initiated to him @MumbaiPolice @ @vishwasnp @MCGM_BMC @rajeshtope11 @CMOMaharashtra  @CPMumbaiPolice @TV9Marathi  https://t.co/IYRHdooam4,This hotel got special permission to operate in night also during the pandemic covid19  Locals contiously complaining on 100 but no action has been initiated to him @ ,[],"['@MumbaiPolice', '@', '@vishwasnp', '@MCGM_BMC', '@rajeshtope11', '@CMOMaharashtra', '@CPMumbaiPolice', '@TV9Marathi']",['https://t.co/IYRHdooam4'],[]
42,No wonder I am falling sick once again as I got #Sinopharm vaccination but it's not effective against new variants of #Covid_19,No wonder I am falling sick once again as I got vaccination but its not effective against new variants of ,"['#Sinopharm', '#Covid_19']",[],[],[]
43,"The #DeltaVariant is more dangerous than other variants of the virus that causes #COVID19.  Get vaccinated as soon as you can. If you’re in an area of substantial or high transmission, wear a mask indoors in public, even if you’re fully vaccinated.  More:  https://t.co/aDrSAkaRbA.  https://t.co/kyZI8GPtjy",The is more dangerous than other variants of the virus that causes Get vaccinated as soon as you can If you’re in an area of substantial or high transmission wear a mask indoors in public even if you’re fully vaccinated More:  ,"['#DeltaVariant', '#COVID19.']",[],"['https://t.co/aDrSAkaRbA.', 'https://t.co/kyZI8GPtjy']",[]
44,Every contribution counts. Find out how you can also help these organisations fight COVID-19 in India ⬇️ #Covid19IndiaHelp  MR ravindar12 🙏 you,Every contribution counts Find out how you can also help these organisations fight COVID19 in India  MR ravindar12  you,['#Covid19IndiaHelp'],[],[],"['⬇️', '🙏']"
45,Every contribution counts. Find out how you can also help these organisations fight COVID-19 in India ⬇️ #Covid19IndiaHelp Be Safe &amp; Keep India Safe.,Every contribution counts Find out how you can also help these organisations fight COVID19 in India  Be Safe amp Keep India Safe,['#Covid19IndiaHelp'],[],[],['⬇️']
46,129 new COVID-19 positive cases have been reported today on 13-8-2021 in Jammu and Kashmir  https://t.co/F3b4mJely0,129 new COVID19 positive cases have been reported today on 1382021 in Jammu and Kashmir ,[],[],['https://t.co/F3b4mJely0'],[]
47,"Yet Maldives welcomes Indian tourist despite the fact of Covid19 situations, however Maldivian can’t travel India as tourists even though Maldives is more safer. So called friendship, @abdulla_shahid @HCIMaldives @MoFAmv",Yet Maldives welcomes Indian tourist despite the fact of Covid19 situations however Maldivian can’t travel India as tourists even though Maldives is more safer So called friendship ,[],"['@abdulla_shahid', '@HCIMaldives', '@MoFAmv']",[],[]
48,@LadyVelvet_HFQ Very rightly indicated respect from #Pakistan needs much more quick direction to defeat #COVID19 through #CovidVaccine on massive scale globally #vaccinated #VaccinEquity need to assure #VaccinesWork properly no discriminate to inject lower quality or mixture of useless #vaccines, Very rightly indicated respect from needs much more quick direction to defeat through on massive scale globally need to assure properly no discriminate to inject lower quality or mixture of useless ,"['#Pakistan', '#COVID19', '#CovidVaccine', '#vaccinated', '#VaccinEquity', '#VaccinesWork', '#vaccines']",['@LadyVelvet_HFQ'],[],[]
49,"Sir, I am taking follow-up with you because I have lost my job due to covid’19 and my loan EMI is due from last two month. So I would request you kindly release my refund asap.",Sir I am taking followup with you because I have lost my job due to covid’19 and my loan EMI is due from last two month So I would request you kindly release my refund asap,[],[],[],[]
50,@DrTedros Very rightly indicated respect from #Pakistan needs much more quick direction to defeat #COVID19 through #CovidVaccine on massive scale globally #vaccinated #VaccinEquity need to assure #VaccinesWork properly no discriminate to inject lower quality or mixture of useless #vaccines, Very rightly indicated respect from needs much more quick direction to defeat through on massive scale globally need to assure properly no discriminate to inject lower quality or mixture of useless ,"['#Pakistan', '#COVID19', '#CovidVaccine', '#vaccinated', '#VaccinEquity', '#VaccinesWork', '#vaccines']",['@DrTedros'],[],[]
51,"@AUThackeray Sir, you can check my Tweets and activities. Do you think I am a cheater or playing politics. @tweeter has been my fmly since last Covid 19. Your people here know my social activities very well. I want you to know what's happening. 🙏", Sir you can check my Tweets and activities Do you think I am a cheater or playing politics has been my fmly since last Covid 19 Your people here know my social activities very well I want you to know whats happening ,[],"['@AUThackeray', '@tweeter']",[],['🙏']
52,Got vaccinated today  Did you vaccinate?  No! Then get yourself vaccine soon &amp; help break this virus 🦠 chain   #COVID19 #vaccinated  https://t.co/otJdeaGHtS,Got vaccinated today Did you vaccinate No Then get yourself vaccine soon amp help break this virus  chain ,"['#COVID19', '#vaccinated']",[],['https://t.co/otJdeaGHtS'],['🦠']
53,"Morocco 🇲🇦 Receives 600,000 Doses of the Pfizer Vaccine Today 💉 💉 💉  #Morocco #Maroc #المغرب #Africa #NorthAfrica #pandemic #COVID #COVID19 #Pfizer @pfizer #vaccination #vaccine #Sinopharm   https://t.co/UjDdXGvDQt",Morocco  Receives 600000 Doses of the Pfizer Vaccine Today    ,"['#Morocco', '#Maroc', '#المغرب', '#Africa', '#NorthAfrica', '#pandemic', '#COVID', '#COVID19', '#Pfizer', '#vaccination', '#vaccine', '#Sinopharm']",['@pfizer'],['https://t.co/UjDdXGvDQt'],"['🇲🇦', '💉', '💉', '💉']"
54,@thehill Great voice towards vaccination supporting from #Pakistan to #Canada for defeating #COVID19 through massive &amp; safe #CovidVaccine as #CovidIsNotOver, Great voice towards vaccination supporting from to for defeating through massive amp safe as ,"['#Pakistan', '#Canada', '#COVID19', '#CovidVaccine', '#CovidIsNotOver']",['@thehill'],[],[]
55,"Scoring a new milestone, Bhubaneswar has become the first city to achieve 20 Lakh COVID19 vaccination. #naveen4odisha  https://t.co/3jMmK3vYf4",Scoring a new milestone Bhubaneswar has become the first city to achieve 20 Lakh COVID19 vaccination ,['#naveen4odisha'],[],['https://t.co/3jMmK3vYf4'],[]
56,To compensate the lost time due to Covid-19 pandemic.    https://t.co/RiZTbIQhOO  https://t.co/IJHquTwTRx,To compensate the lost time due to Covid19 pandemic  ,[],[],"['https://t.co/RiZTbIQhOO', 'https://t.co/IJHquTwTRx']",[]
57,To serve the motherland is a dream for all.but being a laboratory scientist I never thought I could do it until 9th April 2020..All battles r not fought in a battlefield some are in Lab too..Proud to lead a team to fight against #Covid19 &amp; serve the people of #IndiaAt75 #JaiHind  https://t.co/bRTqsUiRZw,To serve the motherland is a dream for allbut being a laboratory scientist I never thought I could do it until 9th April 2020All battles r not fought in a battlefield some are in Lab tooProud to lead a team to fight against amp serve the people of ,"['#Covid19', '#IndiaAt75', '#JaiHind']",[],['https://t.co/bRTqsUiRZw'],[]
58,Online Classes - Dark Times 2020 New NFT available on @wazirxnft   50% of the profit will go to the Covid Relief Funds.   https://t.co/xq6ALVsAG6  #wazirxnft #nftwazirx #nft #nftcommunity #nftcollector #pandemic #nftart #ravikoranga #darktimes2020 #coronavirus #Covid_19  #COVID19,Online Classes  Dark Times 2020 New NFT available on 50% of the profit will go to the Covid Relief Funds  ,"['#wazirxnft', '#nftwazirx', '#nft', '#nftcommunity', '#nftcollector', '#pandemic', '#nftart', '#ravikoranga', '#darktimes2020', '#coronavirus', '#Covid_19', '#COVID19']",['@wazirxnft'],['https://t.co/xq6ALVsAG6'],[]
59,Farmer protest #FarmersProtest #BJPMotto_KeepFarmersPoor #Delhi #COVID19 #liveline #FarmersProtest @aimim_national @ndtv @RahulGandhi @asadowaisi @msisodia @ravishndtv @CPHydCity  https://t.co/caFc1vtWrm,Farmer protest ,"['#FarmersProtest', '#BJPMotto_KeepFarmersPoor', '#Delhi', '#COVID19', '#liveline', '#FarmersProtest']","['@aimim_national', '@ndtv', '@RahulGandhi', '@asadowaisi', '@msisodia', '@ravishndtv', '@CPHydCity']",['https://t.co/caFc1vtWrm'],[]
60,"Switch focus to Covid-19 variants infecting vaccinated folk, MoH urged  https://t.co/IXOQepOMgU",Switch focus to Covid19 variants infecting vaccinated folk MoH urged ,[],[],['https://t.co/IXOQepOMgU'],[]
61,King of Malaysia has a very difficult decision to make in the choice of Prime Minister Does he choose the one backed by 112 or &gt;MPs❓ OR Does the King choose the one who can manage Covid-19 &amp; weakened economy❓ Who is more important ❓ Nation &amp; people or political figures❓🤔🤨  https://t.co/FABx5QmkZD,King of Malaysia has a very difficult decision to make in the choice of Prime Minister Does he choose the one backed by 112 or gtMPs OR Does the King choose the one who can manage Covid19 amp weakened economy Who is more important  Nation amp people or political figures ,[],[],['https://t.co/FABx5QmkZD'],"['❓', '❓', '❓', '❓', '🤔', '🤨']"
62,COVID - 19 is still dangerous stage. 159 people died last 24 hours in Bangladesh. It is a far reduced status. May Allah kind saving us from this  disease.,COVID  19 is still dangerous stage 159 people died last 24 hours in Bangladesh It is a far reduced status May Allah kind saving us from this disease,[],[],[],[]
63,"Me after a long day of doing nothing.  #workfromhome #insomniac #pkp #pkpd #covid_19 #lockdown #mentaldown #rockers #random #tgif   Credit : JAYY @ Kuala Lumpur, Malaysia  https://t.co/lZpg1cwNnA",Me after a long day of doing nothing Credit : JAYY @ Kuala Lumpur Malaysia ,"['#workfromhome', '#insomniac', '#pkp', '#pkpd', '#covid_19', '#lockdown', '#mentaldown', '#rockers', '#random', '#tgif']",['@'],['https://t.co/lZpg1cwNnA'],[]
64,"Despite of good relationship between BD &amp; India,ur GOVT pushed us very bad situation by stopping Onion export. And specifically stopped the supply of Covid-19 #AstraZeneca Vaccine in crucial time! Can you imagine what a shameful matter based on the relationship? Mr @SuvenduWB 2/3",Despite of good relationship between BD amp Indiaur GOVT pushed us very bad situation by stopping Onion export And specifically stopped the supply of Covid19 Vaccine in crucial time Can you imagine what a shameful matter based on the relationship Mr 2/3,['#AstraZeneca'],['@SuvenduWB'],[],[]
65,@ourvadodara @MyVadodara @PMOIndia @CollectorVad Today in Sandesh newspaper I saw 2 ml covid19 bottles are fake nd since I got 2nd vaccine it was same 2ml where Siram company don't produce now I'm confused about what to do with it 😠, Today in Sandesh newspaper I saw 2 ml covid19 bottles are fake nd since I got 2nd vaccine it was same 2ml where Siram company dont produce now Im confused about what to do with it ,[],"['@ourvadodara', '@MyVadodara', '@PMOIndia', '@CollectorVad']",[],['😠']
66,"PNR 6654379522, TRAIN NO. 05955, CLASS 2A, VERY VERY DIRTY COMPARTMENT WITH WORST TOILET, IN THIS COVID19 SITUATION, WHATS OUR RAILWAY DOING ? SPREADING COVID MAYBE !!!  #IndianRailways #ModiGovt  https://t.co/BUTcfTHwye",PNR 6654379522 TRAIN NO 05955 CLASS 2A VERY VERY DIRTY COMPARTMENT WITH WORST TOILET IN THIS COVID19 SITUATION WHATS OUR RAILWAY DOING  SPREADING COVID MAYBE  ,"['#IndianRailways', '#ModiGovt']",[],['https://t.co/BUTcfTHwye'],[]
67,"Atleast 18 opposition parties were scheduled to meet virtually on Friday to strategise on reaching out to the people on issues such as the economic slowdown, the alleged mismanagement of the Covid-19 pandemic, the Pegasus spyware controversy, and the farmers’ protest.  https://t.co/p3cocq0Vtd",Atleast 18 opposition parties were scheduled to meet virtually on Friday to strategise on reaching out to the people on issues such as the economic slowdown the alleged mismanagement of the Covid19 pandemic the Pegasus spyware controversy and the farmers’ protest ,[],[],['https://t.co/p3cocq0Vtd'],[]
68,"As the world waits for a vaccine💉 to defeat the COVID-19 pandemic, We look back to all that vaccines have achieved for humanity.  https://t.co/4P1wXGhfLa",As the world waits for a vaccine to defeat the COVID19 pandemic We look back to all that vaccines have achieved for humanity ,[],[],['https://t.co/4P1wXGhfLa'],['💉']
69,Please cancel the Jharkand ITI CBT exam because COVID 19,Please cancel the Jharkand ITI CBT exam because COVID 19,[],[],[],[]
70,✳️ COVID-19 : Case Updates  https://t.co/NVdABg4DFB, COVID19 : Case Updates ,[],[],['https://t.co/NVdABg4DFB'],['✳️']
71,"JK reports 110 new positive cases, 318283 recovered so far  #SRINAGAR:  The  Government on Thursday informed that 110 new positive cases of novel Corona virus (COVID-19), 33 from Jammu division and 77 from Kashmir division, have been reported today.  https://t.co/NCaUsjBF4i",JK reports 110 new positive cases 318283 recovered so far The Government on Thursday informed that 110 new positive cases of novel Corona virus (COVID19) 33 from Jammu division and 77 from Kashmir division have been reported today ,['#SRINAGAR:'],[],['https://t.co/NCaUsjBF4i'],[]
72,@projshoshangaba Sir hoshangabad district bus no any passenger and bus staff wearing mask it violation of covid 19 norms and district administration will be responsible for corona third waves  https://t.co/ze0UEKrypV, Sir hoshangabad district bus no any passenger and bus staff wearing mask it violation of covid 19 norms and district administration will be responsible for corona third waves ,[],['@projshoshangaba'],['https://t.co/ze0UEKrypV'],[]
73,"On #WorldHumanitarianDay, @UNDPVietnam sends our heartfelt thanks 🙏to all white-blouse soldiers fighting day &amp; night on the fierce frontline saving the lives of #COVID19 patients. photo: putting a patient on a ventilator in #HoChiMinh City. Credit: tpo  https://t.co/K6bYDd026A  https://t.co/FxSpVVyf4x",On sends our heartfelt thanks to all whiteblouse soldiers fighting day amp night on the fierce frontline saving the lives of patients photo: putting a patient on a ventilator in City Credit: tpo  ,"['#WorldHumanitarianDay,', '#COVID19', '#HoChiMinh']",['@UNDPVietnam'],"['https://t.co/K6bYDd026A', 'https://t.co/FxSpVVyf4x']",['🙏']
74,"China has greenlit booster shots for people at high risk of contracting Covid-19, citing studies that show the immune system fights off the infection better when a third dose of its homegrown vaccines are given.",China has greenlit booster shots for people at high risk of contracting Covid19 citing studies that show the immune system fights off the infection better when a third dose of its homegrown vaccines are given,[],[],[],[]
