Username,Userhandle,Time,comments,retweets,likes,Tweet
Kolkata Cloud Chasers,@KolCloudChasers,2021-05-15T08:12:05.000Z,,,3,"#WestBengal Government announced a Covid-19 Lockdown in the state for 15 days between May 16 to May 30.
.
#lockdown2021 #StaySafe"
Priyata Brajabasi,@PriyataB,2021-05-18T06:45:35.000Z,,1,2,"As ICMR drops Plasma Therapy as a treatment for Covid-19, replugging the interview with Kolkata's top Cardiac Surgeon 
@KunalCardiac
 where he talks about his experience with the treatment..
Full interview:
https://youtu.be/Twtl66Op-Xw"
Manoj A Michigan,@michiganframe,2021-05-09T12:19:47.000Z,,1,,"Evidence based Advisory in the time of #COVID-19 (𝐒𝐜𝐫𝐞𝐞𝐧𝐢𝐧𝐠, 𝐃𝐢𝐚𝐠𝐧𝐨𝐬𝐢𝐬 & 𝐌𝐚𝐧𝐚𝐠𝐞𝐦𝐞𝐧𝐭 𝐨𝐟 𝐌𝐮𝐜𝐨𝐫𝐦𝐲𝐜𝐨𝐬𝐢𝐬) 
@MoHFW_INDIA
 
@PIB_India
 
@COVIDNewsByMIB
 
@MIB_India
 #COVID19India #IndiaFightsCOVID19 #mucormycosis #COVID19Update"
SUJOY SEN,@sujoy_1900,2021-05-09T17:43:31.000Z,,,,"Big-B requests people globally to help India fight against COVID-19
 The 78-year-actor was part of the Vax Live global event which was all about the coronavirus 
@SrBachchan
 
@mrsanjaysen78"
Arpita Chatterjee,@ArpitaCP,2021-05-26T07:37:20.000Z,,3,31,"‘Health is the greatest gift, contentment the greatest wealth, faithfulness the best relationship.’ - Lord Buddha

During this tough time of Covid-19 & Cyclone Yass, May lord buddhe bless us with all his power and blessings 

Happy Buddha Purnima! "
Suvobrata Sarkar,@SuvobrataSarkar,2021-05-29T11:16:04.000Z,,,,Swayam has arranged for it's staff and family members to take the Covid 19 vaccination. Thank you Swayam for this wonderful initiative!
Ishadrita Lahiri,@ishadrita,2021-05-05T05:28:58.000Z,3,55,217,"""Our 1st priority is COVID-19. 2ndly, would request all parties to maintain peace. I'm taking over law & order today. Will deal with this immediately, and with a strong hand"", says 
@MamataOfficial
 after taking oath."
Dr. Mânâli N Roy (মানালী) ,@ManaliRoy16,2021-05-18T22:12:51.000Z,,,,"While Mummaa is half the way down battling COVID-19, daughter finally takes her comfortable place for the nap, her Mumma's lap.

#midnight #myprincess
#motherdaughter #fightingcovid19 #lhasaapso #india #kolkata #toughtimes #2021"
Soumita Saha,@Soumitaborn2rok,2021-05-14T11:44:57.000Z,,,6,"Let's see how it works..
Please watch the video and login to 
https://findabed.in
Happy to join hands as a Cause Ambassador


@findabed_in
 
@iimunofficial
 

#covid_19 #covidindia #covidrelief #covidbeds"
Soumita Saha,@Soumitaborn2rok,2021-05-14T11:38:00.000Z,,,,"Delighted to know aboutIndia’s 1st information repository for finding and building beds.
446 cities. 19217 COVID Centres. 671329 beds.All done in 72 hours by the youth, for the country! Glad to do my bit as cause ambassado


@findabed_in
 
@iimunofficial
 

#covid_19   #covidbeds"
Mohammed Zeeshan,@ZeeshanAITC,2021-05-30T23:31:17.000Z,,1,4,"#cancelboardexam
Don't trigger the Covid-19 infections.
It's my request to all the state governments & the central government to think about the lives of the students!
Lives are more important than exams.
Thank you 
@ShashiTharoor
 for your voice.

@PMOIndia


@AdvMamtaSharma"
Ishani Duttagupta,@IshaniDg,2021-05-09T10:45:52.000Z,2,7,17,"DearMa,am Information to all  is covid 19 Vaccination not available here, so cancel all appts at Nh rabindranath tagore hospital mukunda pur. I had got this appt weeks back. Now what do I do for my second shot 
@MamataOfficial
 
@derekobrienmp"
Soumita Saha,@Soumitaborn2rok,2021-05-14T11:39:49.000Z,,,1,"Happy to join hands with India’s 1st information repository for finding and building beds as a cause ambassador

446 cities. 19217 COVID Centres. 671329 beds.

All done in 72 hours by the youth, for the country!


@findabed_in
 
@iimunofficial
 

#covid_19 #covidindia  #covidbeds"
Sneha Saha,@sahas1301,2021-05-07T02:47:33.000Z,4,32,4,"#Urgent #SOS #SOSIYC #Plasma #PlasmaDonor 

The donor we found for Sushant didn’t work out. We are still looking for a plasma donor (O+) 

Donor should have recovered from COVID-19 atleast 28days prior."
Debanjan Chakrabarti,@dcfrombc,2021-05-12T08:29:49.000Z,3,,27,"At a time of this extraordinary public health crisis, am deeply touched & inspired by so many fellow Calcuttans reaching out to help each other, organise support, individually or collectively, contributing to the fight against Covid 19. Too many to tag individually ..."
Official - Sourav,@Officia79304223,2021-05-03T13:57:05.000Z,,3,3,It would have been better if our Class 12 exams had been online. 12th grade students under the age of 18 could not get the Covid-19 vaccine. Those who could not get Covid-19 vaccine during HS test are infected with Covid-19 but what will happen to them? So online exam is good
Urbasi Bhattacharyya,@Gayatri_INC,2021-05-15T16:23:52.000Z,,3,6,Without any specific instruction from the upper level officer no babus of UP Ministry can issue direction to dump the dead bodies in the River. This Idiotic approach of the UP Ministry will be responsible for another super spreader far more dangerous than Covid 19.
Rahul kumar,@kumarrahul2018,2021-05-14T14:30:20.000Z,,,1,"Stay Alert to Stay Safe.

Health Minister Outlines
Covid-19 appropriate behavior.

#covid_19 #taxtally4u #healthylifestyle #healthministry #outlines #staysafe #staysafe @ Kolkata - The Mega City"
"Dr. A. K. Singh; MD, DM (Endo) ",@singhak_endo,2021-05-22T09:04:26.000Z,1,9,40,"DM me if you are interested to know every minute details of Mucormycosis in Covid-19. Why, how when and what next ? 
@sardesairajdeep
 
@RajatSharmaLive
 
@bhupendrachaube
 
@IamSumanDe
 
@snehamordani
 
@sudhirchaudhary
 
@arnabrepublictv
 
@BanglaRepublic


@BDUTT"
Shani Singh,@Shanirss,2021-05-18T03:18:15.000Z,1,,4,"Thanks Twitter CEO Jack Dorsey’s

@jack
 donate $2.5 millions to support relief efforts in India’s ongoing COVID-19 second wave to NGO Sewa International .
A welfare organisation affiliated with the Rashtriya Swayamsevak Sangh (
@RSSorg
)."
Soumyajit Majumder,@SoumyajitWrites,2021-05-28T16:08:29.000Z,2,3,34,"West Bengal reports 12,193 new COVID-19 cases, 143 deaths; Steep fall over the last three days — on Wednesday it was 16,225 cases, on Thursday it was 13,046 cases. Tests have been around 60,000 samples."
Soumyajit Majumder,@SoumyajitWrites,2021-05-30T17:00:48.000Z,1,6,48,"Bengal’s COVID active cases drops below 1 lakh as recoveries outnumber new cases. 11,284 new COVID-19 cases reported, deaths at 142. New recoveries at 18,642. Importantly, tests at 70k+."
Veena,@Veenaaa,2021-05-23T13:55:04.000Z,,,1,"Given the importance of following COVID Appropriate Behaviors (CAB) , webinar is scheduled on 24 May2021, 2.45pm to 4.45 pm.
https://unicef.zoom.us/j/97236465123  useful for community groups who are or have the potential to be  engaged in social mobilization on COVID-19 prevention."
R.B.Singh,@RBSingh48761636,2021-05-09T07:33:51.000Z,,1,2,"While similar countries in the neighborhood are offering help to India to tackle COVID-19 the modi government is not even ready to stop the work of multi million central Vista project in Delhi.
Modi only cares about his own image. 
#NoMoreModi"
Lakshmi Singh@laks,@hallabollaks,2021-05-09T02:21:12.000Z,,,1,"COVID-19 vaccine rollout by India has rescued the world' from pandemic, says Dr Peter Hotez"
ramen aditya,@AdityaRamen,2021-05-27T06:26:13.000Z,,,,"IMA urged Prime Minister to take ""action under the sedition charges” against Ramdev over his statements questioning the efficacy of allopathy medicines & doctors and to stop the ""misinformation campaign on vaccination” against the coronavirus disease (Covid-19) by the yoga guru."
Mohammad Mumtaz,@Mohamma18839014,2021-05-12T08:08:45.000Z,,,,"HELP POST

A+ve Plasma Required from COVID-19 Recovered Donor

COVID-19 Patient, Lady aged 54, admitted in ICU in Birat Teaching Hospital, Biratnagar, ICU Bed No. 5
Contact Person Mr. Miraj 9827073786
#HelpingHand #helpindia"
Urbasi Bhattacharyya,@Gayatri_INC,2021-05-20T10:14:52.000Z,,2,4,Hiroshima Bombing too was man made ...the suffering of the people is still continuing. Covid 19 effect will have more or less same effect in India the only difference is - this effect could be avoided.  A strong government with its pro people policy ...need of the hour...alas...
Ayusmita Chatterjee,@AyusmitaChatte1,2021-05-25T06:38:26.000Z,,3,2,"Delhi Hospital Records 15 Out Of 40 COVID-19 Infected Children Under The Age Of One During
 https://shethepeople.tv/?p=450036 via 
@shethepeople"
Saurendranath Konar,@SaurendranathK1,2021-05-30T13:13:13.000Z,1,,,"Ramdev again questions Covid-19 vaccines, says he’s protected by yoga & Ayurveda https://hindustantimes.com/india-news/ramdev-again-questions-covid-19-vaccines-says-he-s-protected-by-yoga-ayurveda-101622376819966.html?utm_source=twitter&utm_medium=social&utm_campaign=ht_AMP…"
Taniya Sanyal,@TaniyaSanyalFF,2021-05-09T06:27:50.000Z,,,4,"On this mother's day....

let's pray for the speedy recovery of every mother of India... who is suffering from covid-19 right now...
#MothersDay #covidsafeindia"
Sunetra GangulyEF,@GangulySunetra,2021-05-09T08:02:48.000Z,,,,"Replying to 
@SrBachchan
 
@TiEGlobal
 and 3 others"
Arpita Chatterjee,@ArpitaCP,2021-05-21T08:44:51.000Z,1,1,15,"The model village of Hiware Bazar in Ahmednagar district of Maharashtra is showing the way on how to combat the Covid-19 pandemic. From 1-20 May, there has not been a single case of Covid-19 in Hiware Bazar, located in the Nagar tehsil.

https://epaper.thedailyguardian.com/Home/MShareArticle?OrgId=215ec89a5d8…
#Salute"
Saikat Das,@rdas19418,2021-05-22T12:07:42.000Z,,,,"Due to covid 19 pandemic in India, All the examination centres are closed . My exam date is 23rd June .
What should I do 
@acefitness
 .
Please help ."
Vishesh Dudheria,@vishesh2111,2021-05-25T01:10:06.000Z,,1,1,"Cashless facility not available for covid-19 patient in kolkata GD HOSPITAL & DIABETICS INSTITUTE.... then why should we opt for health insurance when one has to pay huge expenses  upfront...this clause has been wrongfully inserted..help the common man

@MoHFW_INDIA"
Santanu Sengupta শান্তনু সেনগুপ্ত,@Dips_2809,2021-05-23T13:14:14.000Z,,,1,"Please watch this comprehensive video on 
@myogiadityanath
 Govt on tacking COVID 19"
Raja Basu(OFFICIAL),@RajaBas04612605,2021-05-07T20:42:19.000Z,,,,Coronavirus Disease 2019 (COVID-19) Resources for Health Professionals https://fda.gov/health-professionals/coronavirus-disease-2019-covid-19-resources-health-professionals…
Om Prakash Shah,@MrOmPrakashShah,2021-05-25T07:22:37.000Z,,,1,"Baba Ramdev need to introspect seriously and exercise restraint. He should take abundant caution before issuing statements on subjects like Covid 19.His statements quite often have been far  away from absolute truth.
@yogrishiramdev"
Ritobroto Banerjee,@ritorbandco,2021-05-07T05:20:21.000Z,,1,1,"Bengal to use quack doctors as first line of defence against Covid-19 - Hindustan Times https://hindustantimes.com/cities/kolkata-news/bengal-to-use-quack-doctors-as-first-line-of-defence-against-covid19-101620285651026.html… via 
@GoogleNews
 voting tmc back to power has started showing colours already. 
@BJPBengal"
Arghyadip Datta,@KhubPetuk1,2021-05-12T16:17:54.000Z,,,,"This is different level of #AtmanirbharBharata!! #atmanirbhar 

Tamil Nadu to float global tenders for Covid-19 vaccines to inoculate all in 18-44 age group - Coronavirus Outbreak News"
ʟɪᴍ ɢᴜɪ ꜱʜᴇɴɢ ᴩʜᴏᴛᴏɢʀᴀᴩʜy,@LimGuiSheng,2021-05-05T21:15:17.000Z,,,,"Replying to 
@nytimes"
Ranik Banerjee,@tataifriends,2021-05-08T15:09:44.000Z,,,,"Replying to 
@DChaurasia2312"
Urbasi Bhattacharyya,@Gayatri_INC,2021-05-12T09:07:27.000Z,,,3,"Maharashtra did remarkably well to combat Covid 19 . GOI just doing opposite . Follow the path of Maharashtra regarding transparency unless you do it you can never win . 
@PMOIndia"
Abhinaba Dasgupta,@NEWTHINKABHI,2021-05-12T18:37:46.000Z,,,,"Replying to 
@jdhankhar1
 and 
@MamataOfficial"
Priyata Brajabasi,@PriyataB,2021-05-11T06:53:46.000Z,,,,The technological inequality in India is stark. Covid-19 outbreak in rural India has laid bare the truth about the digital divide in this country. And it's devastating.
Naturopathy,@angshchak1,2021-05-10T13:23:55.000Z,,1,1,"Patanjali was the first Indian company to publish a research paper on the new Covid-19 drug approved by DCGI: Read details

https://opindia.com/2021/05/patanjali-had-proposed-anti-covid-19-use-of-a-cancer-drug-one-year-ago/…
Any comment??

@chetan_bhagat"
Sunil Kr Jaiswal,@SunilKrJaiswal2,2021-05-06T11:53:32.000Z,,,1,"Great gesture 
@Lshukla6
 Bhaiya, 
@SonuSood
 
@derekobrienmp
 
@MamataOfficial
 
@manogyaloiwal
 
@iamsrk
 
@VVSLaxman281
 
@harbhajan_singh
 
@abpanandatv
 
@IamSumanDe
 more people's come like you can help the situation of India  Against Covid-19"
Bikash Rana,@Bik07R,2021-05-01T18:00:50.000Z,1,6,5,"@srijitspeaketh
 
@SandyMukherg
 
@AnanyaRian
 
Check Vacant Beds Availability Online in Hospitals in COVID 19 Emergency

 *Gurgaon* http://covidggn.com
 *Delhi* https://coviddelhi.com *Thane*https://covidthane.org/availabiltyOfHospitalBeds.html…
 *West Bengal* https://covidwb.com
 #KolkataFightsCovid19"
Siddharth Jain ,@iam_siddharth,2021-05-01T05:37:53.000Z,1,,1,"We are fighting another war against COVID-19 but without Vaccines! We need Vaccines in and ample quantity, schedule people are being denied vaccination. #harshreality 
@narendramodi


#GiveTheVaccinesModi"
Debasish,@deba6616,2021-05-19T09:53:34.000Z,,,,"Replying to 
@ndtv"
Ujjwal Roy,@ujjwalroy06,2021-05-30T17:33:16.000Z,,1,1,"Read_My_Coverage_Story 
@ANI

#IHAFoundation
#Covid19IndiaHelp
#IndiaFightsCOVID19
#GurudwaraBehala
Kolkata: Gurudwara committee offers free oxygen, medical assistance to COVID-19 patients at mosque"
Abhirup Banerjee,@abhirupb1997,2021-05-13T11:39:51.000Z,,,,"@MoHFW_INDIA
 
@CovidIndiaSeva
 
@drharshvardhan
 
@DrHVoffice
 Can someone please clarify when can a Covid-19 recovered patient receive Covid-19 vaccination in India as per the protocol?"
"Dr. A. K. Singh; MD, DM (Endo) ",@singhak_endo,2021-05-24T20:43:32.000Z,1,,8,"I wrote recently about New-onset hyperglycaemia and Diabetes in Covid-19 recently in DRCP. 
@vijayviswanatha
 
@RajeevJayadevan
 
@snehamordani
 Here is the link https://pubmed.ncbi.nlm.nih.gov/32853686/"
Kånchân Dås ,@KnchnDs3,2021-05-02T19:27:49.000Z,,,,"Replying to 
@DemonGod21
 
@AnshumanBanka8
 and 3 others"
Shreyasi Ghosh,@Shre9045,2021-05-29T09:01:58.000Z,,,,"As evident,commercialisation at its peak!Covid-19 unleashes the gruesome fact of how 'Indian middle class' is soon on the verge to shrink and perish leaving only two extreme polarised classes!Coming up soon with a write-up on this! 
#polscitwitter 
@OpenAcademics
 
@AcademicChatter"
Sayan Dey,@sayan_dey,2021-05-04T20:55:56.000Z,,,,"Replying to 
@SandipGhose
 
@nitin_gadkari
 and 
@rajnathsingh"
