,created_at,username,tweet,language,replies_count,retweets_count,likes_count,Userhandle
30,2021-03-02 23:18:48 India Standard Time,__namansharma,Traders flout Covid-19 guidelines; claim the disease is a myth   Check out my story on Thesoftcopy @iijnmbangalore    https://t.co/RaJH7Ukain    #corona #heath #bangalore,en,0.0,1.0,2.0,
31,2021-03-02 23:16:33 India Standard Time,belikeburhan,The Covid Protocols #WorldTradePark  https://t.co/5Gd9j0mVN3,en,0.0,0.0,4.0,
32,2021-03-02 23:15:23 India Standard Time,sanketjalgaonk3,"n addition to BMC centres, 29 pvt. hospital in Mumbai have been given permissions to carry out COVID Vaccination Drive. @CMOMaharashtra @AUThackeray  #MyBMCUpdates  https://t.co/cZDWTekvvv",en,0.0,1.0,3.0,
33,2021-03-02 23:10:44 India Standard Time,khyatis07,"Imagine April 1st come and government be like "" April fools COVID was fake""🥲😳",en,2.0,1.0,6.0,
34,2021-03-02 23:00:16 India Standard Time,kamleshgavit9,"लुपिन फाउंडेशन अंतर्गत नंदुरबार जिल्ह्यात BCI प्रकल्पाच्या माध्यमातून ग्रामीण भागात जैविक शेती व तसेच बालमजुरी,covid-19 विषयी जनजागृती करण्यात आले  https://t.co/IDeg4J8txY",mr,0.0,0.0,0.0,
35,2021-03-02 22:18:09 India Standard Time,king_boking,"@News5PH Wala naman iba namolitika ito lang si leni robredo lahat nalang ginawa sini siraan niya, kahit ang covid vaccine na malaking tulong sa mgs filipino, iwan lang kung bakit ganyan yan utak ni leni robredo, parang hindi manlang marunong umintindi, grabe talaga, kahit minsan mag isip.  https://t.co/unihJuWU9w",tl,0.0,0.0,0.0,
36,2021-03-02 22:13:06 India Standard Time,spice_health,"We are delighted to share that our CEO, Ms. Avani Singh, inaugrated the SpiceHealth COVID-19 #VaccineDrive!  We believe our frontline workers have shown great courage and worked tirelessly during these trying times, and deserve this!  https://t.co/pcG2ppUXjS",en,1.0,0.0,0.0,
37,2021-03-02 22:08:39 India Standard Time,fouziakarachi,"Achieving an equal future in a COVID-19 World #WomensHistoryMonth #IWD2021  Photo :Nagar Valley, Hunza  https://t.co/4EJZTPGeW0",en,0.0,0.0,1.0,
38,2021-03-02 22:08:05 India Standard Time,hakimlizan,So when is kluster rentas negara? We only need 1 btw  Pls covid-19 do your job😉,en,0.0,0.0,3.0,
39,2021-03-02 22:07:00 India Standard Time,wendygwalior,Grade 8 student @WendyGwalior campaigning to take care of the environment in Covid 19-Pandemic. #covid_19 #studentcampaign #environment #raiseyourvoice #stayhome #staysafe  https://t.co/t1vODvgfp9,en,0.0,0.0,0.0,
40,2021-03-02 22:06:49 India Standard Time,omarchughtai,Bosnia accepting donation of 5000  vaccine doses from Serbia.   Covid has changed the world in many ways.,en,3.0,2.0,12.0,
41,2021-03-02 22:03:36 India Standard Time,harshalmantri,@CMOMaharashtra @AUThackeray @maha_governor  Covid durr hoga yaa jyaada paas ayega!!!,hi,0.0,0.0,0.0,
42,2021-03-02 22:03:35 India Standard Time,abdulaziz27a,شي يرفع الراس من ناحية التعامل والتنظيم والترتيب الله يقويكم نفتخر فيكم ♥️ (@ مركز لقاح كورونا -Covid-19 Vaccine Center in الرياض)  https://t.co/p5QHxF7HPR,ar,0.0,0.0,0.0,
43,2021-03-02 22:01:40 India Standard Time,nur_alyadiana,Stay positive but not in covid 🤪✨ @ Politeknik Tuanku Sultanah Bahiyah  https://t.co/aHhyrWz4Vt,in,0.0,0.0,0.0,
44,2021-03-02 21:57:41 India Standard Time,surendrapalsin3,"After Covid break, flowers showered, candies distributed to welcome back students in schools across the state. On the first day of reopening of schools after nearly 11 months, #UPCM Shri @myogiadityanath Ji interacted with the braveheart kids.  https://t.co/lipH7r02D5",en,0.0,1.0,2.0,
45,2021-03-02 21:56:02 India Standard Time,suburbmagazine,Celebrating Womanhood and learning during Covid Times as an entrepreneur. SUBURB breaking boundaries to go digital. @ Delhi/Gurgaon/NCR  https://t.co/Z3wsn5p82M,en,0.0,0.0,0.0,
46,2021-03-02 21:55:32 India Standard Time,surendrapalsin3,"""COVID-19 in India"" #coronavirus  https://t.co/jBpKIoau1B",en,0.0,0.0,1.0,
47,2021-03-02 21:49:14 India Standard Time,bipinsingh1101,"@drmjabalpur @drmdhnecr @RailwaySeva Sir, train no.09608 detained at Gondawali since 20.45 just to give a way to a goods train resulting in unnecessary delay of the train arrivals at Singrauli . During this Covid it's seems unfair on the part of Railways for this act.",en,2.0,0.0,2.0,
48,2021-03-02 21:47:13 India Standard Time,hazwanhfiz,"Dah setahun Covid, Mail masih sibuk dengan beza PKP, PKPB dengan PKPP.  Dah setahun Covid, rakyat masih lagi pening Selangor, KL, Putrajaya satu daerah ka camna 🤦  https://t.co/H9gYRSUZPa",in,0.0,6.0,11.0,
49,2021-03-02 21:44:39 India Standard Time,ashokpatni55,"Had an excellent experience today afternoon of walk-in free covid vaccination at 7 Hills Hospital, Marol, Mumbai. Outstanding staff coordination, extremely polite &amp; helpful, well organised movement of Q's and comfortable arrangements for all.",en,0.0,0.0,1.0,
50,2021-03-02 21:33:05 India Standard Time,syafeeqazman95,@haniqtpie Lama tau...zaman2 sebelum agenda yahudi covid last kita proper dating...hahahaha,in,0.0,0.0,0.0,
51,2021-03-02 21:32:37 India Standard Time,agdauae,"AGDA hosted a productive #Next50Talks session that extensively discussed the impact of the Covid-19 pandemic during conflict and humanitarian crises, with a focus on the “triple vulnerability” group (conflict, Covid-19 &amp; climate), as well as the secondary impacts of the pandemic.  https://t.co/94fGqUlInY",en,0.0,0.0,8.0,
52,2021-03-02 21:29:56 India Standard Time,stephenjesh,6 positive covid,en,0.0,0.0,0.0,
53,2021-03-02 21:28:23 India Standard Time,krishram29,@VinGuptaMD can vaccinated person still transmit covid.,en,0.0,0.0,0.0,
54,2021-03-02 21:28:05 India Standard Time,agdauae,"Mr. Peter Maurer, President of the International Committee of the Red Cross @ICRC during “The Impact of the Covid-19 During Conflict and Humanitarian Crises” session.  https://t.co/dKZAThosMw",en,0.0,7.0,15.0,
55,2021-03-02 21:20:11 India Standard Time,nottdecembergm1,@love_quang_hung อย่าใกล้มากค่ะ ระวัง covid social distancing ka เด็กๆ,und,1.0,1.0,1.0,
56,2021-03-02 21:16:14 India Standard Time,good88aa,الحمدالله أخذت أمس أول جرعة لقاح كورونا بس نصيحه الي عندهم دوام ياخذون سكليف لليوم الي يكون  بعد اللقاح لأن اليوم حسيت بتعب شديد وحرارة ودوخة وضعف التنفس😅 ومن حظي الحلو 🌚💔 خلوني أمسك بيشنت COVID-19 ICU ومن تعب ماتحملت الاقنعه وارتفاع بالحرارة وفي نهايه أستسلمت ورحت للطوارئ,ar,4.0,0.0,3.0,
57,2021-03-02 21:15:25 India Standard Time,6e_sg_g8_uk_ai,"@ARanganathan72 Best part is  Mumbai oldies cant wait If you dont have covid sit home relax, Go to work APNI SAFETY dekho Pr pr pr Aaj hi vaccine chaiye these are woke people with zero sense. Social distancing gayi tel lene Humko vaccine chaiye 😓 Sad to see such bright city with such peeps",en,0.0,0.0,3.0,
58,2021-03-02 21:14:48 India Standard Time,pkotekar,@srivathsacm  Today's video.  Place BKC. Mumbai. Event: covid vaccination.  https://t.co/JItyOrwXo4,en,1.0,0.0,0.0,
59,2021-03-02 21:14:09 India Standard Time,mashari428,Me on the first flight after this covid  https://t.co/JaYQnKdYuB,en,1.0,0.0,0.0,
60,2021-03-05 02:14:05 India Standard Time,kamel788457212,@BusinessNews_tn C'est tout faux ...il y a  plus que 20 milles décès Covid 19 en Tunisie...,fr,0.0,0.0,0.0,
61,2021-03-05 01:30:13 India Standard Time,deannadeanie,"Kawan kat hospital lain pun dah dapat. Tak payah citer hospital lain, dept lain hospital sendiri pun dapat dah and most importantly haruslah orang atas dapat dulu yang tak sentuh pun patients COVID ni. 😁 Kitorang ni yang jaga patients COVID...boo hoo 🙃",in,0.0,0.0,0.0,
62,2021-03-05 01:30:12 India Standard Time,deannadeanie,"Baca tweet Dr Musa Nordin yang pasal gov should prioritize vaccine kat mana etc tu. Well, memang tak properly organized pun. Nama je COVID CENTRE, jaga COVID patients tapi dapat lambat gila. At least for my dept la, kitorang orang terakhir.",in,1.0,0.0,0.0,
63,2021-03-05 00:23:54 India Standard Time,sidhant,"With a focus on the Covid crisis, innovation, India-Sweden to hold virtual summit  https://t.co/JInBqm43dT  @wionews",en,0.0,2.0,23.0,
64,2021-03-04 22:45:27 India Standard Time,bah_int_circuit,"BREAKING: Tickets on sale NOW for the 2021 Formula 1 Gulf Air #BahrainGP! A chance to witness #TheFirstEdition of F1 2021, from 26 to 28 March. Important note: Tickets are only available to vaccinated or COVID-19 recovered individuals. Visit  https://t.co/T9mOq5Taj0 for more info.  https://t.co/y5Rp5J6NHM",en,5.0,57.0,170.0,
65,2021-03-04 22:19:04 India Standard Time,king_boking,@News5PH Maliban sa pfizer na order ni madame leni na gi deliver na rin ahead sa schedule may sarili pa siya covid vaccine na unlimeted ang efficacy kahit pa sa boboyog kagat ng cobra kasi hindi maka grab credit sa astra saka sa covax hahanap nalang ng iba para ma relevant sa 2022 elect.  https://t.co/5NeCUHCRQ2,tl,0.0,0.0,1.0,
66,2021-03-04 21:13:14 India Standard Time,sidhant,"Here is a complete list of countries India has sent covid vaccine so far. 47 countries from Caribbean to Asean, from Africa to Canada.  https://t.co/4O6HH9Ljjx",en,4.0,32.0,87.0,
67,2021-03-04 21:08:19 India Standard Time,sidhant,"India sends COVID vaccines to 47 countries - Canada gets 500k doses, Caribbean lauds generosity  https://t.co/NATNneCf1U",en,0.0,7.0,49.0,
68,2021-03-04 21:06:04 India Standard Time,sidhant,"India sends Covid vaccines to 47 countries; Canada gets 500,000, CARICOM region thank New Delhi's Generosity.  https://t.co/rOGC8P5Nhe  @wionews",en,4.0,27.0,145.0,
69,2021-03-04 20:01:52 India Standard Time,hasanlovem,"Kuwait Daily Covid Cases Rise To 1,716 | Kuwait Local   https://t.co/vhBAigPara",en,0.0,0.0,0.0,
70,2021-03-04 20:01:39 India Standard Time,hasanlovem,"Kuwait Daily Covid Cases Rise To 1,716 | Kuwait Local   https://t.co/vhBAigPara",en,0.0,0.0,0.0,
71,2021-03-04 20:01:19 India Standard Time,hasanlovem,"Kuwait Daily Covid Cases Rise To 1,716 | Kuwait Local   https://t.co/vhBAigPara",en,0.0,0.0,0.0,
72,2021-03-04 19:51:09 India Standard Time,dm2579,"Next Lockdown on the way -   ""Over 85% of new COVID-19 cases are from six states across India""   https://t.co/qPOHskg6Ru",en,0.0,0.0,0.0,
73,2021-03-04 19:21:56 India Standard Time,afolabi194,BallWork Drills #ACMilan #Fortnite #VaccinePassports #twitchstream #Malaysian #DemiPemulihanRI #vaccine #COVID19Vaccine #COVID #EuropaLeague #ChampionsLeague #UEFAChampionsLeague #MFLTransfer2021 #PremierLeague #PRELEMI #footballtime #EuropaLeague #ATMCHE #CHUANG2021 ￼  https://t.co/t8rsBM7cmK,en,0.0,0.0,1.0,
74,2021-03-04 19:05:38 India Standard Time,king_boking,@sy_todd @billionaire_rei @ABSCBNNews Sila ang tuta ni duterte ang china saka british. Nag padala ng covid vaccine libri.  https://t.co/Sql7rAOhdX,tl,0.0,0.0,0.0,
75,2021-03-04 18:55:19 India Standard Time,richardbarrow,"There are normally two sleeper trains to Chiang Mai every night, the new No.9 and the older No.13. As not so many people are traveling during COVID, only one sleeper train is running. Unfortunately it’s the old one as you can see from the photos. But still clean and comfortable.  https://t.co/rw4v6sK19Y",en,2.0,2.0,10.0,
76,2021-03-04 18:52:56 India Standard Time,the_pattayanews,"Phuket, Pattaya, and other foreign tourism reliant parts of Thailand pushing forward hard for priority of their local residents to be vaccinated for Covid-19 by September of 2021, in time for high season this year.   https://t.co/lFY6ntWRg7",en,0.0,0.0,1.0,
77,2021-03-04 18:23:27 India Standard Time,alishai05626921,@IndiGo6E dear please tel me i have to go urgent in kolkata tomorrow but i am not able to get covid report as it take minimum 12hr plz help,en,1.0,0.0,0.0,
78,2021-03-04 18:05:36 India Standard Time,engrafzalhussa1,BAD NEWS..  HBL PSL 6 has been postponed after multiple positive Covid-19 cases.  https://t.co/AkY4GwP3mU,en,0.0,0.0,1.0,
79,2021-03-04 18:04:18 India Standard Time,mohammadaliazh3,"Things were going perfect for PCB. Organised domestic matches, hosted Zimbabwe and SouthAfrica for bilateral series, completed PSL 5. And now once again entire tournament was about to played in Pakistan during Covid with spectators also allowed.",en,1.0,0.0,1.0,
80,2021-03-04 18:02:46 India Standard Time,madan_regmi,India donated one million doze of  Covid-19 vaccine Covishield to Nepal.This vaccine is made by Oxford and Astra Zeneca.The Government of India  has fixed the price of the vaccine Rs 250 per doze. Canada  has purchased two million doze of this vaccine.,en,0.0,0.0,0.0,
81,2021-03-04 18:02:46 India Standard Time,king_boking,"@PinoyAkoBlog Pwede naman mo epal si leni para maging relevant rin siya sa election sa 2022, sabihin niya may covid vaccine rin siya order. Mas maaga pa dumating sa schedule unlimeted efficacy.  https://t.co/MnieTcSfhd",tl,0.0,0.0,0.0,
82,2021-03-04 18:01:31 India Standard Time,vijuinnaite,"""Over 85% of new COVID-19 cases are from six states across India""   https://t.co/h0Jyzm4JHm",en,0.0,0.0,0.0,
83,2021-03-04 17:56:08 India Standard Time,manas_boxi,"@fekufakir @ParamveerChoud9 @arpaninto1 @BesuraTaansane @desimojito 1947: India received 93 cases of penicillin from Canada.  2021: Canada received 5 lakh doses of Covid-19 vaccines from India, 15 lakh more doses to be supplied soon.",en,1.0,0.0,0.0,
84,2021-03-04 17:54:47 India Standard Time,ahmadaz58933158,COVID-19 Malaysia Updates  https://t.co/8DjfxMgKbv,en,0.0,0.0,1.0,
85,2021-03-04 17:53:48 India Standard Time,gurpisidhu,COVID-19 se Modi kya kam hai ..???  #ModiRaidsProFarmers  https://t.co/T9ZaS0TRuJ,hi,0.0,0.0,0.0,
86,2021-03-04 17:52:41 India Standard Time,pratimbose,Maharashtra blamed surge in #Covid_19 cases to #weddings. Marriages are truly made in heaven.    https://t.co/oIdZcJEH1J,en,0.0,1.0,2.0,
87,2021-03-04 17:52:05 India Standard Time,jjcmperak,"Assalamualaikum &amp; salam sejahtera kome ❤️1 KARNIVAL KERJAYA yang akan diadakan pada 6 MAC 2021 ini.Covid 19 sangatlah bagi kesan  kepada ekonomi terutama rakyat marhaen macam kita😭 Masa: 9 pagi - 12 tengah hari  Tempat:  Dewan Orang Ramai, Taman Bersatu, SIMPANG PULAI, IPOH  RT!  https://t.co/1Mjx9Wwurz",in,0.0,18.0,11.0,
88,2021-03-04 17:51:51 India Standard Time,mahendra3,"""Over 85% of new COVID-19 cases are from six states across India""   https://t.co/uu0dvhQo78  और नाम  पूरे देश का बदनाम।",und,1.0,0.0,1.0,
89,2021-03-04 17:49:43 India Standard Time,shubham_neuro,A preprint providing important insights into the real-life post-COVID vaccination antibody response with COVISHIELD in India!  High antibody response was seen in a median duration of 28 days after the first dose!!  #Covishield #COVID19India #COVID19Vaccine  https://t.co/9WDaY3yvfV,en,0.0,1.0,4.0,
90,2021-03-04 17:49:02 India Standard Time,m_alwathlan,الحمدلله ، أخذت هذا اليوم الجرعه الاولى من لقاح #كورونا ، بكل يسر وسهولة وتنظيم .  @SaudiMOH   #السعودية_العظمى 🇸🇦 #covid_19,ar,0.0,0.0,0.0,
91,2021-03-04 17:48:10 India Standard Time,talhaziamtz,*PSL 6* Postponed 🥺 Meanwhile COVID-19 #PSL6 #pashawarzalmi #YellowStorm #TalhaZiaMTZ  https://t.co/CfoPPTbNAj,en,0.0,0.0,3.0,
92,2021-03-04 17:47:49 India Standard Time,drwaheedmiraj,COVID Vaccines Production by country!  https://t.co/9s39NPPaiV,en,0.0,0.0,3.0,
93,2021-03-04 17:41:46 India Standard Time,vivekpaul,"#HumanCentric #Design.  Quotes from industry leaders applying #DesignThinking in Covid; ""Artists realised that they all need to come together, and the only way to do that is by helping each other and sharing the information with each other""@ssp10feb   https://t.co/sE0xsaZEzV",en,0.0,1.0,0.0,
94,2021-03-04 17:32:22 India Standard Time,virsain7,@Saranghae_peace I learnt dishes cleaning during COVID,en,0.0,0.0,1.0,
95,2021-03-04 17:24:21 India Standard Time,jehlamtimes,"79 new COVID-19 cases in J-K  #JMUSGR: Jammu and Kashmir on Thursday reported 79 new positive cases, taking tally to 126772.  14 from Jammu division, 65 from Kashmir division.  https://t.co/Gjm5dsAuJ7",en,0.0,0.0,2.0,
96,2021-03-04 17:19:49 India Standard Time,_balothiya,"Hi BSES,  Its been a week since our area West Sagarpur Delhi is effected with a long power cut again and again. In the circumstances of COVID pandemic we are WFH but affected with power cut.  To show your credibility could you please restore power asap.  #BRPL @bsesdelhi #bses",en,2.0,0.0,0.0,
97,2021-03-04 17:19:01 India Standard Time,khalidsaeedbut1,"@geonews_urdu We can provide a safe system based on BiPolar Ionization technology,  which can protect all players from covid infection.  100% guaranteed.  03008492060",en,0.0,0.0,0.0,
98,2021-03-04 17:15:38 India Standard Time,shaiekhkaiser,Covid fatigue  nation are opening up despite the Virus is still very much in action  Sudden rise in fatalities is clear indication of pandemic is not receded,en,0.0,2.0,2.0,
99,2021-03-04 17:10:04 India Standard Time,sunil1348,Made-in-India COVID vaccines have the lowest prices in the world if any eligible citizen chooses to pay for the inoculation. It’s free at all the government centres.  #LargestVaccinationDrive #Vaccine4All  https://t.co/PA0wR6eg44,en,0.0,0.0,1.0,
100,2021-03-04 17:09:21 India Standard Time,sachinsangp,"@brightmoon_sky @mybmc @PMOIndia @HMOIndia @MoHFW_INDIA @CMOMaharashtra @AnilDeshmukhNCP @rajeshtope11 @mayor_mumbai @mybmcHealthDept @mybmcPHD @PIBMumbai Don’t think if you’ve got positive for COVID you’ll be getting the vaccination, know both the sides.. :)  People need to choose any one thing from whether wearing mask for own safety or either to wear the mask and be positive for COVID   @mybmc is doing a good work pls appreciate",en,0.0,0.0,2.0,
101,2021-03-04 17:05:44 India Standard Time,kaalchakraom,"Despite scheduling Covid vaccination, Staff said they are issuing 200 coupons after 7am everyday. Staff was watching videos on mobile, possibly using Hospital WiFi! About 200 older people were made to wait for 7-8 hrs, citing system issues. Issuing coupons can lead to corruption",en,2.0,0.0,0.0,
102,2021-03-04 17:02:00 India Standard Time,kaalchakraom,"@drharshvardhan @narendramodi @MPShrirangBarne @AjitPawarSpeaks @Dev_Fadnavis @iLaxmanJagtap @CMOMaharashtra @rsprasad @uddhavthackeray @OfficeofUT Bad Covid vaccination exp at New Jijabai Hospital, Pimpri, Pune. Co-win Reg Schedule not accepting. They are issuing Coupons!  https://t.co/6Ceg8ofNra",en,1.0,0.0,0.0,
103,2021-03-04 16:43:16 India Standard Time,ilovehyderabad,"@1Sanobar @nuts2406 Oh, how nice. Are you travelling too much even now? Covid has not left us at all. One needs to take a lot of precautions. Travelling should be extremely restricted. Let us know when you are in Hyderabad next. The people of Hyd are v affectionate but its beauty  has been ruined!😥",en,1.0,0.0,2.0,
104,2021-03-04 16:41:21 India Standard Time,drmurukadas,04.02.2021 Recently #Covid_19+ve cases in India is showing declining trend.Rise in cases in the last 24 hrs is 12286. Total cases today is 11124527- recovery so far is 10826075 (97.03%); fatalities-157435 (1.41)&amp; active cases -173413(1.55%),en,0.0,0.0,1.0,
105,2021-03-04 16:40:14 India Standard Time,tonichan007,Good to know that India leads in production of Covid vaccine. #India #COVID19Vaccine  #coronavirus,en,0.0,0.0,1.0,
106,2021-03-04 16:40:11 India Standard Time,dayanandsopte,Took the first Jab of Covid-19 vaccine today at CHC Tuem.  I urge all the citizens above 60 years and citizens with noted co-morbidities in the age bracket of 45-59 years to take the vaccines.  #getyourselfvaccinated #COVID19Vaccine #sopte4mandrem #bjp4mandrem  https://t.co/coFN9ykic3,en,0.0,0.0,4.0,
107,2021-03-04 16:34:58 India Standard Time,pxrby,ก็คือกลับไปหนักเท่าช่วงที่อยู่บ้านcovid อีกแล้ว แต่จริงๆก็พอจะรู้แหละเพราะใส่ชุดนักศึกษาแล้วอึดอัดมาก อยากเลิกรีบกลับมาเปลี่ยนชุด5555555,th,0.0,0.0,0.0,
108,2021-03-04 16:32:48 India Standard Time,marjankhan313,کرونا کے بڑھتے کیسز کے باعث پاکستان سپر لیگ 6 ملتوی کر دیا گیا۔ PSL 6 has been postponed due to increasing cases of Covid. #kHaن,und,0.0,0.0,4.0,
109,2021-03-04 16:30:01 India Standard Time,zakarieismael,#Covid_19 wave one = @tiktok_us  #Covid_19  wave Two = @joinClubhouse aa lagu moodaa.  Tech apps❤️,en,0.0,0.0,0.0,
