,tweet,clean_tweet,label
19,"Dear DrSurender Nikhil Gupta,  Congratulations! You are successfully administrated with 2nd Dose of COVID-19. You can download your provisional certificate at -  https://t.co/N9ARWieFNF. In case of any queries post vaccination , contact our help line at 1075 - CoWIN  No Prov Certi",dear drsurend nikhil gupta congratul success administr dose covid download provision certif case queri post vaccin contact help cowin prov certi ,0
20,"@aryan66 Lols  Even they have no data..  no.of test list when court ask no data, no.of covid cases no data, no.of vaccines given no data, no.of vaccinated ones alive, side effects no data,  6years only things happening is Hussain sagar work lolz",lol data noof test list court ask data noof covid case data noof vaccin give data noof vaccin one aliv effect data year thing happen hussain sagar work lolz ,0
21,"Flash: Caribbean countries, being represented by St Lucia thanks India at WTO for sending Covid vaccines. Statement says ""This act of selflessness is testament to the solidarity of the government and People of India with CARICOM."" Full statement⤵️  https://t.co/AE9jmvEqU0",flash caribbean countri repres lucia india wto send covid vaccin statement act selfless testament solidar govern peopl india caricom statement ,0
22,"@balbir59 Sir we have had an awful 2020 with covid, we need some form of entertainment no?",sir covid form entertain ,0
23,@BbmpsplHealth Sir can you please educate us on latest quarantine rules for Asymptomatic COVID positive patients... 10/14/17 days....,sir educ latest quarantin rule asymptomat covid posit patient day ,0
24,"@rajeshtope11 @Dev_Fadnavis @AjitPawarSpeaks @rajeshtope11 # sir nashik has no testing goverment facility for covid rcpc test, all are sent to Aurangabad ,request you to have direct facility at nashik",sir nashik test gover facil covid rcpc test sent aurangabad request direct facil nashik ,0
25,"@Dev_Fadnavis @AjitPawarSpeaks @rajeshtope11 # sir nashik has no testing goverment facility for covid rcpc test, all are sent to Aurangabad ,request you to have direct facility at nashik",sir nashik test gover facil covid rcpc test sent aurangabad request direct facil nashik ,0
26,Traders flout Covid-19 guidelines; claim the disease is a myth   Check out my story on Thesoftcopy @iijnmbangalore    https://t.co/RaJH7Ukain    #corona #heath #bangalore,trader flout covid guidelin claim diseas myth check stori thesoftcopi ,0
27,The Covid Protocols #WorldTradePark  https://t.co/5Gd9j0mVN3,covid protocol ,0
28,"n addition to BMC centres, 29 pvt. hospital in Mumbai have been given permissions to carry out COVID Vaccination Drive. @CMOMaharashtra @AUThackeray  #MyBMCUpdates  https://t.co/cZDWTekvvv",addit bmc centr pvt hospit mumbai give permiss carri covid vaccin drive ,0
29,"Imagine April 1st come and government be like "" April fools COVID was fake""🥲😳",imagin april govern like april fool covid fake ,0
30,"We are delighted to share that our CEO, Ms. Avani Singh, inaugrated the SpiceHealth COVID-19 #VaccineDrive!  We believe our frontline workers have shown great courage and worked tirelessly during these trying times, and deserve this!  https://t.co/pcG2ppUXjS",delight share ceo avani singh inaugr spicehealth covid believ frontlin worker show great courag work tirelessli time deserv ,0
31,"Achieving an equal future in a COVID-19 World #WomensHistoryMonth #IWD2021  Photo :Nagar Valley, Hunza  https://t.co/4EJZTPGeW0",achiev equal futur covid world photo nagar valley hunza ,0
32,So when is kluster rentas negara? We only need 1 btw  Pls covid-19 do your job😉,kluster renta negara covid job ,0
33,Grade 8 student @WendyGwalior campaigning to take care of the environment in Covid 19-Pandemic. #covid_19 #studentcampaign #environment #raiseyourvoice #stayhome #staysafe  https://t.co/t1vODvgfp9,grade student campaign care environ covid pandem ,0
34,Bosnia accepting donation of 5000  vaccine doses from Serbia.   Covid has changed the world in many ways.,bosnia accept donat vaccin serbia covid chang world way ,0
35,"After Covid break, flowers showered, candies distributed to welcome back students in schools across the state. On the first day of reopening of schools after nearly 11 months, #UPCM Shri @myogiadityanath Ji interacted with the braveheart kids.  https://t.co/lipH7r02D5",covid break flower shower candi distribut welcom student school state day reopen school nearli month shri interact braveheart kid ,0
36,Celebrating Womanhood and learning during Covid Times as an entrepreneur. SUBURB breaking boundaries to go digital. @ Delhi/Gurgaon/NCR  https://t.co/Z3wsn5p82M,celebr womanhood learn covid time entrepreneur suburb break boundari digit delhigurgaonncr ,0
37,"""COVID-19 in India"" #coronavirus  https://t.co/jBpKIoau1B",covid india ,0
38,"@drmjabalpur @drmdhnecr @RailwaySeva Sir, train no.09608 detained at Gondawali since 20.45 just to give a way to a goods train resulting in unnecessary delay of the train arrivals at Singrauli . During this Covid it's seems unfair on the part of Railways for this act.",sir train detain gondawali way train result unnecessari delay train arriv singrauli covid unfair railway act ,0
39,"Had an excellent experience today afternoon of walk-in free covid vaccination at 7 Hills Hospital, Marol, Mumbai. Outstanding staff coordination, extremely polite &amp; helpful, well organised movement of Q's and comfortable arrangements for all.",excel experi today afternoon walkin free covid vaccin hill hospit marol mumbai outstand staff coordin extrem polit help organis movement comfort arrang ,0
40,"AGDA hosted a productive #Next50Talks session that extensively discussed the impact of the Covid-19 pandemic during conflict and humanitarian crises, with a focus on the “triple vulnerability” group (conflict, Covid-19 &amp; climate), as well as the secondary impacts of the pandemic.  https://t.co/94fGqUlInY",agda host product session extens discuss impact covid pandem conflict humanitarian crisi focu tripl vulner group conflict covid climat secondari impact pandem ,0
41,6 positive covid,posit covid ,0
42,@VinGuptaMD can vaccinated person still transmit covid.,vaccin person transmit covid ,0
43,"Mr. Peter Maurer, President of the International Committee of the Red Cross @ICRC during “The Impact of the Covid-19 During Conflict and Humanitarian Crises” session.  https://t.co/dKZAThosMw",peter maurer presid intern committe red cross impact covid conflict humanitarian crisi session ,0
44,"@ARanganathan72 Best part is  Mumbai oldies cant wait If you dont have covid sit home relax, Go to work APNI SAFETY dekho Pr pr pr Aaj hi vaccine chaiye these are woke people with zero sense. Social distancing gayi tel lene Humko vaccine chaiye 😓 Sad to see such bright city with such peeps",best mumbai oldi cant wait dont covid sit home relax work apni safeti dekho aaj vaccin chaiy woke peopl zero sens social distanc gayi tel lene humko vaccin chaiy sad bright citi peep ,0
45,@srivathsacm  Today's video.  Place BKC. Mumbai. Event: covid vaccination.  https://t.co/JItyOrwXo4,today video place bkc mumbai event covid vaccin ,0
46,Me on the first flight after this covid  https://t.co/JaYQnKdYuB,flight covid ,0
47,"With a focus on the Covid crisis, innovation, India-Sweden to hold virtual summit  https://t.co/JInBqm43dT  @wionews",focu covid crisi innov indiasweden hold virtual summit ,0
48,"BREAKING: Tickets on sale NOW for the 2021 Formula 1 Gulf Air #BahrainGP! A chance to witness #TheFirstEdition of F1 2021, from 26 to 28 March. Important note: Tickets are only available to vaccinated or COVID-19 recovered individuals. Visit  https://t.co/T9mOq5Taj0 for more info.  https://t.co/y5Rp5J6NHM",break ticket sale formula gulf air chanc wit march import note ticket avail vaccin covid recov individu visit info ,0
49,"Here is a complete list of countries India has sent covid vaccine so far. 47 countries from Caribbean to Asean, from Africa to Canada.  https://t.co/4O6HH9Ljjx",complet list countri india sent covid vaccin far countri caribbean asean africa canada ,0
50,"India sends COVID vaccines to 47 countries - Canada gets 500k doses, Caribbean lauds generosity  https://t.co/NATNneCf1U",india send covid vaccin countri canada caribbean laud generos ,0
51,"India sends Covid vaccines to 47 countries; Canada gets 500,000, CARICOM region thank New Delhi's Generosity.  https://t.co/rOGC8P5Nhe  @wionews",india send covid vaccin countri canada caricom region new delhi generos ,0
52,"Kuwait Daily Covid Cases Rise To 1,716 | Kuwait Local   https://t.co/vhBAigPara",kuwait daili covid case rise kuwait local ,0
53,"Kuwait Daily Covid Cases Rise To 1,716 | Kuwait Local   https://t.co/vhBAigPara",kuwait daili covid case rise kuwait local ,0
54,"Kuwait Daily Covid Cases Rise To 1,716 | Kuwait Local   https://t.co/vhBAigPara",kuwait daili covid case rise kuwait local ,0
55,"Next Lockdown on the way -   ""Over 85% of new COVID-19 cases are from six states across India""   https://t.co/qPOHskg6Ru",lockdown way new covid case state india ,0
56,BallWork Drills #ACMilan #Fortnite #VaccinePassports #twitchstream #Malaysian #DemiPemulihanRI #vaccine #COVID19Vaccine #COVID #EuropaLeague #ChampionsLeague #UEFAChampionsLeague #MFLTransfer2021 #PremierLeague #PRELEMI #footballtime #EuropaLeague #ATMCHE #CHUANG2021 ￼  https://t.co/t8rsBM7cmK,ballwork drill ,0
57,"There are normally two sleeper trains to Chiang Mai every night, the new No.9 and the older No.13. As not so many people are traveling during COVID, only one sleeper train is running. Unfortunately it’s the old one as you can see from the photos. But still clean and comfortable.  https://t.co/rw4v6sK19Y",normal sleeper train chiang mai night new older peopl travel covid sleeper train unfortun old photo clean comfort ,0
58,"Phuket, Pattaya, and other foreign tourism reliant parts of Thailand pushing forward hard for priority of their local residents to be vaccinated for Covid-19 by September of 2021, in time for high season this year.   https://t.co/lFY6ntWRg7",phuket pattaya foreign tourism reliant part thailand push forward hard prioriti local resid vaccin covid septemb time high season year ,0
59,@IndiGo6E dear please tel me i have to go urgent in kolkata tomorrow but i am not able to get covid report as it take minimum 12hr plz help,dear tel urgent kolkata tomorrow abl covid report minimum plz help ,0
60,BAD NEWS..  HBL PSL 6 has been postponed after multiple positive Covid-19 cases.  https://t.co/AkY4GwP3mU,bad news hbl psl postpon multipl posit covid case ,0
61,"Things were going perfect for PCB. Organised domestic matches, hosted Zimbabwe and SouthAfrica for bilateral series, completed PSL 5. And now once again entire tournament was about to played in Pakistan during Covid with spectators also allowed.",thing perfect pcb organis domest match host zimbabw southafrica bilater seri complet psl entir tournament play pakistan covid spectat allow ,0
62,India donated one million doze of  Covid-19 vaccine Covishield to Nepal.This vaccine is made by Oxford and Astra Zeneca.The Government of India  has fixed the price of the vaccine Rs 250 per doze. Canada  has purchased two million doze of this vaccine.,india donat million doze covid vaccin covishield nepalthi vaccin oxford astra zenecath govern india fix price vaccin doze canada purchas million doze vaccin ,0
63,"""Over 85% of new COVID-19 cases are from six states across India""   https://t.co/h0Jyzm4JHm",new covid case state india ,1
64,"@fekufakir @ParamveerChoud9 @arpaninto1 @BesuraTaansane @desimojito 1947: India received 93 cases of penicillin from Canada.  2021: Canada received 5 lakh doses of Covid-19 vaccines from India, 15 lakh more doses to be supplied soon.",india receiv case penicillin canada canada receiv lakh covid vaccin india lakh suppli soon ,0
65,COVID-19 Malaysia Updates  https://t.co/8DjfxMgKbv,covid malaysia updat ,0
66,Maharashtra blamed surge in #Covid_19 cases to #weddings. Marriages are truly made in heaven.    https://t.co/oIdZcJEH1J,maharashtra blame surg case marriag truli heaven ,0
67,A preprint providing important insights into the real-life post-COVID vaccination antibody response with COVISHIELD in India!  High antibody response was seen in a median duration of 28 days after the first dose!!  #Covishield #COVID19India #COVID19Vaccine  https://t.co/9WDaY3yvfV,preprint provid import insight reallif postcovid vaccin antibodi respons covishield india high antibodi respons median durat day dose ,0
68,*PSL 6* Postponed 🥺 Meanwhile COVID-19 #PSL6 #pashawarzalmi #YellowStorm #TalhaZiaMTZ  https://t.co/CfoPPTbNAj,psl postpon covid ,0
69,COVID Vaccines Production by country!  https://t.co/9s39NPPaiV,covid vaccin product countri ,0
70,"#HumanCentric #Design.  Quotes from industry leaders applying #DesignThinking in Covid; ""Artists realised that they all need to come together, and the only way to do that is by helping each other and sharing the information with each other""@ssp10feb   https://t.co/sE0xsaZEzV",quot industri leader appli covid artist realis way help share inform ,0
71,@Saranghae_peace I learnt dishes cleaning during COVID,learnt dish clean covid ,0
72,"79 new COVID-19 cases in J-K  #JMUSGR: Jammu and Kashmir on Thursday reported 79 new positive cases, taking tally to 126772.  14 from Jammu division, 65 from Kashmir division.  https://t.co/Gjm5dsAuJ7",new covid case jammu kashmir thursday report new posit case talli jammu divis kashmir divis ,0
73,"Hi BSES,  Its been a week since our area West Sagarpur Delhi is effected with a long power cut again and again. In the circumstances of COVID pandemic we are WFH but affected with power cut.  To show your credibility could you please restore power asap.  #BRPL @bsesdelhi #bses",week area west sagarpur delhi effect long power cut circumst covid pandem wfh affect power cut credibl restor power asap ,0
74,"@geonews_urdu We can provide a safe system based on BiPolar Ionization technology,  which can protect all players from covid infection.  100% guaranteed.  03008492060",provid safe system base bipolar ioniz technolog protect player covid infect guarante ,0
75,Covid fatigue  nation are opening up despite the Virus is still very much in action  Sudden rise in fatalities is clear indication of pandemic is not receded,covid fatigu nation open despit viru action sudden rise fatal clear indic pandem reced ,0
76,Made-in-India COVID vaccines have the lowest prices in the world if any eligible citizen chooses to pay for the inoculation. It’s free at all the government centres.  #LargestVaccinationDrive #Vaccine4All  https://t.co/PA0wR6eg44,madeinindia covid vaccin lowest price world elig citizen choos pay inocul free govern centr ,0
77,"@brightmoon_sky @mybmc @PMOIndia @HMOIndia @MoHFW_INDIA @CMOMaharashtra @AnilDeshmukhNCP @rajeshtope11 @mayor_mumbai @mybmcHealthDept @mybmcPHD @PIBMumbai Don’t think if you’ve got positive for COVID you’ll be getting the vaccination, know both the sides.. :)  People need to choose any one thing from whether wearing mask for own safety or either to wear the mask and be positive for COVID   @mybmc is doing a good work pls appreciate",dont youv posit covid youll vaccin side peopl choos thing wear mask safeti wear mask posit covid work appreci ,0
78,"Despite scheduling Covid vaccination, Staff said they are issuing 200 coupons after 7am everyday. Staff was watching videos on mobile, possibly using Hospital WiFi! About 200 older people were made to wait for 7-8 hrs, citing system issues. Issuing coupons can lead to corruption",despit schedul covid vaccin staff issu coupon everyday staff watch video mobil possibl hospit wifi older peopl wait cite system issu issu coupon lead corrupt ,0
79,"@drharshvardhan @narendramodi @MPShrirangBarne @AjitPawarSpeaks @Dev_Fadnavis @iLaxmanJagtap @CMOMaharashtra @rsprasad @uddhavthackeray @OfficeofUT Bad Covid vaccination exp at New Jijabai Hospital, Pimpri, Pune. Co-win Reg Schedule not accepting. They are issuing Coupons!  https://t.co/6Ceg8ofNra",bad covid vaccin exp new jijabai hospit pimpri pune cowin reg schedul accept issu coupon ,0
80,"@1Sanobar @nuts2406 Oh, how nice. Are you travelling too much even now? Covid has not left us at all. One needs to take a lot of precautions. Travelling should be extremely restricted. Let us know when you are in Hyderabad next. The people of Hyd are v affectionate but its beauty  has been ruined!😥",travel covid left precaut travel extrem restrict hyderabad peopl hyd affection beauti ruin ,0
81,04.02.2021 Recently #Covid_19+ve cases in India is showing declining trend.Rise in cases in the last 24 hrs is 12286. Total cases today is 11124527- recovery so far is 10826075 (97.03%); fatalities-157435 (1.41)&amp; active cases -173413(1.55%),recent case india show declin trendris case total case today recoveri far fatal activ case ,1
82,Good to know that India leads in production of Covid vaccine. #India #COVID19Vaccine  #coronavirus,india lead product covid vaccin ,0
83,Took the first Jab of Covid-19 vaccine today at CHC Tuem.  I urge all the citizens above 60 years and citizens with noted co-morbidities in the age bracket of 45-59 years to take the vaccines.  #getyourselfvaccinated #COVID19Vaccine #sopte4mandrem #bjp4mandrem  https://t.co/coFN9ykic3,jab covid vaccin today chc tuem urg citizen year citizen note comorbid age bracket year vaccin ,0
84,#Covid_19 wave one = @tiktok_us  #Covid_19  wave Two = @joinClubhouse aa lagu moodaa.  Tech apps❤️,wave wave lagu moodaa tech app ,0
85,"ARC AID continues efforts to ensure children across the country have access to basic food supplies during the covid-19 crisis. With your generosity, food packages have reached 147 children and their families affected by the pandemic in Faafu Atoll.  https://t.co/xmrvtuoRYl",arc aid continu effort ensur child countri access basic food suppli covid crisi generos food packag reach child famili affect pandem faafu atol ,0
86,"@KazmiWajahat Very sad.   If PSL management would have considered the latest technology of Bipolar Ionization,  postponement could never happen.   Virus spread from  Air and Surface,  if continuous disinfection process is adopted,  0% chance of covid transmission.  We can do it. 03008492060  https://t.co/K0BD0lD68i",sad psl manag consid latest technolog bipolar ioniz postpon happen viru spread air surfac continu disinfect process adopt chanc covid transmiss ,0
87,"At this point, I feel it's weird if I see a face without a mask, even in movies. I need to tell myself that the shooting happened before covid.",point feel weird face mask movi tell shoot happen covid ,0
88,"@DaleSteyn62 hope now #PSL62021 Is much rewarding you with Covid-19, think before you talk, because you wont be able to talk again after your rubbish statement on @IPL  #DaleSteyn Bye bye...! U missed it mate",hope reward covid talk wont abl talk rubbish statement bye bye miss mate ,0
89,@callmemuzzy 3rd option Covid-19.. 😭😭😭,option covid ,0
90,TAKE PLEDGE to take VACCINE and get SAVED Happy National Safety Day  #safety #safetyfirst #covid #security #health #construction #staysafe #safe #coronavirus #protection #love #training #business #stayhome  https://t.co/BvRHVWlmF0,pledg vaccin save happi nation safeti day ,0
91,Selangor Journal | Local IPT students exempted from Covid-19 screening fee — Health Minister  https://t.co/RqRJNx6O3Z  https://t.co/U1zZ84ygkF,selangor journal local ipt student exempt covid screen fee health minist ,0
92,PSL 2021 postponed indefinitely due to Covid-19 outbreak 😷  https://t.co/qc5HwftSss,psl postpon indefinit covid outbreak ,0
93,"Not a single person wearing mask. Looks like COVID is finally vanquished, no more Coronavirus in India.",singl person wear mask look like covid final vanquish coronaviru india ,0
94,"Actor Johnny Lever received COVID-19 vaccine at BKC Jumbo vaccination centre in Mumbai, Maharashtra earlier today  https://t.co/aMpLeuXQc7",actor johnni lever receiv covid vaccin bkc jumbo vaccin centr mumbai maharashtra earlier today ,0
95,No wonder if this COVID-19 could be a Scam19-20 ... In the Pandemic The Poor Become worst and The existing RICH Become More Rich... wah Kya scene hai ... #COVID19aScamm #vaccination,wonder covid scam pandem poor worst exist rich rich wah kya scene hai ,0
96,How to Safely Restart Elective Surgeries After a Covid Spike  https://t.co/bOZDmUGhLw #healthcare #leadership #Covid19 #ElectiveSurgery #PatientSafety #Transformation,safe restart elect surgeri covid spike ,0
97,"#Candlelight vigil in F9 park is yet another very well organized event and that with covid protocols. GB Cares, @HnzianCrew and individuals such as @asifkhoja @arslanshafa and DHO Isb deserve a big round of applause. Once again thank you for honouring our heroes.  https://t.co/LKvTYZDNZB",vigil park organ event covid protocol care individu dho isb deserv big round applaus honour hero ,0
98,06.02.2021 Recently #Covid_19+ve cases in India is showing declining trend.But rise in cases in the last 24 hrs is 18327 (higherer than yesterday).Total cases today is 11192088- recovery so far is 10854128 (97.98%); fatalities-157656 (1.41)&amp; active cases -180304(1.55%),recent case india show declin trendbut rise case higher yesterdaytot case today recoveri far fatal activ case ,1
99,"05.03.2021 InTamilNadu,daily #Covid_19 +ve cases,which remained below500 for a month, rose to 543 today;inChennai today rose by225 from189ye'day&amp; other districts is 328. Total inTN is 853992;Chennai 236875(27.5%).Discharged cases- 837525 (97.9%); fatalities-12513(1.4%)active 3954",intamilnadudaili caseswhich remain month rise todayinchennai today rise fromyedayamp district total intn chennai discharg case fatalitiesact ,0
100,Tomorrow marks one year of Covid-19 in Tamil Nadu. The first case was reported on March 7 last year. It was a 45-year-old from Kancheepuram who returned from Oman to India. He was admitted at the RGGGH in Chennai. #COVID19 #India #TamilNadu #Chennai #Subash,tomorrow mark year covid tamil nadu case report march year yearold kancheepuram return oman india admit rgggh chennai ,0
101,Hassan and Tumakuru had one death each. Details of Covid status in diff districts in Ktaka:  https://t.co/cS2aK7vmzX,hassan tumakuru death detail covid statu diff district ktaka ,0
102,Karnataka had a total of 580 fresh #Covid_19 cases &amp; 5 deaths on Saturday. Bengaluru had 367 new  cases &amp; 3 deaths. Total tests 82229 +vty rate 0.70%. Overall covid deaths in State so far: 12359 Blr: 4496  @ChitraSundaram7 @scooban @Amit_A_Tiwari @dr_asr @SunithaNahar @sun_usind,karnataka total fresh case death saturday bengaluru new case death total test vti rate overal covid death state far blr ,1
103,"We are at bbs railway station , a large no especially senior citizens are gathered without following covid guidelines, poor administration sleeping no Rpf to take care of..  https://t.co/yEjlFFb0re",railway station larg especi senior citizen gather follow covid guidelin poor administr sleep rpf care ,0
104,"Dear Covid-19, let us go out travel freely because we had enough of staying at the same place for long. #travel #thelookoutlodge #wanaka #NewZealand #rugby #COVID19  https://t.co/QXAyxPEprv",dear covid travel freeli stay place long ,0
105,@Capt_khalid @i6aliyah With COVID-19 around us! I may say thank god I have not one but two cats😂,covid god cat ,0
106,"His Holiness the Dalai Lama receiving the first dose of COVID-19 vaccine at Zonal Hospital, Dharamsala, HP, India on March 6, 2021.  https://t.co/gxjKVJJfrC",holi dalai lama receiv dose covid vaccin zonal hospit dharamsala india march ,0
107,Plz recit this prayer to keep away for COVID-19🦠😷  https://t.co/TbqurfyWW4,plz recit prayer away covid ,0
108,"Sudden spike in daily new covid Case load in #Chandigarh is alarming &amp; worrisome.After giving such a good fight to #Covid, we are getting complacent and forgetting the #COVID19 appropriate behaviour. My appeal is to follow the health advisories and #StaySafe  @MoHFW_INDIA",sudden spike daili new covid case load alarm worrisomeaft give fight complac forget appropri behaviour appeal follow health advisori ,0
109,@Investingcom Thanks to Covid-19(00) vaccines 💉 produced by our scientists.  https://t.co/f1UcIATpvb,covid vaccin produc scientist ,0
110,"Harari makes some important points on lessons from covid. The importance of digital infra, the need for a global response, the importance of partnership across borders, need for data to be used for benefit of mankind   https://t.co/W1gedobxxA",harari import point lesson covid import digit infra global respons import partnership border data benefit mankind ,0
111,"Dr. Sherimon P.C will be on Oman Radio FM-English to talk about the Covid-19 Funded Research Project at #Arab_Open_University ,funded by Ministry of Higher Education  Research and Innovation, the timings are listed above. #aou #aouoman  https://t.co/3W0bsonR7I",sherimon oman radio fmenglish talk covid fund research project fund ministri higher educ research innov time list ,0
112,After covid new jobs  https://t.co/rL83AukVPc,covid new job ,0
113,"Thankyou Raipur, Gear up for #Rank-1  @MoHUA_India @Secretary_MoHUA @HardeepSPuri @KunalKumarPMC #RaipurMunicipalCorporation #Covid_19 #morraipurmorjimmedari  https://t.co/Ubis10qx9x",thankyou raipur gear ,0
114,Pune is contributing 10 percent of COVID Cases in India .   India had 18300 cases yesterday .  All those vulnerable should take the vaccine in the next 60 days .,pune contribut percent covid case india india case yesterday vulner vaccin day ,0
115,@NMMCCommr @NMMConline  This shop is not following any covid-19 norms. No mask no hand gloves. Area: Vashi station food court Name : Shree Guru krupa Rajasthani bhojnalay. Very unhygienic people. Please observe them u will come to know  https://t.co/7Xu99E33wO,shop follow covid norm mask hand glove area vashi station food court shree guru krupa rajasthani bhojnalay unhygien peopl observ ,0
116,"Divided by Covid;United by Yoga @ Mysore, Karnataka  https://t.co/dCIr8xnk5p",divid covidunit yoga mysor karnataka ,0
117,"Dear DHARMENDRA KUMAR UPADHAYA, You have been vaccinated with first dose of COVID-19. This message is from Union Ministry of Health and Family Welfare for obtaining your feedback on COVID -19 vaccination. You may provide your feedback by clicking on  https:Vaccination certificate",dear dharmendra kumar upadhaya vaccin dose covid messag union ministri health famili welfar obtain feedback covid vaccin provid feedback click httpsvaccin certif ,0
118,@SetuAarogya  the covid updates page is missing in the app.??.. It was a useful tracker for statewise information.  Pls look into it..,covid updat page miss app tracker statewis inform look ,0
119,Dear @mybmc @MumbaiPolice There is 0 social distancing &amp; no mask been followed in and around Crawford Market  If u enforce a lockdown in my area I am not sure I am going to follow if u don’t stop this  Ps: This place is bang opposite Commissioner’s office #Covid #Covid19,dear social distanc mask follow crawford market enforc lockdown area sure follow dont stop place bang opposit commission offic ,0
120,"@SonuSood Dear Sir, i m a great fan of your huminity in covid. I am residing in a small village Bandhalipara of Balangir District, Odisha. In our Village 90% people are depends on out side of state working. Due to covid they are not earning now they are so many fooding problems.",dear sir great fan humin covid resid small villag bandhalipara balangir district odisha villag peopl depend state work covid earn food problem ,0
121,It’s all too easy to carp &amp; criticise. Excellence &amp; good service need to be recognised. And so I’ve written a blog about the amazing experience I had today getting my first covid vaccine in a Delhi government hospital. Stellar treatment.  https://t.co/2vCDJ6pDVo,carp criticis excel servic recognis ive write blog amaz experi today covid vaccin delhi govern hospit stellar treatment ,0
122,@Congress_Army So you want situation like US in India?? You have seen death numbers in US &amp; if india didn't start lockdown by that time it was almost impossible to control Covid here..by consodering Indian health infrastructures..didn't you know before lockdown how many ventilators were here??,situat like india death number india didnt start lockdown time imposs control covid consod indian health infrastructuresdidnt lockdown ventil ,0
123,Will any oncologist kindly help me by advising me whether I should get covid vaccine when I have metatestic prostate cancer and on Arbitron 250 mg 4 tablets daily since March 1920  Harmon therapy till today . I am 76 years old. .,oncologist kindli help advis covid vaccin metatest prostat cancer arbitron tablet daili march harmon therapi till today year old ,0
