tweet,clean_tweet,hastags,attherate,urls,emojis,tokenized_Tweet,filteredToken,label
Philippines is waiting for the next batch of #donated Covid vaccines 💉 #gustokongmaluha 😭,philippin wait batch covid vaccin ,"['#donated', '#gustokongmaluha']",[],[],"['💉', '😭']","['philippines', 'is', 'waiting', 'for', 'next', 'batch', 'of', 'covid', 'vaccines']","['philippine', 'waiting', 'next', 'batch', 'covid', 'vaccine']",0
After a very long couple of weeks our grandmother is now home from Hulhumale’ Covid Facility.  Thank you to everyone who helped to take care of her &amp; my mother there.,long coupl week grandmoth home hulhumal covid facil help care mother ,[],[],[],[],"['after', 'a', 'very', 'long', 'couple', 'of', 'weeks', 'our', 'grandmother', 'is', 'now', 'home', 'hulhumale', '’', 'covid', 'facility', 'you', 'to', 'everyone', 'who', 'helped', 'to', 'care', 'of', 'her', 'my', 'mother', 'there']","['long', 'couple', 'week', 'grandmother', 'home', 'hulhumale’', 'covid', 'facility', 'everyone', 'helped', 'care', 'mother']",0
Excellent service by the BKC Covid hospital thank you 🙏🏻,excel servic bkc covid hospit ,[],[],[],['🙏🏻'],"['excellent', 'service', 'by', 'bkc', 'covid', 'hospital', 'you']","['excellent', 'service', 'bkc', 'covid', 'hospital']",0
@ShashiTharoor Mr. Tharoor I am quite Apolitical but seeing a post like this from someone like you? Past 6 Q are almost all Covid impacted!,tharoor apolit post like like past covid impact ,[],['@ShashiTharoor'],[],[],"['mr', 'tharoor', 'i', 'am', 'quite', 'apolitical', 'but', 'seeing', 'a', 'post', 'like', 'this', 'someone', 'like', 'you', 'past', 'q', 'are', 'almost', 'all', 'covid', 'impacted']","['mr', 'tharoor', 'quite', 'apolitical', 'seeing', 'post', 'like', 'someone', 'like', 'past', 'q', 'almost', 'covid', 'impacted']",0
"In this Covid era, I guess I’m gonna need one. Dildo ain’t doing shit to me",covid era guess gon dildo aint shit ,[],[],[],[],"['in', 'this', 'covid', 'era', 'i', 'guess', 'i', '’', 'm', 'gon', 'na', 'one', 'dildo', 'ain', '’', 't', 'doing', 'shit', 'to', 'me']","['covid', 'era', 'guess', 'i’m', 'gonna', 'one', 'dildo', 'ain’t', 'shit']",0
"The Covid Vaccination Drive in Mumbai has degenerated into total chaos.  All 3 Govts- Centre,State and BMC need to get their act together  #CoWIN 4/4",covid vaccin drive mumbai degener total chao govt centrest bmc act ,['#CoWIN'],[],[],[],"['covid', 'vaccination', 'drive', 'in', 'mumbai', 'has', 'degenerated', 'into', 'total', 'chaos', 'all', 'govts', 'centrestate', 'and', 'bmc', 'to', 'their', 'act', 'together']","['covid', 'vaccination', 'drive', 'mumbai', 'degenerated', 'total', 'chaos', 'govts', 'centrestate', 'bmc', 'act', 'together']",0
"@7HillsHospital Had an excellent experience today afternoon of walk-in free covid vaccination at 7 Hills Hospital, Marol, Mumbai. Outstanding staff coordination, extremely polite &amp; helpful, well organised movement of Q's and comfortable arrangements for all.",excel experi today afternoon walkin free covid vaccin hill hospit marol mumbai outstand staff coordin extrem polit help organis movement comfort arrang ,[],['@7HillsHospital'],[],[],"['had', 'an', 'excellent', 'experience', 'today', 'afternoon', 'of', 'walkin', 'free', 'covid', 'vaccination', 'at', 'hills', 'hospital', 'marol', 'mumbai', 'outstanding', 'staff', 'coordination', 'extremely', 'polite', 'helpful', 'well', 'organised', 'movement', 'of', 'qs', 'and', 'comfortable', 'arrangements', 'for', 'all']","['excellent', 'experience', 'today', 'afternoon', 'walkin', 'free', 'covid', 'vaccination', 'hill', 'hospital', 'marol', 'mumbai', 'outstanding', 'staff', 'coordination', 'extremely', 'polite', 'helpful', 'well', 'organised', 'movement', 'q', 'comfortable', 'arrangement']",0
"Stop pretending this is about encouraging sport post COVID, everyone. Although the five nations would make excellent hosts, this is about potential income, brash statements and preventing the break-up of the UK.  https://t.co/yn6QfOIQHD #WorldCup2030 #WorldCup",stop pretend encourag sport post covid nation excel host potenti incom brash statement prevent breakup ,"['#WorldCup2030', '#WorldCup']",[],['https://t.co/yn6QfOIQHD'],[],"['stop', 'pretending', 'this', 'is', 'about', 'encouraging', 'sport', 'post', 'covid', 'everyone', 'although', 'five', 'nations', 'excellent', 'hosts', 'this', 'is', 'about', 'potential', 'income', 'brash', 'statements', 'and', 'preventing', 'breakup', 'of', 'uk']","['stop', 'pretending', 'encouraging', 'sport', 'post', 'covid', 'everyone', 'although', 'five', 'nation', 'excellent', 'host', 'potential', 'income', 'brash', 'statement', 'preventing', 'breakup', 'uk']",0
President of Ukraine Volodymyr Zelensky @ZelenskyyUa was vaccinated today using Made-In-India Oxford/AstraZeneca (Covishield) covid vaccine.  https://t.co/KfqchHXnj3,presid ukrain volodymyr zelenski vaccin today madeinindia oxfordastrazeneca covishield covid vaccin ,[],['@ZelenskyyUa'],['https://t.co/KfqchHXnj3'],[],"['president', 'of', 'ukraine', 'volodymyr', 'zelensky', 'was', 'vaccinated', 'today', 'using', 'madeinindia', 'oxford/astrazeneca', 'covishield', 'covid', 'vaccine']","['president', 'ukraine', 'volodymyr', 'zelensky', 'vaccinated', 'today', 'using', 'madeinindia', 'oxfordastrazeneca', 'covishield', 'covid', 'vaccine']",0
"Dear DrSurender Nikhil Gupta,  Congratulations! You are successfully administrated with 2nd Dose of COVID-19. You can download your provisional certificate at -  https://t.co/N9ARWieFNF. In case of any queries post vaccination , contact our help line at 1075 - CoWIN  No Prov Certi",dear drsurend nikhil gupta congratul success administr dose covid download provision certif case queri post vaccin contact help cowin prov certi ,[],[],['https://t.co/N9ARWieFNF.'],[],"['dear', 'drsurender', 'nikhil', 'gupta', 'congratulations', 'you', 'are', 'successfully', 'administrated', 'with', 'nd', 'dose', 'of', 'covid', 'you', 'can', 'download', 'your', 'provisional', 'certificate', 'at', 'in', 'case', 'of', 'any', 'queries', 'post', 'vaccination', 'contact', 'our', 'help', 'at', 'cowin', 'no', 'prov', 'certi']","['dear', 'drsurender', 'nikhil', 'gupta', 'congratulation', 'successfully', 'administrated', 'nd', 'dose', 'covid', 'download', 'provisional', 'certificate', 'case', 'query', 'post', 'vaccination', 'contact', 'help', 'cowin', 'prov', 'certi']",0
"@aryan66 Lols  Even they have no data..  no.of test list when court ask no data, no.of covid cases no data, no.of vaccines given no data, no.of vaccinated ones alive, side effects no data,  6years only things happening is Hussain sagar work lolz",lol data noof test list court ask data noof covid case data noof vaccin give data noof vaccin one aliv effect data year thing happen hussain sagar work lolz ,[],['@aryan66'],[],[],"['lols', 'they', 'have', 'no', 'data', 'noof', 'test', 'list', 'when', 'court', 'ask', 'no', 'data', 'noof', 'covid', 'cases', 'no', 'data', 'noof', 'vaccines', 'given', 'no', 'data', 'noof', 'vaccinated', 'ones', 'alive', 'side', 'effects', 'no', 'data', 'years', 'only', 'things', 'happening', 'is', 'hussain', 'sagar', 'work', 'lolz']","['lols', 'data', 'noof', 'test', 'list', 'court', 'ask', 'data', 'noof', 'covid', 'case', 'data', 'noof', 'vaccine', 'given', 'data', 'noof', 'vaccinated', 'one', 'alive', 'side', 'effect', 'data', 'year', 'thing', 'happening', 'hussain', 'sagar', 'work', 'lolz']",0
"Flash: Caribbean countries, being represented by St Lucia thanks India at WTO for sending Covid vaccines. Statement says ""This act of selflessness is testament to the solidarity of the government and People of India with CARICOM."" Full statement⤵️  https://t.co/AE9jmvEqU0",flash caribbean countri repres lucia india wto send covid vaccin statement act selfless testament solidar govern peopl india caricom statement ,[],[],['https://t.co/AE9jmvEqU0'],['⤵️'],"['flash', 'caribbean', 'countries', 'being', 'represented', 'by', 'st', 'lucia', 'thanks', 'india', 'at', 'wto', 'for', 'sending', 'covid', 'vaccines', 'statement', 'says', 'this', 'act', 'of', 'selflessness', 'is', 'testament', 'to', 'solidarity', 'of', 'government', 'and', 'people', 'of', 'india', 'with', 'caricom', 'full', 'statement']","['flash', 'caribbean', 'country', 'represented', 'st', 'lucia', 'thanks', 'india', 'wto', 'sending', 'covid', 'vaccine', 'statement', 'say', 'act', 'selflessness', 'testament', 'solidarity', 'government', 'people', 'india', 'caricom', 'full', 'statement']",0
"@balbir59 Sir we have had an awful 2020 with covid, we need some form of entertainment no?",sir covid form entertain ,[],['@balbir59'],[],[],"['sir', 'we', 'have', 'had', 'an', 'awful', 'with', 'covid', 'we', 'form', 'of', 'entertainment', 'no']","['sir', 'awful', 'covid', 'form', 'entertainment']",0
@BbmpsplHealth Sir can you please educate us on latest quarantine rules for Asymptomatic COVID positive patients... 10/14/17 days....,sir educ latest quarantin rule asymptomat covid posit patient day ,[],['@BbmpsplHealth'],[],[],"['sir', 'can', 'you', 'please', 'educate', 'us', 'on', 'latest', 'quarantine', 'rules', 'for', 'asymptomatic', 'covid', 'positive', 'patients', 'days']","['sir', 'please', 'educate', 'u', 'latest', 'quarantine', 'rule', 'asymptomatic', 'covid', 'positive', 'patient', 'day']",0
"@rajeshtope11 @Dev_Fadnavis @AjitPawarSpeaks @rajeshtope11 # sir nashik has no testing goverment facility for covid rcpc test, all are sent to Aurangabad ,request you to have direct facility at nashik",sir nashik test gover facil covid rcpc test sent aurangabad request direct facil nashik ,['#'],"['@rajeshtope11', '@Dev_Fadnavis', '@AjitPawarSpeaks', '@rajeshtope11']",[],[],"['sir', 'nashik', 'has', 'no', 'testing', 'goverment', 'facility', 'for', 'covid', 'rcpc', 'test', 'all', 'are', 'sent', 'to', 'aurangabad', 'request', 'you', 'to', 'have', 'direct', 'facility', 'at', 'nashik']","['sir', 'nashik', 'testing', 'goverment', 'facility', 'covid', 'rcpc', 'test', 'sent', 'aurangabad', 'request', 'direct', 'facility', 'nashik']",0
"@Dev_Fadnavis @AjitPawarSpeaks @rajeshtope11 # sir nashik has no testing goverment facility for covid rcpc test, all are sent to Aurangabad ,request you to have direct facility at nashik",sir nashik test gover facil covid rcpc test sent aurangabad request direct facil nashik ,['#'],"['@Dev_Fadnavis', '@AjitPawarSpeaks', '@rajeshtope11']",[],[],"['sir', 'nashik', 'has', 'no', 'testing', 'goverment', 'facility', 'for', 'covid', 'rcpc', 'test', 'all', 'are', 'sent', 'to', 'aurangabad', 'request', 'you', 'to', 'have', 'direct', 'facility', 'at', 'nashik']","['sir', 'nashik', 'testing', 'goverment', 'facility', 'covid', 'rcpc', 'test', 'sent', 'aurangabad', 'request', 'direct', 'facility', 'nashik']",0
Traders flout Covid-19 guidelines; claim the disease is a myth   Check out my story on Thesoftcopy @iijnmbangalore    https://t.co/RaJH7Ukain    #corona #heath #bangalore,trader flout covid guidelin claim diseas myth check stori thesoftcopi ,"['#corona', '#heath', '#bangalore']",['@iijnmbangalore'],['https://t.co/RaJH7Ukain'],[],"['traders', 'flout', 'covid', 'guidelines', 'claim', 'disease', 'is', 'a', 'myth', 'check', 'out', 'my', 'story', 'on', 'thesoftcopy']","['trader', 'flout', 'covid', 'guideline', 'claim', 'disease', 'myth', 'check', 'story', 'thesoftcopy']",0
The Covid Protocols #WorldTradePark  https://t.co/5Gd9j0mVN3,covid protocol ,['#WorldTradePark'],[],['https://t.co/5Gd9j0mVN3'],[],"['covid', 'protocols']","['covid', 'protocol']",0
"n addition to BMC centres, 29 pvt. hospital in Mumbai have been given permissions to carry out COVID Vaccination Drive. @CMOMaharashtra @AUThackeray  #MyBMCUpdates  https://t.co/cZDWTekvvv",addit bmc centr pvt hospit mumbai give permiss carri covid vaccin drive ,['#MyBMCUpdates'],"['@CMOMaharashtra', '@AUThackeray']",['https://t.co/cZDWTekvvv'],[],"['n', 'addition', 'to', 'bmc', 'centres', 'pvt', 'hospital', 'in', 'mumbai', 'have', 'been', 'given', 'permissions', 'to', 'carry', 'out', 'covid', 'vaccination', 'drive']","['n', 'addition', 'bmc', 'centre', 'pvt', 'hospital', 'mumbai', 'given', 'permission', 'carry', 'covid', 'vaccination', 'drive']",0
"Imagine April 1st come and government be like "" April fools COVID was fake""🥲😳",imagin april govern like april fool covid fake ,[],[],[],"['🥲', '😳']","['imagine', 'april', 'st', 'and', 'government', 'like', 'april', 'fools', 'covid', 'was', 'fake']","['imagine', 'april', 'st', 'government', 'like', 'april', 'fool', 'covid', 'fake']",0
"We are delighted to share that our CEO, Ms. Avani Singh, inaugrated the SpiceHealth COVID-19 #VaccineDrive!  We believe our frontline workers have shown great courage and worked tirelessly during these trying times, and deserve this!  https://t.co/pcG2ppUXjS",delight share ceo avani singh inaugr spicehealth covid believ frontlin worker show great courag work tirelessli time deserv ,['#VaccineDrive!'],[],['https://t.co/pcG2ppUXjS'],[],"['we', 'are', 'delighted', 'to', 'share', 'that', 'our', 'ceo', 'ms', 'avani', 'singh', 'inaugrated', 'spicehealth', 'covid', 'we', 'believe', 'our', 'frontline', 'workers', 'have', 'shown', 'great', 'courage', 'and', 'worked', 'tirelessly', 'during', 'these', 'trying', 'times', 'and', 'deserve', 'this']","['delighted', 'share', 'ceo', 'm', 'avani', 'singh', 'inaugrated', 'spicehealth', 'covid', 'believe', 'frontline', 'worker', 'shown', 'great', 'courage', 'worked', 'tirelessly', 'trying', 'time', 'deserve']",0
"Achieving an equal future in a COVID-19 World #WomensHistoryMonth #IWD2021  Photo :Nagar Valley, Hunza  https://t.co/4EJZTPGeW0",achiev equal futur covid world photo nagar valley hunza ,"['#WomensHistoryMonth', '#IWD2021']",[],['https://t.co/4EJZTPGeW0'],[],"['achieving', 'an', 'equal', 'future', 'in', 'a', 'covid', 'world', 'photo', 'nagar', 'valley', 'hunza']","['achieving', 'equal', 'future', 'covid', 'world', 'photo', 'nagar', 'valley', 'hunza']",0
So when is kluster rentas negara? We only need 1 btw  Pls covid-19 do your job😉,kluster renta negara covid job ,[],[],[],['😉'],"['so', 'when', 'is', 'kluster', 'rentas', 'negara', 'we', 'only', 'covid', 'your', 'job']","['kluster', 'rentas', 'negara', 'covid', 'job']",0
Grade 8 student @WendyGwalior campaigning to take care of the environment in Covid 19-Pandemic. #covid_19 #studentcampaign #environment #raiseyourvoice #stayhome #staysafe  https://t.co/t1vODvgfp9,grade student campaign care environ covid pandem ,"['#covid_19', '#studentcampaign', '#environment', '#raiseyourvoice', '#stayhome', '#staysafe']",['@WendyGwalior'],['https://t.co/t1vODvgfp9'],[],"['grade', 'student', 'campaigning', 'to', 'care', 'of', 'environment', 'in', 'covid', 'pandemic']","['grade', 'student', 'campaigning', 'care', 'environment', 'covid', 'pandemic']",0
Bosnia accepting donation of 5000  vaccine doses from Serbia.   Covid has changed the world in many ways.,bosnia accept donat vaccin serbia covid chang world way ,[],[],[],[],"['bosnia', 'accepting', 'donation', 'of', 'vaccine', 'doses', 'serbia', 'covid', 'has', 'changed', 'world', 'in', 'ways']","['bosnia', 'accepting', 'donation', 'vaccine', 'dos', 'serbia', 'covid', 'changed', 'world', 'way']",0
"After Covid break, flowers showered, candies distributed to welcome back students in schools across the state. On the first day of reopening of schools after nearly 11 months, #UPCM Shri @myogiadityanath Ji interacted with the braveheart kids.  https://t.co/lipH7r02D5",covid break flower shower candi distribut welcom student school state day reopen school nearli month shri interact braveheart kid ,['#UPCM'],['@myogiadityanath'],['https://t.co/lipH7r02D5'],[],"['after', 'covid', 'break', 'flowers', 'showered', 'candies', 'distributed', 'to', 'welcome', 'back', 'students', 'in', 'schools', 'across', 'state', 'on', 'first', 'day', 'of', 'reopening', 'of', 'schools', 'after', 'nearly', 'months', 'shri', 'ji', 'interacted', 'with', 'braveheart', 'kids']","['covid', 'break', 'flower', 'showered', 'candy', 'distributed', 'welcome', 'back', 'student', 'school', 'across', 'state', 'first', 'day', 'reopening', 'school', 'nearly', 'month', 'shri', 'ji', 'interacted', 'braveheart', 'kid']",0
Celebrating Womanhood and learning during Covid Times as an entrepreneur. SUBURB breaking boundaries to go digital. @ Delhi/Gurgaon/NCR  https://t.co/Z3wsn5p82M,celebr womanhood learn covid time entrepreneur suburb break boundari digit delhigurgaonncr ,[],['@'],['https://t.co/Z3wsn5p82M'],[],"['celebrating', 'womanhood', 'and', 'learning', 'during', 'covid', 'times', 'as', 'an', 'entrepreneur', 'suburb', 'breaking', 'boundaries', 'to', 'digital', 'delhi/gurgaon/ncr']","['celebrating', 'womanhood', 'learning', 'covid', 'time', 'entrepreneur', 'suburb', 'breaking', 'boundary', 'digital', 'delhigurgaonncr']",0
"""COVID-19 in India"" #coronavirus  https://t.co/jBpKIoau1B",covid india ,['#coronavirus'],[],['https://t.co/jBpKIoau1B'],[],"['covid', 'in', 'india']","['covid', 'india']",0
"@drmjabalpur @drmdhnecr @RailwaySeva Sir, train no.09608 detained at Gondawali since 20.45 just to give a way to a goods train resulting in unnecessary delay of the train arrivals at Singrauli . During this Covid it's seems unfair on the part of Railways for this act.",sir train detain gondawali way train result unnecessari delay train arriv singrauli covid unfair railway act ,[],"['@drmjabalpur', '@drmdhnecr', '@RailwaySeva']",[],[],"['sir', 'train', 'no', 'detained', 'at', 'gondawali', 'since', 'just', 'to', 'give', 'a', 'way', 'to', 'a', 'goods', 'train', 'resulting', 'in', 'unnecessary', 'delay', 'of', 'train', 'arrivals', 'at', 'singrauli', 'during', 'this', 'covid', 'its', 'seems', 'unfair', 'on', 'part', 'of', 'railways', 'for', 'this', 'act']","['sir', 'train', 'detained', 'gondawali', 'since', 'give', 'way', 'good', 'train', 'resulting', 'unnecessary', 'delay', 'train', 'arrival', 'singrauli', 'covid', 'seems', 'unfair', 'part', 'railway', 'act']",0
"Had an excellent experience today afternoon of walk-in free covid vaccination at 7 Hills Hospital, Marol, Mumbai. Outstanding staff coordination, extremely polite &amp; helpful, well organised movement of Q's and comfortable arrangements for all.",excel experi today afternoon walkin free covid vaccin hill hospit marol mumbai outstand staff coordin extrem polit help organis movement comfort arrang ,[],[],[],[],"['had', 'an', 'excellent', 'experience', 'today', 'afternoon', 'of', 'walkin', 'free', 'covid', 'vaccination', 'at', 'hills', 'hospital', 'marol', 'mumbai', 'outstanding', 'staff', 'coordination', 'extremely', 'polite', 'helpful', 'well', 'organised', 'movement', 'of', 'qs', 'and', 'comfortable', 'arrangements', 'for', 'all']","['excellent', 'experience', 'today', 'afternoon', 'walkin', 'free', 'covid', 'vaccination', 'hill', 'hospital', 'marol', 'mumbai', 'outstanding', 'staff', 'coordination', 'extremely', 'polite', 'helpful', 'well', 'organised', 'movement', 'q', 'comfortable', 'arrangement']",0
"AGDA hosted a productive #Next50Talks session that extensively discussed the impact of the Covid-19 pandemic during conflict and humanitarian crises, with a focus on the “triple vulnerability” group (conflict, Covid-19 &amp; climate), as well as the secondary impacts of the pandemic.  https://t.co/94fGqUlInY",agda host product session extens discuss impact covid pandem conflict humanitarian crisi focu tripl vulner group conflict covid climat secondari impact pandem ,['#Next50Talks'],[],['https://t.co/94fGqUlInY'],[],"['agda', 'hosted', 'a', 'productive', 'session', 'that', 'extensively', 'discussed', 'impact', 'of', 'covid', 'pandemic', 'during', 'conflict', 'and', 'humanitarian', 'crises', 'with', 'a', 'focus', 'on', '“', 'triple', 'vulnerability', '”', 'group', 'conflict', 'covid', 'climate', 'as', 'well', 'as', 'secondary', 'impacts', 'of', 'pandemic']","['agda', 'hosted', 'productive', 'session', 'extensively', 'discussed', 'impact', 'covid', 'pandemic', 'conflict', 'humanitarian', 'crisis', 'focus', '“triple', 'vulnerability”', 'group', 'conflict', 'covid', 'climate', 'well', 'secondary', 'impact', 'pandemic']",0
6 positive covid,posit covid ,[],[],[],[],"['positive', 'covid']","['positive', 'covid']",0
@VinGuptaMD can vaccinated person still transmit covid.,vaccin person transmit covid ,[],['@VinGuptaMD'],[],[],"['can', 'vaccinated', 'person', 'still', 'transmit', 'covid']","['vaccinated', 'person', 'still', 'transmit', 'covid']",0
"Mr. Peter Maurer, President of the International Committee of the Red Cross @ICRC during “The Impact of the Covid-19 During Conflict and Humanitarian Crises” session.  https://t.co/dKZAThosMw",peter maurer presid intern committe red cross impact covid conflict humanitarian crisi session ,[],['@ICRC'],['https://t.co/dKZAThosMw'],[],"['mr', 'peter', 'maurer', 'president', 'of', 'international', 'committee', 'of', 'red', 'cross', 'during', '“', 'the', 'impact', 'of', 'covid', 'during', 'conflict', 'and', 'humanitarian', 'crises', '”', 'session']","['mr', 'peter', 'maurer', 'president', 'international', 'committee', 'red', 'cross', '“the', 'impact', 'covid', 'conflict', 'humanitarian', 'crises”', 'session']",0
