,Unnamed: 0,created_at,username,tweet,language,replies_count,retweets_count,likes_count
100,100,2021-06-08 03:55:34 India Standard Time,vrrajendran8,People Searching Corona Vaccines! UNION &amp; States Govts Should Arrange Many Vaccines Centres in Each and Every VILLAGES to Control  Corona Virus &amp; also Crowds and Must Confirm Normal life of People! Pre Plans are Required! By.Rajendran.  https://t.co/Wgl89lyGoj Follow Action Ple.  https://t.co/IBKHn5SY9x,en,0.0,0.0,0
101,101,2021-06-08 02:52:47 India Standard Time,mahendra3,Here is the proof that #Corona virus was man made at #China's #WuhanLab,en,0.0,0.0,0
102,102,2021-06-08 02:11:43 India Standard Time,_rodahidup,"There are now 174.256.366 total coronavirus (COVID-19) infections worldwide. Within the infected people 3.748.533 have died, 12.773.047 are still sick and 157.734.786 people have recovered.  https://t.co/oKTD0arZtM",en,0.0,0.0,0
103,103,2021-06-08 02:11:29 India Standard Time,farazsaeed15,"A tragedy, for the parents who kept their daughter home for 2 years safe from #coronavirus ,but sent her to school, just to hear the news of her death.",en,0.0,0.0,0
104,104,2021-06-08 01:49:13 India Standard Time,brahmonamah,"Are we really ape born??  Because, If our Veds, Shashtra are true, than with a possibility of zero. YES, we must be snatching each other's PISSU'...!! #coronavirus",en,0.0,0.0,0
105,105,2021-06-08 01:40:05 India Standard Time,princerohta,"I just did my part in the war against coronavirus. Join me, in supporting those who need a helping hand at this critical hour.  https://t.co/Rq32ZhkkZW",en,0.0,0.0,0
106,106,2021-06-08 01:35:10 India Standard Time,brahmonamah,"If anyone, more educated much saviour can answer to this 2nd simplest thing. Obviously, 1st be the incompetency of not able to find a cure 👏👏  Q# How the vaccine can lower the population and CO2 is our copyright that no one else on this planet breathes out. #coronavirus  https://t.co/Du9JiAWLus",en,1.0,1.0,1
108,108,2021-06-07 23:30:17 India Standard Time,aamirsaeed_,"Yes, 35% of Islamabad's population is #vaccinated  The coronavirus vaccination drive in the federal capital is moving ahead effectively as 425,000 people out of a target of 1.2 million in the territory have been vaccinated so far 👇  https://t.co/ZQVW5hZZUR",en,0.0,0.0,1
109,109,2021-06-07 23:27:39 India Standard Time,prajwalharitas,PM Modi empathises with the People who have lost their loved ones due to this Chinese CoronaVirus Pandemic. Says this has been the worst global Pandemic the world has seen in over 100 years. #VaccineForAll #ModiSpeech #ModiHaiToMumkinHai  8/9,en,0.0,0.0,0
110,110,2021-06-07 23:25:14 India Standard Time,ceo_dentsurg,"It's an important course correction...Hope all Indians get vaccinated and it's important to know that eventhough he has spoken late ,@narendramodi is doing the right thing...      It's time for Indians to stand united and get vaccinated against #CoronaVirus...",en,0.0,0.0,0
111,111,2021-06-07 22:53:55 India Standard Time,jayanta13998620,"COVID-19: UK reports another 5,683 coronavirus cases and one death  https://t.co/Z6DRa9fQ9t",en,0.0,0.0,0
112,112,2021-06-07 22:49:49 India Standard Time,shankster46,I think there is War going on between My Antibodies and corona virus inside my body bcoz I'm feeling the heat🤣 #CoronaVaccination #COVID19India,en,0.0,0.0,0
113,113,2021-06-07 22:36:27 India Standard Time,bbmpchdteam,"Dr. Divya, Medical Officer East Zone. @mygovindia @narendramodi @BSYBJP @karnataka_team @BbmpZone @rrnagarbbmp @BBMPSouthZone @BBMPCOMM @BbmpEast @BBMPMahadevpura @bheem_rajesh @GirishMattenna2   #covid_19 #covid #covidsupport #frontlineworkers #chd #citizenhelpdesk #coronavirus  https://t.co/rP3EQ3cOXY",en,0.0,5.0,4
115,115,2021-06-07 22:25:06 India Standard Time,kethareswaranv,"Everyone 18+ #Vaccinated in #WeyanVillage #Bandipora, #JammuAndKashmir - a first for #India!  Village of nomads, no roads &amp; internet. Officials reached here on 18km trek by foot. In a first J&amp;K forefront’s a Health model! #Coronavirus #Vaccination  Read -&gt;  https://t.co/6SLaqpScHl  https://t.co/5f2nSJQhAG",en,0.0,0.0,1
116,116,2021-06-07 22:12:56 India Standard Time,srilankatweet,"47 coronavirus related deaths confirmed by DG of Health Services, increasing the total death in Sri Lanka to 1,789 - Health Ministry. #LKA #SriLanka",en,2.0,23.0,98
117,117,2021-06-07 22:06:14 India Standard Time,bardoliguide,Today's Corona News Statistics of Surat and Bardoli ..  #bardoli #bardolinagar #surat #suratcity #covid_19 #sardarnagribardoli #CoronaVirus #COVID19 #stayhomestaysafe #coronaupdates #coronapositive #bardoliguide  https://t.co/cal5T5eGiE,en,0.0,0.0,3
118,118,2021-06-07 22:04:43 India Standard Time,pipalkoti,@airnewsalerts @DrJitendraSingh It is true. But so far no natural immunity booster has been discovered against Corona virus.,en,0.0,0.0,0
120,120,2021-06-11 02:21:50 India Standard Time,_officialshafi,"Cleanliness is also necessary in this #pandemic, There are some people around me, They have months old #children's, They need #Pampers, #Wipes &amp; baby kit's, Can #Donate for small kids. Phonepe/Gpay : 9966661321 #COVID #coronavirus  @HiHyderabad 🙏 RT @charan_tweetz",en,3.0,4.0,7
121,121,2021-06-11 01:46:42 India Standard Time,_rodahidup,"G7 leaders to call for new probe into origins of Coronavirus: Draft communique   https://t.co/uUijd5evUS  For News on the go, Download HT app. Click  https://t.co/7ClVdwjSTI",en,0.0,1.0,1
123,123,2021-06-11 00:16:24 India Standard Time,jayanta13998620,COVID-19: Delta coronavirus variant now makes up 91% of new UK infections - as cases rise 'rapidly'  https://t.co/OWhkmsLiWn,en,0.0,0.0,0
127,127,2021-06-10 22:56:55 India Standard Time,bhaskarkumarv,When will kids have a coronavirus vaccine ready? | The Times of India  https://t.co/1c00oufxTV.. #coronavirus #CoronaVirusUpdates #corona #COVID19Vaccines #covid #kids #kidsvaccine,en,0.0,0.0,0
128,128,2021-06-10 22:47:41 India Standard Time,pankhuriiiieee,"Can't wait to put ""fully vaccinated"" on my dating profile like an adoptable dog. 🐩  #Covishield #CoWIN #Covishield #coronavirus #CovidVaccine #AstraZeneca #CoronaVirusUpdates #COVID19",en,0.0,0.0,2
