created_at,username,tweet,language,replies_count,retweets_count,likes_count
2021-08-06 16:53:52 India Standard Time,iqraa_ashraf,"-another milestone achieved as per latest figures by @OfficialNcoc. However, we must remain mindful of rising #COVID19 stats and #GetVaccinatedNow.  🇵🇰 fights #coronavirus",en,0,1,19
2021-08-06 14:18:13 India Standard Time,santosh33062889,Every contribution counts. Find out how you can also help these organisations fight COVID-19 in India ⬇️ #Covid19IndiaHelp We can change the world and we can fight against #coronavirus because we are born fighters . #WHO  #PMOIndia  #CMOdisha #UNO,en,0,0,0
2021-08-06 11:58:29 India Standard Time,gelyienaosman,COVID IS REAL  #covid19  #coronavirus  #virusjahat  #wabakmerebak  #kematianbertambah  #kitamestimenang  #kitamasihbelummenang  #jagadirijagakeluarga  #kitajagakitaallahjagakita  #sayangikeluarga  #sayangimalaysiaku  https://t.co/I5QqOuciU7,en,0,0,0
2021-08-06 08:50:51 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/ivVm0Zx35S,en,0,0,0
2021-08-06 08:50:25 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/yfZjkbAbH0,en,0,0,0
2021-08-06 06:46:02 India Standard Time,henrychanesq,I have thoroughly gotten used to Zoom and am quite familiar with Microsoft Team. I think both software are good for WFH or WFA. We need to live with the software as we need to live with Coronavirus for some time.,en,0,0,0
2021-08-05 22:28:20 India Standard Time,thomasteapen11,Craze for Chinese products/ideas since corona virus is in raise  in Kerala.,en,0,0,4
2021-08-09 02:12:44 India Standard Time,sindabad_7,"Sukria to Greatest Almighty ALLAH SWT &amp; Save Me, My Family &amp; Relatives From deadly Corona  Virus  https://t.co/qjBsQLJPpB",en,0,0,1
2021-08-08 23:42:42 India Standard Time,chellam73628887,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/iMJ8ARe17q,en,0,0,0
2021-08-08 23:40:28 India Standard Time,chellam73628887,Lovers life   Coronavirus death  https://t.co/5rQSmKUDSL,en,0,0,0
2021-08-08 23:38:48 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/2bl6WSk8eA,en,0,0,0
2021-08-08 23:07:44 India Standard Time,paliwalshikhar,Get your Covid vaccination certificate within seconds on your WhatsApp #LargestVaccinationDrive #COVID #coronavirus #DeltaPlusVariant #GetVaccinatedNow #VaccineCertificate  https://t.co/GF821h7e52,en,0,0,0
2021-08-08 23:04:46 India Standard Time,chellam73628887,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/MyIdfLNsxQ,en,0,0,0
2021-08-08 23:01:09 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/JTgEZnNTdr,en,0,0,0
2021-08-08 22:59:14 India Standard Time,profvikas,Fight against #Covid19 progresses in #india at an unprecedented pace with 50 crore #vaccine 💉 doses administered under the #LargestVaccinationDrive. #SabkoVaccineMuftVaccine is an important decision by PM @narendramodi ji to safeguard the citizens against the novel #coronavirus!  https://t.co/H3XgHHDeqZ,en,0,0,0
2021-08-08 21:05:00 India Standard Time,menakaw9,Media Release – 2021.08.08 Covid death figures reported today 08.08.2021 #Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #Coronavirus #Covid #Corona #Staysafe #Socialdistancing #Virus #Coronav #Pandemic  https://t.co/rzXqWrlQoL,en,0,4,2
2021-08-08 20:28:15 India Standard Time,ovaisayings,Pseudo feminism alarming at a higher rate than the variants of corona virus.  https://t.co/BaSbvOtGGF,en,0,0,1
2021-08-08 19:15:22 India Standard Time,srilankatweet,94 more coronavirus related deaths confirmed for August 7 #LKA #SriLanka #COVID19SL,en,1,19,70
2021-08-08 18:49:08 India Standard Time,saispeakz,"""COVID-19: The R-naught of coronavirus in India surges to 1.01""  Cc @KTRTRS initiate partial lockdown immediately...  https://t.co/Ngod7ekecO",en,1,0,0
2021-08-08 18:44:13 India Standard Time,bijoykumarroyn,The risk of re-infection is more than doubled if the corona virus is not vaccinated  https://t.co/Dtvu0mSkYF  https://t.co/eUS5D0ExGp,en,0,0,0
2021-08-08 18:22:30 India Standard Time,srilankatweet,So far today 2230 coronavirus cases report in Sri Lanka. Stay Safe 🙏  #LKA #SriLanka #COVID19SL #COVID19LK,en,2,19,56
2021-08-08 17:52:23 India Standard Time,pepatungmalam_,Amsterdam Netherlands the city of windmills and beautiful flowers (tulips). Would you like to travel during Coronavirus Pandemic? Now you can enjoy this amazing virtual walking tour through the streets of Amsterdam in Netherlands.  https://t.co/VEbRdb4r0A,en,0,0,0
2021-08-08 15:42:05 India Standard Time,iusmanchoudhry,"Pakistan’s response to coronavirus among world’s best, says WHO   https://t.co/JbvA8NpFZp…   #WorldLeaderImranKhan",en,0,4,2
2021-08-08 13:18:02 India Standard Time,chellam73628887,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/ruE2yzaAUz,en,0,0,0
2021-08-08 13:16:12 India Standard Time,chellam73628887,Lovers life   Coronavirus death  https://t.co/kOGZ6gKGXI,en,0,0,0
2021-08-08 13:16:05 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/JoMBz6CYnn,en,0,0,0
2021-08-08 13:14:56 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/j4oZ4CA8Oe,en,0,0,0
2021-08-10 00:22:21 India Standard Time,assir522,May #Allah have mercy on us all. Take away this #coronavirus Pray for all to be free soon. #Alfatihah to those lost their lives. @KKMPutrajaya @bharianmy @hmetromy @UMonline   #covid19 #coronavirus #Allahjagakita #dudukrumah  #KitaJagaKita  https://t.co/rQ2ucwq7pr,en,0,0,0
2021-08-10 00:16:39 India Standard Time,alifgrw,#IslamicNewYear #Muharram   May Allah make this year better for us may he shower his mercy and makes us better humans better Muslims aameen ❤💐 May in this upcoming year the world will become free from deadly corona virus aameen   May Allah be please with all of us aameen ❤,en,1,0,0
2021-08-09 22:52:54 India Standard Time,umeer_says,May Allah make this year better for us may he shower his mercy and makes us better humans better Muslims aameen ❤💐 May in this upcoming year the world will become free from deadly corona virus aameen.  May Allah be please with all of us aameen ❤ #IslamicNewYear #Muharram,en,0,0,1
2021-08-09 22:31:42 India Standard Time,jasghar,"@motasim @yaneerbaryam Yes #LongCovid  is a possibility .  Coronavirus and children One thing is certain — if any variant is more successful in infecting elders, it may infect more children too.  How can we protect our children? The same way we protect ourselves. April 2021   https://t.co/r6HceIBh4S",en,0,4,6
2021-08-09 21:44:53 India Standard Time,violedintl,"Cholesterol drug cuts coronavirus infection by 70%, researchers find   https://t.co/TK8Kw1eKIn",en,0,0,0
2021-08-09 21:42:35 India Standard Time,coconutshelltw,When ever are going to be free from this shit #coronavirus #mythoughts,en,0,0,1
2021-08-09 21:03:59 India Standard Time,chellam73628887,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/PaOwesFK97,en,0,0,0
2021-08-09 21:00:53 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/lTey21IL57,en,0,0,0
2021-08-09 21:00:08 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/D7Woa0frvV,en,0,0,0
2021-08-09 20:34:22 India Standard Time,jayanta13998620,NIH director urges vaccine mandates to fight coronavirus surge - Washington Times  https://t.co/2rdVuqvYlq,en,0,0,0
2021-08-09 20:05:59 India Standard Time,menakaw9,Media Release – 2021.08.09 Covid death figures reported today 2021.08.09 #DGI #Government #Information #Department #News #infodprtsl  #Srilanka #Covid19 #Coronavirus #StaySafe #SocialDistancing #Virus #Pandemic  https://t.co/sNyEbSzM7c,en,0,3,1
2021-08-09 18:22:17 India Standard Time,shehryer,#IslamicNewYear #Muharram   May Allah make this year better for us may he shower his mercy and makes us better humans better Muslims aameen ❤💐 May in this upcoming year the world will become free from deadly corona virus aameen   May Allah be please with all of us aameen ❤  https://t.co/tKaCRqH4dL,en,0,0,1
2021-08-09 18:08:00 India Standard Time,srilankatweet,So far today 1928 coronavirus cases report in Sri Lanka #LKA #SriLanka #COVID19SL #COVID19LK,en,0,10,68
2021-08-11 01:41:46 India Standard Time,naeemsi22341052,The United Arab Emirates (UAE) has exempted Pakistani travelers from the cocoa vaccination certificate.(UAE) has once again changed its travel restrictions due to coronavirus and issued a new guideline that allows Pakistani citizens to travel to Dubai without a certificate.  https://t.co/cKvI4QwOi0,en,0,0,0
2021-08-11 01:20:58 India Standard Time,sayan_dey,"Well, of course! All thanks to you! Actually, we are indebted to you! #COVID19 #Corona #CoronaVirus #China #ShiZhengli  https://t.co/37MpR1gSGi",en,0,0,0
2021-08-10 23:08:07 India Standard Time,iravikoranga,Savings - Dark Times 2020😷  Corona has been a major setback since the beginning of the pandemic people have spent their most of the savings in the pandemic and yet fighting for it and setting things from the scratch.  #CovidIsNotOver #Covid_19 #coronavirus #Corona #art  https://t.co/kVGYyy8pIN,en,0,0,5
2021-08-10 22:51:22 India Standard Time,samiullah66,Definition of #idiots in pictorial way. These people ain't got any respect.  #Mask #DisposeMasks #CoronaVirus #COVID19  https://t.co/85VBBd5wLq,en,0,0,0
2021-08-10 22:45:54 India Standard Time,rafhanahross,Until when have to live in fear with this coronavirus ☹️,en,0,0,2
2021-08-10 21:35:46 India Standard Time,npkorat8,"@rtogujarat @rtosurat @collectorsurat @CP_SuratCity @CMOGuj @PMOIndia Who are Responsibles who let them to Drive these types of Heavy Polluting Vehicles in City? Today Morning 10 07 2021, 08 15 AM Varachha Road, Surat City, Felt like this Vehicle Kills Corona Virus in Human body  https://t.co/onPU03ty7x",en,0,0,0
2021-08-10 20:58:53 India Standard Time,menakaw9,Media Release - 2021.08.10 Covid death figures reported today 10.08.2021 #DGI #Government #Information #Department #News #infodprtsl  #Srilanka #Covid19 #Coronavirus #StaySafe #SocialDistancing #Virus #Pandemic  https://t.co/pP5D6xY5FQ,en,0,3,1
2021-08-10 20:37:41 India Standard Time,shishirgamang,"Today flying to Delhi or outside Odisha after 1 and half years, flying completely feels different after corona virus  https://t.co/i1MJ6SfeE8",en,1,0,18
2021-08-10 20:20:56 India Standard Time,vietnewsgateway,"#Vietnam confirms nearly 8,400 new local #coronavirus cases  https://t.co/3xEbzF6g3g",en,0,2,6
2021-08-10 19:07:18 India Standard Time,srilankatweet,"So far today 1,992 coronavirus cases report in Sri Lanka. #LKA #SriLanka #COVID19SL #COVID19LK",en,0,5,49
2021-08-10 16:14:35 India Standard Time,pathitta1978,"From April 10, 2021.. Until August 10, 2021.. It has been 4 months now, since I closed the bar that because the problem of the spreading of the Corona virus again.  #Covid19 #Lockdown  #Curfew  #SaveKanchanaburiAndThailand  #PrayForKanchanaburiAndThailand  #MonkeyBarKanchanaburi  https://t.co/WIYJ95Fs9Q",en,2,0,2
2021-08-10 14:39:18 India Standard Time,jattsurinder,@OfficialDMRC  is this stoping corona virus. Running from your duties . Common people are dying . You guys like apda m bhi avsar. All gates closed just one open from ancient time. Even after covid this will be continued.  https://t.co/m6rF51mLcs,en,0,0,0
2021-08-10 13:24:14 India Standard Time,ranipet999, https://t.co/7HbitaKJaF Neem magic to control Corona virus. Neem agronomist.,en,0,1,0
2021-08-14 03:53:56 India Standard Time,viyofm,"THE LORD is warning you to repent and that HE will bring down the wall that they are using for their defense. When THE LORD comes back to the people who have rejected HIM, normally HE comes with purging. Like The Coronavirus.#TreasureInJesus",en,0,0,1
2021-08-14 01:15:29 India Standard Time,viyofm,"Whenever judgement comes, after judgement comes repentance and people return to THE LORD. THE LORD is asking this generation why they have not then returned after the judgement of the Coronavirus which is still raging? #TreasureInJesus",en,0,0,1
2021-08-13 23:59:17 India Standard Time,iravikoranga,Online Classes - Dark Times 2020 New NFT available on @wazirxnft   50% of the profit will go to the Covid Relief Funds.   https://t.co/xq6ALVsAG6  #wazirxnft #nftwazirx #nft #nftcommunity #nftcollector #pandemic #nftart #ravikoranga #darktimes2020 #coronavirus #Covid_19  #COVID19,en,0,1,0
2021-08-13 23:04:53 India Standard Time,jasghar,In beginning #coronavirus in #Pakistan came through #Iran &amp; both countries are linked with close ties Iran is going through a massive surge of cases &amp; deaths Pakistan has much fewer cases but also doing many times fewer testing than Iran Reasons why Pakistan has fewer cases?  https://t.co/Fe7jaBttWZ,en,1,2,7
2021-08-13 22:18:06 India Standard Time,alwaysapd,"In #Pune, #masks are #vanishing #faster than #coronavirus. How #irresponsible!!  #TakeCare #StaySafe",en,0,0,0
2021-08-13 21:33:05 India Standard Time,menakaw9,Media Release – 2021.08.13 Covid death figures reported today 2021.08.13 #DGI #Government #Information #Department #News #infodprtsl  #Srilanka #Covid19 #Coronavirus #StaySafe #SocialDistancing #Virus #Pandemic  https://t.co/noNhijKQCR,en,1,2,1
2021-08-13 21:25:51 India Standard Time,srilankatweet,So far today 3142 coronavirus cases report in Sri Lanka #LKA #SriLanka #COVID19SL #COVID19LK,en,0,14,66
2021-08-13 21:09:53 India Standard Time,varnasuthan1104,155 COVID-19 deaths confirmed for Thursday (12) : DG Health Services 🦠  #LKA #SriLanka #COVID19SL #StayHome #COVID19LK #COVID19 #coronavirus #CoronaVirusUpdate #lka #NEWS,en,0,0,0
2021-08-13 20:59:49 India Standard Time,varnasuthan1104,Be safe 😷  #LKA #SriLanka #COVID19SL #StayHome #COVID19LK #COVID19 #coronavirus #CoronaVirusUpdate #lka #NEWS  https://t.co/VFdeyRvRn8,en,0,1,1
2021-08-13 19:55:03 India Standard Time,chellam73628887,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/hVHjalkEta,en,0,0,0
2021-08-13 19:51:45 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/DnluFkcq9m,en,0,0,0
2021-08-13 19:51:38 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/xFogpik1V8,en,0,0,0
2021-08-13 19:04:28 India Standard Time,ashishk59382871,"#EkGaonEkTiranga  ..There has been a sudden break in the running life due to the lockdown.  The fear of coronavirus has started affecting the mental health of the people, from this uncertainty only one can get rid of the Satnaam as given by Purna Sant Rampal Ji Maharaj Ji.  https://t.co/15lFPKJ6VQ",en,0,4,7
2021-08-13 19:03:44 India Standard Time,trikutanews,"13 August 2021 : Bulletin on Novel Corona Virus ( #COVID19 ) #Jammu and #Kashmir reports 129 new positive cases, 317471 recovered so far  https://t.co/ykUF5CrRbV",en,0,1,0
2021-08-15 02:29:08 India Standard Time,m_mgolparvar,China 🈹️㊗️with the corona virus that made Khamenei with his order They massacred the Iranian people  #CoronavirusPandemic  #coronavirus  End .......,en,1,0,1
2021-08-15 00:19:50 India Standard Time,a_warishameed,Criminal act by the Lahore administration to allow such a huge gathering at liberty last night. All SOPs are for educational institutions i guess.   #coronavirus #DeltaVariante #imrankhanPTI #IndependenceDay,en,0,0,2
2021-08-14 23:40:46 India Standard Time,irajashekaran,"2021 Aug 15th on the Eve of the 75th Independence Day,Advocate C.Rajashekaran demands Freedom for every Indian Citizen from Economic Yolk &amp; Burden imposed by #coronavirus &amp; #CovidPandemic Situation.India Needs Economic Independence from all Types of Toll’s,Taxes &amp; Debt’s imposed!",en,0,1,2
2021-08-14 23:06:26 India Standard Time,7krsaurabh,Covid 19 2nd jab completed 💉. #COVAXIN  #coronavirus  https://t.co/Z1eOVx0Fte,en,0,2,6
2021-08-14 22:48:06 India Standard Time,chellam73628887,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/cDezgyoimS,en,0,0,0
2021-08-14 22:45:42 India Standard Time,chellam73628887,Lovers life   Coronavirus death  https://t.co/B3AyUkp26A,en,0,0,0
2021-08-14 22:44:15 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/uasY6CdgGB,en,0,0,0
2021-08-14 20:17:04 India Standard Time,menakaw9,Media Release – 2021.08.14 Covid death figures reported today 14.08.2021 #Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #Coronavirus #Covid #Corona #Staysafe #Socialdistancing #Virus #Coronav #Pandemic  https://t.co/dABV8I1ZgN,en,0,2,2
2021-08-14 19:47:42 India Standard Time,trikutanews,"14 August 2021 : Bulletin on Novel Corona Virus ( #COVID19 ) #Jammu and #Kashmir reports 135 new positive cases, 317627 recovered so far  https://t.co/1OtWJagNbh",en,0,1,0
2021-08-14 17:58:59 India Standard Time,srilankatweet,So far today 2423 coronavirus cases report in Sri Lanka #LKA #SriLanka #COVID19SL #COVID19LK,en,3,17,73
2021-08-14 17:54:00 India Standard Time,yemeniradar,"“In #Yemen north, #Houthis face coronavirus with outright denial  At one cemetery in Jarraf, one digger estimated that over 30 people were buried every day in the past two months, many of them women and elderly” said by @RandaHabib   @UN @PMaurerICRC @hrw   https://t.co/uCJwSIqCWR  https://t.co/mbonH7WrOd",en,1,4,4
2021-08-14 14:54:50 India Standard Time,hudhudtimes,"Only those who are fully vaccinated against coronavirus or have a negative RT-PCR test report will be allowed to enter Punjab from Monday, Chief Minister Amarinder Singh said today. People coming from neighbouring Himachal Pradesh and Jammu will be strictly monitored.  https://t.co/02hUnJwDm8",en,0,0,1
2021-08-15 23:22:17 India Standard Time,srilankatweet,Dispose your face mask properly in a closed bin. Don't throw 🙏 Masks 😷 that helped save lives during the coronavirus pandemic are proving a deadly hazard for wildlife. @AFP #COVID19 #COVIDIOTS #coronavirus   https://t.co/igBL7P3wHT,en,7,214,373
2021-08-15 23:16:27 India Standard Time,salahud61599935,@michelleargent I want to get some help from you. I am in a lot of danger because of this coronavirus,en,0,0,0
2021-08-15 20:43:30 India Standard Time,nileshdchavan,"First Corona Virus 🦠 from China and now Taliban terrorism in Afghanistan, WHO and UN have been mere puppets and have lost the credibility.",en,0,0,0
2021-08-15 20:24:32 India Standard Time,menakaw9,Media Release – 2021.08.15 Covid death figures reported today 2021.08.15 #DGI #Government #Information #Department #News #infodprtsl  #Srilanka #Covid19 #Coronavirus #StaySafe #SocialDistancing #Virus #Pandemic  https://t.co/kf3iNgII0g,en,0,1,1
2021-08-15 18:21:33 India Standard Time,srilankatweet,So far today 2576 coronavirus cases report in Sri Lanka #LKA #SriLanka #COVID19SL #COVID19LK,en,2,13,73
2021-08-15 16:18:35 India Standard Time,abhishekherekar,"Strangers on a (Dublin) train: Kit Harington, that hilarious GoT reference, the Before Sunrise vibes, coronavirus, lockdown jokes and a bit of lotr at the end…..what an episode!  https://t.co/5CxwYmeaQf",en,0,0,5
2021-08-15 14:28:27 India Standard Time,bimal_oss,"In this independence day, let's pledge to follow all the Covid appropriate behaviours to protect the nation from novel #coronavirus and to win the battle against #Covid_19.  #HappyIndependenceDay2021  #AzadiKaAmritMahotsav  https://t.co/2mNh1EF0G4",en,0,0,2
2021-08-15 14:06:01 India Standard Time,marieshella4,Ahahaha contagious smile more potent than corona virus or even their variant lol 😂😂😂  stay safe lil bear,en,0,0,0
2021-08-15 12:40:28 India Standard Time,mangeram0154,"Brahmins sitting in to Sanatandharma Brahminism temples are  most poisonous and cancerious viruses, continue to be carriers of caste, communal hatred against SC ST OBC Minorities even after freedom, cause more harm than mosquitoes of malaria and dengue and coronavirus to Indians.",en,0,0,0
2021-08-15 10:08:43 India Standard Time,chellam73628887,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/qol8tkWFA4,en,0,0,0
2021-08-19 23:39:22 India Standard Time,chitrakshh,"Nearly 40 million beneficiaries did not receive their second dose of a coronavirus vaccine within stipulated time, news agency PTI has reported citing the Union government’s response to a Right to Information.  https://t.co/EKVW3rmAzh",en,0,0,0
