,tweet,language,hastags,attherate,urls,tokenized_Tweet
10,There's a less chance for Hasan Ali to play tomorrow because he's not fully fit after Covid-19!! 😢 #PAKvSA #SAvPAK,en,"['#PAKvSA', '#SAvPAK']",[],[],"['There', ""'s"", 'a', 'less', 'chance', 'for', 'Hasan', 'Ali', 'to', 'play', 'tomorrow', 'because', 'he', ""'s"", 'not', 'fully', 'fit', 'after', 'Covid-19', '😢', 'PAKvSA', 'SAvPAK']"
11,: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in real-estate demand  https://t.co/6jRoyLe93D #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,en,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/6jRoyLe93D'],"['Compass', 'CEO', 'Robert', 'Reffkin', 'COVID', 'created', 'a', '‘', 'permanent', 'shift', '’', 'in', 'real-estate', 'demand', 'https', 't.co/6jRoyLe93D', 'Nifty', 'Sipgrab', 'UnitingPeopleWithThePossibilities']"
12,Modi has sufficient time to blame others but not for his audience to be save from covid   by using mask and distance.,en,[],[],[],"['Modi', 'has', 'sufficient', 'time', 'to', 'blame', 'others', 'but', 'not', 'for', 'his', 'audience', 'to', 'be', 'save', 'from', 'covid', 'by', 'using', 'mask', 'and', 'distance']"
13,"Respected education Minister, This message is in regard of the students of MNIT Jaipur.  When all other NITs are functioning online then why MNIT jaipur is putting the students life at risk amidst the rising number of covid cases.  @PrakashJavdekar @AmitShah  @narendramodi",en,[],"['@PrakashJavdekar', '@AmitShah', '@narendramodi']",[],"['Respected', 'education', 'Minister', 'This', 'message', 'is', 'in', 'regard', 'of', 'the', 'students', 'of', 'MNIT', 'Jaipur', 'When', 'all', 'other', 'NITs', 'are', 'functioning', 'online', 'then', 'why', 'MNIT', 'jaipur', 'is', 'putting', 'the', 'students', 'life', 'at', 'risk', 'amidst', 'the', 'rising', 'number', 'of', 'covid', 'cases', 'PrakashJavdekar', 'AmitShah', 'narendramodi']"
14,@EssexPR Those who got admitted in hospital with other reasons and caught covid there in hospitals.,en,[],['@EssexPR'],[],"['EssexPR', 'Those', 'who', 'got', 'admitted', 'in', 'hospital', 'with', 'other', 'reasons', 'and', 'caught', 'covid', 'there', 'in', 'hospitals']"
15,"Alhamdollilah, Allah gave them complete health wich are effected with Covid-19. And stay blessed",en,[],[],[],"['Alhamdollilah', 'Allah', 'gave', 'them', 'complete', 'health', 'wich', 'are', 'effected', 'with', 'Covid-19', 'And', 'stay', 'blessed']"
16,"@abhymurarka @dakuwithchaku Hinduja Hospital - 9969201003. They'll register details &amp; allocate bed as soon as its available.   But If patient is not having any breathing issue, then covid center at Nesco, Parasdham Ghatkopar or BKC is anytime better options to opt immediately. Take care.",en,[],"['@abhymurarka', '@dakuwithchaku']",[],"['abhymurarka', 'dakuwithchaku', 'Hinduja', 'Hospital', '9969201003', 'They', ""'ll"", 'register', 'details', 'amp', 'allocate', 'bed', 'as', 'soon', 'as', 'its', 'available', 'But', 'If', 'patient', 'is', 'not', 'having', 'any', 'breathing', 'issue', 'then', 'covid', 'center', 'at', 'Nesco', 'Parasdham', 'Ghatkopar', 'or', 'BKC', 'is', 'anytime', 'better', 'options', 'to', 'opt', 'immediately', 'Take', 'care']"
17,People with disabilities should be prioritized &amp; get vaccinated soon. I teach at a special school &amp; I know that immune system of our kids is weak.The new British variant of Covid is dangerous &amp; hard on kids.Government should  make vaccine available and accessible for PWD #COVID,en,['#COVID'],[],[],"['People', 'with', 'disabilities', 'should', 'be', 'prioritized', 'amp', 'get', 'vaccinated', 'soon', 'I', 'teach', 'at', 'a', 'special', 'school', 'amp', 'I', 'know', 'that', 'immune', 'system', 'of', 'our', 'kids', 'is', 'weak.The', 'new', 'British', 'variant', 'of', 'Covid', 'is', 'dangerous', 'amp', 'hard', 'on', 'kids.Government', 'should', 'make', 'vaccine', 'available', 'and', 'accessible', 'for', 'PWD', 'COVID']"
18,#AmitShah #NarendraModi  &amp; senior leadership of #BJP is doing election campaigns in #tn #WestBengal &amp; Assam. These senior responsible leaders are kicking the Covid Rules that we all are followin religiously for us and our family and to be saved from Cash Challans.  Is this right?  https://t.co/1LxwJMnF3o,en,"['#AmitShah', '#NarendraModi', '#BJP', '#tn', '#WestBengal']",[],['https://t.co/1LxwJMnF3o'],"['AmitShah', 'NarendraModi', 'amp', 'senior', 'leadership', 'of', 'BJP', 'is', 'doing', 'election', 'campaigns', 'in', 'tn', 'WestBengal', 'amp', 'Assam', 'These', 'senior', 'responsible', 'leaders', 'are', 'kicking', 'the', 'Covid', 'Rules', 'that', 'we', 'all', 'are', 'followin', 'religiously', 'for', 'us', 'and', 'our', 'family', 'and', 'to', 'be', 'saved', 'from', 'Cash', 'Challans', 'Is', 'this', 'right', 'https', 't.co/1LxwJMnF3o']"
19,I everyone I am journalist I hope everyone also fine but I asked everyone covid 9 (corona) was very spread in India then everyone use mask and take care your self 🙏🏻 I hopI will try my best to bring you the accumulated strength of the case in a positive way #jornalist  #Covid_19  https://t.co/cO1IMzN4SF,en,"['#jornalist', '#Covid_19']",[],['https://t.co/cO1IMzN4SF'],"['I', 'everyone', 'I', 'am', 'journalist', 'I', 'hope', 'everyone', 'also', 'fine', 'but', 'I', 'asked', 'everyone', 'covid', '9', 'corona', 'was', 'very', 'spread', 'in', 'India', 'then', 'everyone', 'use', 'mask', 'and', 'take', 'care', 'your', 'self', '🙏🏻', 'I', 'hopI', 'will', 'try', 'my', 'best', 'to', 'bring', 'you', 'the', 'accumulated', 'strength', 'of', 'the', 'case', 'in', 'a', 'positive', 'way', 'jornalist', 'Covid_19', 'https', 't.co/cO1IMzN4SF']"
20,Temporarily closed due to pandemic #Covid_19  https://t.co/l71WUDF1WI,en,['#Covid_19'],[],['https://t.co/l71WUDF1WI'],"['Temporarily', 'closed', 'due', 'to', 'pandemic', 'Covid_19', 'https', 't.co/l71WUDF1WI']"
21,"🛑🚨some very critical work by my buddy @andrabi_raiees on the #Covid’s, now infamous, spike proteins. He and his team conclude that this work may facilitate the development of new vaccines.",en,"['#Covid’s,']",['@andrabi_raiees'],[],"['🛑🚨some', 'very', 'critical', 'work', 'by', 'my', 'buddy', 'andrabi_raiees', 'on', 'the', 'Covid', '’', 's', 'now', 'infamous', 'spike', 'proteins', 'He', 'and', 'his', 'team', 'conclude', 'that', 'this', 'work', 'may', 'facilitate', 'the', 'development', 'of', 'new', 'vaccines']"
22,B.1.1.7 variant of COVID-19 spreading rapidly in United States  https://t.co/fiwnja3yQt #Nifty #sipgrab,en,"['#Nifty', '#sipgrab']",[],['https://t.co/fiwnja3yQt'],"['B.1.1.7', 'variant', 'of', 'COVID-19', 'spreading', 'rapidly', 'in', 'United', 'States', 'https', 't.co/fiwnja3yQt', 'Nifty', 'sipgrab']"
23,Request everyone in #Mumbai &amp; #Maharashtra to come forward voluntarily &amp; donate blood. We don’t have the time &amp; we don’t know what future holds for us as far as Covid is concerned. Do it &amp; do it now. @BloodDonorsIn,en,"['#Mumbai', '#Maharashtra']",['@BloodDonorsIn'],[],"['Request', 'everyone', 'in', 'Mumbai', 'amp', 'Maharashtra', 'to', 'come', 'forward', 'voluntarily', 'amp', 'donate', 'blood', 'We', 'don', '’', 't', 'have', 'the', 'time', 'amp', 'we', 'don', '’', 't', 'know', 'what', 'future', 'holds', 'for', 'us', 'as', 'far', 'as', 'Covid', 'is', 'concerned', 'Do', 'it', 'amp', 'do', 'it', 'now', 'BloodDonorsIn']"
24,"@PMOIndia @narendramodi  @vijayrupanibjp @collectorvalsad  My impression of Government run PHC was not good but change after visiting PHC, ORVAD, UDVADA, DIST. VALSAD, GUJARAT for Covid Vaccine. Very good improvement &amp; staff. Administrative &amp; Medical staff deserve appreciation.",en,[],"['@PMOIndia', '@narendramodi', '@vijayrupanibjp', '@collectorvalsad']",[],"['PMOIndia', 'narendramodi', 'vijayrupanibjp', 'collectorvalsad', 'My', 'impression', 'of', 'Government', 'run', 'PHC', 'was', 'not', 'good', 'but', 'change', 'after', 'visiting', 'PHC', 'ORVAD', 'UDVADA', 'DIST', 'VALSAD', 'GUJARAT', 'for', 'Covid', 'Vaccine', 'Very', 'good', 'improvement', 'amp', 'staff', 'Administrative', 'amp', 'Medical', 'staff', 'deserve', 'appreciation']"
25,@AUThackeray @mybmc Pls start COVID centers on urgent basis....,en,[],"['@AUThackeray', '@mybmc']",[],"['AUThackeray', 'mybmc', 'Pls', 'start', 'COVID', 'centers', 'on', 'urgent', 'basis']"
26,So LRH new allied building 500 beded is being emptied for covid patients Meaning all services are being withheld for covid pandemic 3rd wave  God bless us all !! #CoronaUpdate #KPKUpdates,en,"['#CoronaUpdate', '#KPKUpdates']",[],[],"['So', 'LRH', 'new', 'allied', 'building', '500', 'beded', 'is', 'being', 'emptied', 'for', 'covid', 'patients', 'Meaning', 'all', 'services', 'are', 'being', 'withheld', 'for', 'covid', 'pandemic', '3rd', 'wave', 'God', 'bless', 'us', 'all', 'CoronaUpdate', 'KPKUpdates']"
27,"@A_Troglodyte_ Almost like covid but without sore throat. Headache,weakness,unusual fever.",en,[],['@A_Troglodyte_'],[],"['A_Troglodyte', 'Almost', 'like', 'covid', 'but', 'without', 'sore', 'throat', 'Headache', 'weakness', 'unusual', 'fever']"
28,#enjoythejourney #Fun #covid_19 #besafe #vaccination  Tour and Traveling is most enjoyable part of life but this is unprecedented time of pandemic so #besafeeveryone.  #enjoythejourney #anatomyofaction #theofficialanatomyofaction  @Gov_of_india @iucngys @GlobalGoals  https://t.co/Xt8fJJmOJm,en,"['#enjoythejourney', '#Fun', '#covid_19', '#besafe', '#vaccination', '#besafeeveryone.', '#enjoythejourney', '#anatomyofaction', '#theofficialanatomyofaction']","['@Gov_of_india', '@iucngys', '@GlobalGoals']",['https://t.co/Xt8fJJmOJm'],"['enjoythejourney', 'Fun', 'covid_19', 'besafe', 'vaccination', 'Tour', 'and', 'Traveling', 'is', 'most', 'enjoyable', 'part', 'of', 'life', 'but', 'this', 'is', 'unprecedented', 'time', 'of', 'pandemic', 'so', 'besafeeveryone', 'enjoythejourney', 'anatomyofaction', 'theofficialanatomyofaction', 'Gov_of_india', 'iucngys', 'GlobalGoals', 'https', 't.co/Xt8fJJmOJm']"
29,The Skye Restaurant by Indigo Heights is sealed over #COVID19 SoPs violations.  Please report any violations #Covid_19  #Lahore  #Coronaviruspakistan #StayHome  https://t.co/arJbVQUheg,en,"['#COVID19', '#Covid_19', '#Lahore', '#Coronaviruspakistan', '#StayHome']",[],['https://t.co/arJbVQUheg'],"['The', 'Skye', 'Restaurant', 'by', 'Indigo', 'Heights', 'is', 'sealed', 'over', 'COVID19', 'SoPs', 'violations', 'Please', 'report', 'any', 'violations', 'Covid_19', 'Lahore', 'Coronaviruspakistan', 'StayHome', 'https', 't.co/arJbVQUheg']"
30,#yesterday on 2nd April 2021#online test #political science ou pg college secunderabad HYD#never seen like these test in online#always slides were scrolling not attempt properly due to online test is not conduct properly#covid 19  https://t.co/gWIp0xXoVu,en,"['#yesterday', '#political']",[],['https://t.co/gWIp0xXoVu'],"['yesterday', 'on', '2nd', 'April', '2021', 'online', 'test', 'political', 'science', 'ou', 'pg', 'college', 'secunderabad', 'HYD', 'never', 'seen', 'like', 'these', 'test', 'in', 'online', 'always', 'slides', 'were', 'scrolling', 'not', 'attempt', 'properly', 'due', 'to', 'online', 'test', 'is', 'not', 'conduct', 'properly', 'covid', '19', 'https', 't.co/gWIp0xXoVu']"
31,Hundreds of people died of Covid today It's not a small thing We got to worry We got to act,en,[],[],[],"['Hundreds', 'of', 'people', 'died', 'of', 'Covid', 'today', 'It', ""'s"", 'not', 'a', 'small', 'thing', 'We', 'got', 'to', 'worry', 'We', 'got', 'to', 'act']"
32,@FarooqAhmedX I lost my Covid fears last year.....not as deadly as painted,en,[],['@FarooqAhmedX'],[],"['FarooqAhmedX', 'I', 'lost', 'my', 'Covid', 'fears', 'last', 'year', 'not', 'as', 'deadly', 'as', 'painted']"
33,01.04.2021 Recently #Covid+ve cases in India has shown declining trend.But past few days witnessed rise in cases;in last 24hrs rose by 72330 much higher than y'day. Total cases today:12221765; recovery so far-11474683 (93.89%); fatalities-162927 (1.33%)&amp; active - 584055 (4.78%),en,['#Covid+ve'],[],[],"['01.04.2021', 'Recently', 'Covid+ve', 'cases', 'in', 'India', 'has', 'shown', 'declining', 'trend.But', 'past', 'few', 'days', 'witnessed', 'rise', 'in', 'cases', 'in', 'last', '24hrs', 'rose', 'by', '72330', 'much', 'higher', 'than', ""y'day"", 'Total', 'cases', 'today:12221765', 'recovery', 'so', 'far-11474683', '93.89', 'fatalities-162927', '1.33', 'amp', 'active', '584055', '4.78']"
34,SOS I NEED COVID-19 HOSPITAL WITH DIALYSIS TREATMENT IN MUMBAI  WE ARE SEARCHING HOSPITAL BUT NO BEDS ARE AVAILABLE &amp; WHERE BEDS ARE AVAILABLE THEY ARE NOT ALLOWING DIALYSIS TREATMENT FOR PATIENT  #HelpMeUrgently @manoj_kotak  @OfficeofUT  @AUThackeray  @PawarSpeaks @PMOIndia,en,['#HelpMeUrgently'],"['@manoj_kotak', '@OfficeofUT', '@AUThackeray', '@PawarSpeaks', '@PMOIndia']",[],"['SOS', 'I', 'NEED', 'COVID-19', 'HOSPITAL', 'WITH', 'DIALYSIS', 'TREATMENT', 'IN', 'MUMBAI', 'WE', 'ARE', 'SEARCHING', 'HOSPITAL', 'BUT', 'NO', 'BEDS', 'ARE', 'AVAILABLE', 'amp', 'WHERE', 'BEDS', 'ARE', 'AVAILABLE', 'THEY', 'ARE', 'NOT', 'ALLOWING', 'DIALYSIS', 'TREATMENT', 'FOR', 'PATIENT', 'HelpMeUrgently', 'manoj_kotak', 'OfficeofUT', 'AUThackeray', 'PawarSpeaks', 'PMOIndia']"
35,ADD press release regarding current situation in K.Dhiffushi   #ADD #ADDhiffushi #ADDNGO #Dhiffushi #ADDawares #covid #covid2019 #covid19outbreak  https://t.co/eUv7EWbm78,en,"['#ADD', '#ADDhiffushi', '#ADDNGO', '#Dhiffushi', '#ADDawares', '#covid', '#covid2019', '#covid19outbreak']",[],['https://t.co/eUv7EWbm78'],"['ADD', 'press', 'release', 'regarding', 'current', 'situation', 'in', 'K.Dhiffushi', 'ADD', 'ADDhiffushi', 'ADDNGO', 'Dhiffushi', 'ADDawares', 'covid', 'covid2019', 'covid19outbreak', 'https', 't.co/eUv7EWbm78']"
36,See the Current active cases of Tamil Nadu and how rallies are going on. Now where are the Covid Protocols? Who Will answer? Elections hoge rallies hogi but exams Nahi hogi. Tyoharo par dukane band hogi.q #ElectionHongeExamnahihogi  https://t.co/YW18MxJSF6,en,['#ElectionHongeExamnahihogi'],[],['https://t.co/YW18MxJSF6'],"['See', 'the', 'Current', 'active', 'cases', 'of', 'Tamil', 'Nadu', 'and', 'how', 'rallies', 'are', 'going', 'on', 'Now', 'where', 'are', 'the', 'Covid', 'Protocols', 'Who', 'Will', 'answer', 'Elections', 'hoge', 'rallies', 'hogi', 'but', 'exams', 'Nahi', 'hogi', 'Tyoharo', 'par', 'dukane', 'band', 'hogi.q', 'ElectionHongeExamnahihogi', 'https', 't.co/YW18MxJSF6']"
37,@LonewolfScyther The amount of opportunities i have lost because of covid have taken mental toll on me..  https://t.co/WL0g9nYhZV,en,[],['@LonewolfScyther'],['https://t.co/WL0g9nYhZV'],"['LonewolfScyther', 'The', 'amount', 'of', 'opportunities', 'i', 'have', 'lost', 'because', 'of', 'covid', 'have', 'taken', 'mental', 'toll', 'on', 'me', 'https', 't.co/WL0g9nYhZV']"
38,Got #Vaccination of COVID-19.. ...Feeling thankful to government of india  https://t.co/I9HRdC6YHu,en,['#Vaccination'],[],['https://t.co/I9HRdC6YHu'],"['Got', 'Vaccination', 'of', 'COVID-19', 'Feeling', 'thankful', 'to', 'government', 'of', 'india', 'https', 't.co/I9HRdC6YHu']"
39,TODAY NO VENTILATOR FREE IN HOSPITAL ON EVERY VENTILATOR COVID PATIENT FAMILY PRAYING  WORSHIP FOR SAVEING LIFE JUST LISTEN THREE MINUTE VEDIO SAY WHO BECOME COVID GOD @IndoreCollector @iShankarLalwani @JansamparkMP  #COVID19 #CoronavirusPandemic   https://t.co/LexRAldGcw,en,"['#COVID19', '#CoronavirusPandemic']","['@IndoreCollector', '@iShankarLalwani', '@JansamparkMP']",['https://t.co/LexRAldGcw'],"['TODAY', 'NO', 'VENTILATOR', 'FREE', 'IN', 'HOSPITAL', 'ON', 'EVERY', 'VENTILATOR', 'COVID', 'PATIENT', 'FAMILY', 'PRAYING', 'WORSHIP', 'FOR', 'SAVEING', 'LIFE', 'JUST', 'LISTEN', 'THREE', 'MINUTE', 'VEDIO', 'SAY', 'WHO', 'BECOME', 'COVID', 'GOD', 'IndoreCollector', 'iShankarLalwani', 'JansamparkMP', 'COVID19', 'CoronavirusPandemic', 'https', 't.co/LexRAldGcw']"
40,local council elections #LCE2021 has cured covid. 😒😂 #covid19dhifaau,en,"['#LCE2021', '#covid19dhifaau']",[],[],"['local', 'council', 'elections', 'LCE2021', 'has', 'cured', 'covid', '😒😂', 'covid19dhifaau']"
41,@manojkjhadu @EduMinOfIndia Well that has to be followed by students when the likes of you not following Covid protocol how u expect students to do so.,en,[],"['@manojkjhadu', '@EduMinOfIndia']",[],"['manojkjhadu', 'EduMinOfIndia', 'Well', 'that', 'has', 'to', 'be', 'followed', 'by', 'students', 'when', 'the', 'likes', 'of', 'you', 'not', 'following', 'Covid', 'protocol', 'how', 'u', 'expect', 'students', 'to', 'do', 'so']"
42,"@fadlism @kudanai ""Sinopharm is for the opposition and Covishield is for govt pro.""  &amp;  Covid-19 is for everyone.",en,[],"['@fadlism', '@kudanai']",[],"['fadlism', 'kudanai', 'Sinopharm', 'is', 'for', 'the', 'opposition', 'and', 'Covishield', 'is', 'for', 'govt', 'pro', 'amp', 'Covid-19', 'is', 'for', 'everyone']"
43,Just got this message from covid vaccination helpline. Such efficiency. 1 hour left in the day. Wow! 👏🏽👏🏽 @OfficialNcoc  https://t.co/OMliNrjQrF,en,[],['@OfficialNcoc'],['https://t.co/OMliNrjQrF'],"['Just', 'got', 'this', 'message', 'from', 'covid', 'vaccination', 'helpline', 'Such', 'efficiency', '1', 'hour', 'left', 'in', 'the', 'day', 'Wow', '👏🏽👏🏽', 'OfficialNcoc', 'https', 't.co/OMliNrjQrF']"
44,Europe recasts COVID-19 vaccine playbook after first-round flop  https://t.co/G6uv5yFtpg #Sipgrab #UnitingPeopleWithThePossibilities,en,"['#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/G6uv5yFtpg'],"['Europe', 'recasts', 'COVID-19', 'vaccine', 'playbook', 'after', 'first-round', 'flop', 'https', 't.co/G6uv5yFtpg', 'Sipgrab', 'UnitingPeopleWithThePossibilities']"
45,"As covid cases are rising in Maharashtra,But @CMofKarnataka has not given any order regarding the closure of route for people coming or going to Maharashtra .I humbly request honorable CM to please take precautionary measures to tackle the virus. @siddaramaiah  @hd_kumaraswamy",en,[],"['@CMofKarnataka', '@siddaramaiah', '@hd_kumaraswamy']",[],"['As', 'covid', 'cases', 'are', 'rising', 'in', 'Maharashtra', 'But', 'CMofKarnataka', 'has', 'not', 'given', 'any', 'order', 'regarding', 'the', 'closure', 'of', 'route', 'for', 'people', 'coming', 'or', 'going', 'to', 'Maharashtra', 'I', 'humbly', 'request', 'honorable', 'CM', 'to', 'please', 'take', 'precautionary', 'measures', 'to', 'tackle', 'the', 'virus', 'siddaramaiah', 'hd_kumaraswamy']"
46,81300+ Covid cases today .. is Virus getting super activated or people have become reluctant and do not care about getting infected. Let's open Vaccination for all adults basis availability @drharshvardhan @PMOIndia #StaySafe #WearMask #SocialDistancing #WFH #LiveWithCare  https://t.co/MLS9POBBKb,en,"['#StaySafe', '#WearMask', '#SocialDistancing', '#WFH', '#LiveWithCare']","['@drharshvardhan', '@PMOIndia']",['https://t.co/MLS9POBBKb'],"['81300', 'Covid', 'cases', 'today', 'is', 'Virus', 'getting', 'super', 'activated', 'or', 'people', 'have', 'become', 'reluctant', 'and', 'do', 'not', 'care', 'about', 'getting', 'infected', 'Let', ""'s"", 'open', 'Vaccination', 'for', 'all', 'adults', 'basis', 'availability', 'drharshvardhan', 'PMOIndia', 'StaySafe', 'WearMask', 'SocialDistancing', 'WFH', 'LiveWithCare', 'https', 't.co/MLS9POBBKb']"
47,"""France to enter a third national lockdown for four weeks amid COVID-19 surge""   https://t.co/mFZiZEbKfz",en,[],[],['https://t.co/mFZiZEbKfz'],"['France', 'to', 'enter', 'a', 'third', 'national', 'lockdown', 'for', 'four', 'weeks', 'amid', 'COVID-19', 'surge', 'https', 't.co/mFZiZEbKfz']"
48,@OfficialDMRC You are praise these thing everyday on twitter but what for them who travel daily in crowded metro. There is any covid safety measure taken by dmrc for there passenger? Metro running as the same as running before Corona period and people are traveling same too.,en,[],['@OfficialDMRC'],[],"['OfficialDMRC', 'You', 'are', 'praise', 'these', 'thing', 'everyday', 'on', 'twitter', 'but', 'what', 'for', 'them', 'who', 'travel', 'daily', 'in', 'crowded', 'metro', 'There', 'is', 'any', 'covid', 'safety', 'measure', 'taken', 'by', 'dmrc', 'for', 'there', 'passenger', 'Metro', 'running', 'as', 'the', 'same', 'as', 'running', 'before', 'Corona', 'period', 'and', 'people', 'are', 'traveling', 'same', 'too']"
