Username,Userhandle,Time,comments,retweets,likes,Tweet
Aman banka,@AmanBanka00,2021-06-20T17:04:02.000Z,,,7,"Many people have lost their father in last 1 year due to Covid-19. 

Your father must be proud of you. May God give you enough strength to bear the irreparable loss !

#HappyFathersDay"
Shailesh,@skvn10,2021-06-06T05:36:39.000Z,,,,"Replying to 
@vizhpuneet
 
@psmanwatkar
 and 42 others"
Aman banka,@AmanBanka00,2021-06-05T16:30:05.000Z,1,2,10,"Amidst second wave of Covid-19, Government of India has cancelled the examination of Class 10th and 12th.

Then, why they are not cancelling the exam of CA, NEET and other competitive exams.

Why Discrimination?

#icaiexams #CancelAllExams"
PARTHA ROY,@Partha1963,2021-06-27T11:13:43.000Z,,,,"CM 
@MamataOfficial
 needs streamline Covid-19 vaccination  process and enforce strict checking systems to eliminate fake  vaccination camps endangering life of thousands in #WestBengal. Any  Fake vaccination camp in rural  areas  can cause irreparable damage to villagers"
RamKoner,@ramkoner,2021-06-13T06:16:52.000Z,,,,"Replying to 
@KrisNair1"
Dr.Sujib Kar,@SujibDr,2021-06-19T21:31:19.000Z,2,1,4,"After the onset of Monsoon various parts of West Bengal might experience river bank erosion, flood and huge health hazard like Dengue and Malaria along with  COVID-19 .Water logged areas in of Kolkata might face the problem of Dengue within a very short span of time."
Santanu Bhattacharya,@Santanu1999,2021-06-05T16:45:55.000Z,,,," Options to stay safe from COVID-19 
 Covishield / Covaxine / Sputnik + Mask + Sanitizer + social distancing
 Mask + Sanitizer + social distancing
 Mask + Sanitizer
 Mask"
Mahesh Saharia,@iamamkay,2021-06-28T12:06:47.000Z,,1,3,"Vaccinated health workers at West Hoxton birthday party didn't contract COVID-19, NSW Health reveals. One Word Get #Vaccinated 
@MoHFW_INDIA
 You can quote tomorrow Press Brief Australia's experience 
@DrSwatiShow"
Pritha Sarkar,@prithasarkar18,2021-06-03T19:18:39.000Z,,,,"Applaude
""White House announces plan to distribute 80 million COVID-19 doses globally by end of June"""
विवेक बारूई,@VivekBarui,2021-06-09T03:03:21.000Z,1,,,"Dr. Antony Fauci asking Americans to be get vaccinated, referring as
COVID-19 (B.1.6172) which has been seen in India and UK , 6% Americans likely been affected as per the Press Confrence. 
Recently 
@WHO
 in his press conference speaks about the new Variant discover in India."
RamKoner,@ramkoner,2021-06-15T12:29:17.000Z,,,,"Replying to 
@OptionsChains"
Aishik Saha,@oeesheek,2021-06-01T12:11:42.000Z,,,,"Will jobs go back to being the way they were when Indian firms recover after the Covid-19 pandemic? https://scroll.in/article/996255/will-jobs-go-back-to-being-the-way-they-were-when-indian-firms-recover-after-the-covid-19-pandemic… via 
@scroll_in"
Mohit Saluja,@MohitSa93812662,2021-06-14T04:43:25.000Z,,,,"Replying to 
@mygovindia
 
@MSJEGOI
 and 4 others"
Sowren Sarker,@SarkarSouren,2021-06-03T13:11:09.000Z,,,,"Replying to 
@lucky_koley
 and 
@iamRashmika"
Swapan Kumar Das( kumar_swapan),@SwapanK70679233,2021-06-01T08:01:46.000Z,,,,"Replying to 
@learner_vk
 
@nsitharaman
 and 
@timesofindia"
Eshna Saha,@EshnaSaha,2021-06-13T05:06:17.000Z,,,,"@dpradhanbjp
 what the hell is happening petrol price is sky high and cooking oil is high too. Where as the economic crisis is there due to COVID-19. Are you planning to kill people without eating food. Should they cook only with water. #Shame #Shame"
you belong with me TS,@teawary,2021-06-03T07:05:15.000Z,,,,"@MamataOfficial
 Madhyamik and Uchya Madhyamik exams must be cancelled/ postponed further until the situation improves. Students would otherwise constantly be at a risk of contracting Covid 19/ Fungal infections and dome may have post covid complications.
#cancelmadhyamik2021"
विवेक बारूई,@VivekBarui,2021-06-02T18:35:06.000Z,,,,"Covax Raises $2.4 Billion to Help Combat Covid-19 Vaccine Shortfall.
World Leaders supported the cause and Raised for Covax to help millions of poor.

The virtual donors’ summit was co-hosted by Japanese Prime Minister 
@sugawitter
 and 
@JMDBarroso
 ."
Hobbs,@sayantanm28,2021-06-13T09:10:00.000Z,,,1,"It seems the only matter about which the ruling party focuses on planning  ahead is election strategy. Be it fuel prices, COVID-19 waves, vaccine distribution, inflation - absolutely nothing. Utterly disgusted. 
@PMOIndia
 
@nsitharaman
 
@AmitShah
 #PetrolDieselPriceHike"
Adrija Banerjee,@Bonhishikha_93,2021-06-19T03:26:16.000Z,,,,"""Olympic sprinter Milkha Singh dies at age 91 from COVID-19""  https://twitter.com/i/events/1405969918172880896…
May the departed soul #RIP & bless his son to overcome this difficult phase
My heartfelt condolences to 
@JeevMilkhaSingh
 for the consecutive losses faced within this short span. 
#RIPMilkhaSingh"
