,created_at,username,tweet,language,replies_count,retweets_count,likes_count,Username,Retweets
10,2021-06-05 04:08:43 India Standard Time,duchokt,If it is imposed and executed properly then probably would help so many bright students who have gone through such a big crisis during the covid phase🙏,en,0.0,0.0,0,,
11,2021-06-05 04:00:23 India Standard Time,nish_sya,Ada orang pelik bila aku basuh bungkusan isi roti. Memang dari dulu lagi suka basuh dulu sebelum consume. Macam air kotak ke air tin ke... Sejak pakcik aku kena leptospirosis dulu aku jadi macam paranoid sikit. Sekarang ni dah covid lagi la takut.,in,1.0,0.0,0,,
12,2021-06-05 03:37:43 India Standard Time,raheemaamir,"And I totally agree with Dr in demand that current COVID-19 Pandemic Doctors are suffering! It’s already been stressful and this NLE will make it more worse, at least an online module and exam like @NBRC_tweets and documenting CME will solve the problem 3/3.",en,0.0,0.0,1,,
13,2021-06-05 03:35:52 India Standard Time,aruncps34,"#TamilNadu COVID ""Normal, O2 &amp; ICU""  bed occupancy fill rate %  Update 04June'21 - graphs refreshed - by district: refer image -  https://t.co/Vsfix11GF8  src:  https://t.co/sW1kKEsNaJ  #COVIDSecondWaveInIndia #TNCoronaUpdate  https://t.co/y5kV3Za9wP",en,0.0,0.0,0,,
14,2021-06-05 03:35:03 India Standard Time,sipgrab,Airlines press U.S. on refusal to lift COVID-19 travel restrictions  https://t.co/jBoPHUEiBA #Sipgrab #UnitingPeopleWithThePossibilities,en,0.0,0.0,0,,
15,2021-06-05 03:33:50 India Standard Time,aruncps34,"#Chennai Street Level COVID Impact:  Update 04June'21: - graphs refreshed - by zone: refer image     - 7dma 📉      - 900+ streets - by area:   https://t.co/XhWIpGcqGH  src: @chennaicorp No upload on: 24/5, 02/6.  #COVIDSecondWaveInIndia #ChennaiLockDown  https://t.co/LT2UyNOev1",en,0.0,0.0,0,,
16,2021-06-05 03:17:25 India Standard Time,anurag876,":(  Lioness dies of Covid-19 at Chennai zoo, eight other lions test positive  https://t.co/RoGOuy4zQN via @IndianExpress",en,0.0,0.0,0,,
17,2021-06-05 03:16:54 India Standard Time,anurag876,":(    Lioness dies of Covid-19 at Chennai zoo, eight other lions test positive  https://t.co/RoGOuy4zQN via @IndianExpress",en,0.0,0.0,0,,
18,2021-06-05 03:15:06 India Standard Time,zerryy____,nk tnggu covid habis nie aku rasa mau bersambung kening njir . lockdown ke lockup ke case number gitu jgak nya,in,0.0,0.0,1,,
19,2021-06-05 02:50:50 India Standard Time,beeds143,"@Shirani62207403 PPM in jehi sakaraathaa, MDP isve ove HPA ah biru dhahkaigen Covid Positive meehun neregen vote laigenaa. Migothah liyeli nama furihama vees.",in,0.0,0.0,0,,
20,2021-06-05 02:34:19 India Standard Time,singhak_endo,My interview to @claudiahammond on @BBCWorld about #Mucormycosis in #India during #Covid and its relation to #Diabetes and rampant #Steroid use- broadcasted day before yesterday. It’s for general audience.  https://t.co/F3Z2zTlcHa,en,3.0,5.0,39,,
21,2021-06-05 02:25:57 India Standard Time,007firaun,India joins global push for Covid origin probe #WuhanLabLeak  https://t.co/HcadSHxrex,en,0.0,0.0,0,,
22,2021-06-05 02:17:48 India Standard Time,rumyzkhan,"Got vaccinated today, okay bye COVID-19 👋🏻",en,0.0,0.0,2,,
23,2021-06-05 02:14:16 India Standard Time,vbrarinc,"On the directives of Chief Minister @Capt_Amarinder Singh, the Punjab govt issued an order for taking back COVID Vaccines from Pvt. Hospitals with immediate effect and all these vaccines will be administered free of cost to 18-44 years age group at Government vaccination centres.",en,0.0,1.0,5,,
24,2021-06-05 02:09:42 India Standard Time,sahilkansal92,Thank you for highlighting this.  Covid goes in 2 weeks but many patients are still affected. setu app and ICMR data declares them as recovered but that's not the reality.  @Milan_reports,en,1.0,1.0,4,,
25,2021-06-05 02:05:51 India Standard Time,mannojagarwalaa,@himantabiswa @CMOfficeAssam @nhm_assam A very welcome step Sir. This will help these delivery people a lot as they are equal warriors in current covid situation 🙏🙏,en,0.0,1.0,2,,
26,2021-06-05 02:05:15 India Standard Time,engahmedradwan5,Our meeting before COVID-19  https://t.co/LEGyjTPaqT,en,0.0,0.0,2,,
27,2021-06-05 01:56:12 India Standard Time,protect2others,Another side people’s were facing COVID-19 people’s expired in home &amp; cant report the daily reports that’s only media figures if you want to plus them then 100+ death daily as per @AJEnglish next can’t listen the Govt. Sop’s. I said to our Prime Minister @ImranKhanPTI  https://t.co/qACRayEEkT,en,1.0,0.0,0,,
28,2021-06-05 01:56:09 India Standard Time,protect2others,Alway's God blessed to Pakistan but right nowadays in that pandemic people’s were violent to much because of COVID-19 that’s after shocks respectively. please save the Pakistan because in every side either it was provinces Sindh &amp; Punjab to much critical condition like CIVIL WAR.  https://t.co/fxncpPHtaF,en,1.0,0.0,0,,
29,2021-06-05 01:42:34 India Standard Time,_rodahidup,"Employers must vaccinate their workers before opening for production, otherwise risk mass infection among employees. @AzminAli  Malaysia manufacturers reduce output as COVID-19 lockdown limits workforce capacity to 60%    https://t.co/34vdMp4PEP",en,0.0,0.0,0,,
30,2021-06-05 01:41:11 India Standard Time,kurmasathya,#చందానగర్_పోలీస్_స్టేషన్_ని_సానిటైజ్_చేసిన_శేరిలింగంపల్లి_జీవై_ఫౌండేషన్_కోవిడ్_రక్ష_టీమ్  SLP GY Foundation Covid Raksha Team has today done dis infectant fogging in the Chandanagar police station in the morning and dis infectant spray in the evening.   #CovidRakshaTeam  https://t.co/vLBAkgezUQ,en,0.0,0.0,0,,
31,2021-06-05 01:39:26 India Standard Time,_rodahidup,G.Prix officially off for 2021.  Formula 1: Singapore Grand Prix cancelled for second year in a row amid COVID-19 pandemic   https://t.co/CArcrLNtSD,en,0.0,0.0,0,,
32,2021-06-05 01:38:34 India Standard Time,adamshareefz,Mishka ge ithurun ethah bayaku sarukaaruge ihumaalun dhuniye dhookoffaivey. Mifadha ihumaaluthah madhukureveynee hinguntheri bayakaa manage kuran havaalukoggen. Gteater Male' ge Covid aaigulhey logistics kankan Male' City Council aa havaalu koffinama mihaarah vure rangalhuvaane!  https://t.co/ik1vtnbVxv,et,1.0,19.0,30,,
33,2021-06-05 01:37:14 India Standard Time,agrharsh,"@Sudhakar9293 @srivatsayb Did you know there 2-wheeler outnumber cars? Most of them only afford to fill just enough for the day, everyday. Despite reduced daily earning due to COVID, they hv to fill for Rs.150-170, instead of Rs.100, per day. Many poor now cycle 3-4 hrs coz fuel is out of their reach now",en,0.0,0.0,0,,
34,2021-06-05 01:31:35 India Standard Time,senarlongbiram,@RNTata2000 @tourismgoi @MoHFW_INDIA @ajaydevgn @BillGates  Please welcome to this place once Covid pandemic is over. Most cleanliness place in Karbi Anglong and West Karbi Anglong District in Assam Max. 200 km from Guwahati metropolitan Assam. Thank you.,en,0.0,0.0,0,,
35,2021-06-05 01:28:26 India Standard Time,farhadbabaei,"TEHRAN- IRAN: A Child labour is looking through the trash In front of a presindetal elections campaign. Presidential elections in Iran will be held on June 18, 2021.  #iran #tehran #streetphotography #documentaryphotography #election #iranian_election #covid_19  https://t.co/ndPKf0wrZn",en,0.0,0.0,6,,
36,2021-06-05 01:25:13 India Standard Time,denzaban,"@CentenaryBank Lord, but these are consequences of covid",en,0.0,0.0,0,,
37,2021-06-05 01:14:27 India Standard Time,marinebharat,Pakistan’s AJM Pharma to manufacture CanSinoBio COVID 19 vaccine.  Karachi based AJM Pharma manufactures India’s CIPLA branded medicines in Pakistan.  #TheIndianCapitalist,ro,0.0,1.0,21,,
38,2021-06-05 01:13:11 India Standard Time,akbhagi,@narendramodi Those who are wasting it should be treated firmly. This is anti national activity and must be taken as violation of Covid protocol. 🙏,en,0.0,0.0,0,,
39,2021-06-05 01:13:02 India Standard Time,kurmasathya,#ఆరవ_రోజు_జీవై_ఫౌండేషన్_కోవిడ్_రక్ష_టీమ్_నెహ్రూ_నగర్_కాలనీ_లో_సానిటైజేషన్  6th day of street Sanitization in Nehru Nagar Colony of SLP 106 Division With the help of GY Foundation and Raju Shetty Kuruma Covid Raksha Team.  #6thDay #Sanitization #GYFoundation #NehruNagar  https://t.co/OyUndqN4Jh,en,1.0,0.0,7,,
40,2021-06-05 01:12:30 India Standard Time,barotlavanya,We can't give board exam in this mid covid situation. It's like playing with our life. Modiji should take the decision carefully for the students. #WestBengal #NoExams #CancelBoardExam2021,en,0.0,1.0,1,,
41,2021-06-05 01:06:28 India Standard Time,iam_abhishek_sh,"According to the instructions of Leader of Opposition Tejashwi Yadav ji, Covid kit is being distributed continuously in different areas of Jehanabad constituency by youth RJD state secretary Sonu Yadav (Radhe) ji @yadavtejashwi @sanjuydv @laluprasadrjd @RJDforIndia @RJD4Yuva  https://t.co/N4lZqBvdle",en,0.0,0.0,8,,
42,2021-06-05 01:05:08 India Standard Time,rawanalnamlah,🌍 أثرت جائحة COVID-19 سلبًا على الصحة النفسية والعقلية في جميع أنحاء العالم، حيث كان للوباء تأثير على الشباب بشكل خاص. 📑 أجرت منظمة #OECD دراسة استقصائية حول COVID-19 والشباب، أظهرت الدراسة أن #الصحة_النفسية هي الأكثر قلقًا وتأثرًا بشأن تحديات الجائحة بالنسبة لهم. #MentalHealth  https://t.co/YF4E0eohld,ar,1.0,6.0,6,,
43,2021-06-05 01:01:25 India Standard Time,arpitshukla001,ABVP led DUSU and all ABVP College Units had been demanding fee waiver for students who lost their parents due to COVID in Delhi University! DU administration has decided for the same! We welcome this decision by DU and we stand with every student in this tough hour!  @ABVPVoice  https://t.co/k3BnBfXiw0,en,0.0,0.0,3,,
44,2021-06-05 00:56:10 India Standard Time,_abhinavsharma,"GOI estimates released on Monday show that India’s GDP contracted by 7.3% in 2020-21. While the pandemic has hit growth in countries across the world, several trends over the last decade show that the Indian economy was already worsening before Covid-19.   https://t.co/5Qutqc6HIl",en,0.0,0.0,2,,
45,2021-06-05 00:52:14 India Standard Time,bjp4mandisadar,#Covid_19 के चलते प्रदेश सरकार द्वारा घर पर आइसोलेट कोरोना से संक्रमित व्यक्तियों को उपलब्ध करवाई जा रही होम आइसोलेशन किट का वितरण कोटली में जिला परिषद मंडी अध्यक्ष पाल वर्मा जी के द्वारा किया गया ।   #HomeIsolationKit  https://t.co/HgQIliICAU,hi,0.0,0.0,0,,
46,2021-06-05 00:51:45 India Standard Time,ro_hitranjan,"In different areas of Jehanabad district, covid kit is being distributed continuously by youth RJD State Secretary Sonu Yadav ji and people are being given medical advice by organizing camps. @yadavtejashwi @laluprasadrjd @RJDforIndia @sanjuydv @ChitranjanGaga1 @TejYadav14  https://t.co/fM1fTXRkNv",en,0.0,0.0,8,,
47,2021-06-05 00:50:03 India Standard Time,sukant_media,"The Samaja, 4.6.2021 Sambalpur Municipal Corporation area is facing power cut everday. In Lockdown period life of people is miserable. Even COVID patients in home isolation are suffering a lot. The District Admn and Government should look into this matter. @CMO_Odisha @MoSarkar5T  https://t.co/H9weF9ccRn",en,0.0,0.0,4,,
48,2021-06-05 00:49:20 India Standard Time,milindtawde2,@VijaySales  My order fully 3 days back ... Got an invoice 2 days back and ur online order tracking shows processing ...spoke call centre 3 times in 3 days but they don't have a clue...Covid times..But why don't u manage ur delivery schedules  better. As a customer frustrating,en,1.0,0.0,0,,
49,2021-06-05 00:46:19 India Standard Time,srmpharma,World Environment Day is an initiative to spread awareness about the conservation and preservation of the environment.  #SavePlanetEarth #environmentday #ecofriendly #nature #ayurveda #ayush #gogreen #savetrees #environmentday2021 #covid  #savelife #diet #healthylifestyle  https://t.co/CF50huhlUa,en,0.0,1.0,0,,
50,2021-06-05 00:44:57 India Standard Time,mittal096,Our well deserved award for working tirelessly in covid. Govt's order to junior doctors to deposit bond amount of 10/30 lacs and and vacate the hostels immediately. How low they'll go?? #shameonMPgovt  #standwithdoctors  @revathii95 @vinodkapri @rohini_sgh  https://t.co/LB0ZK1KCQN,en,8.0,28.0,15,,
51,2021-06-05 00:43:21 India Standard Time,arunjunai3,Dear #indiangovernment score a fastest century against covid-19 for people of south India with vaccines...!! 😉 @PMOIndia @mkstalin @Udhaystalin @WHO @vijayanpinarayi @BSYBJP @ysjagan,en,0.0,0.0,0,,
52,2021-06-05 00:40:02 India Standard Time,shaunling,More than 90% entrepreneurs will suffer if MCO continues. 🥵 And it most likely to happen😱 so take care fellow #entrepreneurs in #malaysia.  Let's work together to survive this. 🤩  #lifegoeson #staysafe #stayathome #covid #iprimamedia #businesssurvival   @staronline  https://t.co/PzG0ngzdJN,en,0.0,0.0,1,,
53,2021-06-05 00:38:24 India Standard Time,salmanhassan__,@i__faryal Nh hogay fail Covid ki waja se grades protected hain Jo last semester mein grades aye usi k equivalent ayengay,ht,1.0,0.0,0,,
54,2021-06-05 00:37:45 India Standard Time,varaprasadk2,"Unemployment rate before Covid after Covid 📍   Mostly, Young Economist listen 📍  Not because Covid, the reason that criminal in our Indian Politicians📍  Quality less education what's the use📍  @V6News @PMOIndia @TelanganaCMO   Last since 2018 conveying to setup by step 📍 😂",en,0.0,0.0,0,,
55,2021-06-05 00:36:00 India Standard Time,ksharma2714,"Madhya Pradesh reports 798 new COVID-19 cases, 50 deaths in the last 24 hours",en,0.0,0.0,0,,
56,2021-06-05 00:35:42 India Standard Time,singhthepoet,"What happened with @Hemkunt_Fdn's covid relief tent is a black spot on the whole nation. The ones who are here to help us, their tents are destroyed by the goons. What a shame you RW.  #Covid19IndiaHelp #hemkuntfoundation #IndiaFightsCOVID19",en,1.0,0.0,1,,
57,2021-06-05 00:35:08 India Standard Time,premmonuyadav,"According to the instructions of Leader of Opposition Tejashwi Yadav ji, Covid kit is being distributed continuously in different areas of Jehanabad constituency by youth RJD state secretary Sonu Yadav (Radhe) ji @yadavtejashwi @sanjuydv @laluprasadrjd @RJDforIndia @RJD4Yuva  https://t.co/NTpDCqQNHb",en,1.0,0.0,14,,
58,2021-06-05 00:34:45 India Standard Time,erdevinderrana,#Covid_19 के चलते प्रदेश सरकार द्वारा घर पर आइसोलेट कोरोना से संक्रमित व्यक्तियों को उपलब्ध करवाई जा रही होम आइसोलेशन किट का वितरण नगर निगम मंडी के वार्ड नं० 6 सनयार्ड में करते हुए निगम पार्षद विरेंद्र सिंह आर्य जी ।  #HomeIsolationKit  https://t.co/harO88cxAs,hi,0.0,3.0,3,,
59,2021-06-05 00:34:32 India Standard Time,bjp4mandisadar,#Covid_19 के चलते प्रदेश सरकार द्वारा घर पर आइसोलेट कोरोना से संक्रमित व्यक्तियों को उपलब्ध करवाई जा रही होम आइसोलेशन किट का वितरण नगर निगम मंडी के वार्ड नं० 6 सनयार्ड में करते हुए निगम पार्षद विरेंद्र सिंह आर्य जी ।  #HomeIsolationKit  https://t.co/mJQ9EwqVx4,hi,0.0,0.0,1,,
60,2021-06-05 00:30:01 India Standard Time,bjp4mandisadar,#Covid_19 के चलते प्रदेश सरकार द्वारा उपलब्ध करवाई जा रही होम आइसोलेशन किट का वितरण नगर निगम मंडी की महापौर दीपाली जसवाल जी द्वारा नगर निगम मंडी के वार्ड नं० 10 सुहड़ा की निगम पार्षद नेहा वर्धन जी के साथ नगर निगम मंडी के वार्ड नं० 10 सुहड़ा में किया गया ।   #HomeIsolationKit  https://t.co/GAXzaM8zrY,hi,0.0,2.0,1,,
61,2021-06-05 00:29:27 India Standard Time,erdevinderrana,#Covid_19 के चलते प्रदेश सरकार द्वारा उपलब्ध करवाई जा रही होम आइसोलेशन किट का वितरण नगर निगम मंडी की महापौर दीपाली जसवाल जी द्वारा नगर निगम मंडी के वार्ड नं० 10 सुहड़ा की निगम पार्षद नेहा वर्धन जी के साथ नगर निगम मंडी के वार्ड नं० 10 सुहड़ा में किया गया ।   #HomeIsolationKit  https://t.co/VwbP7vtouR,hi,0.0,1.0,1,,
62,2021-06-05 00:29:19 India Standard Time,sandunarosha,"මේ විදිහට තමන්ගෙ නම දාලා බෙදන්නේ නිකං හම්බෙච්ච covid එන්නත්. සමහර ඒවා ගත්තේ  ඔබ හැමදාම ගෙවන බදු මුදලින් .  ඉතිං අනුන්ගේ ඒවා වලට තමන්ගේ නම දාගන්න අය ඔයාගේ ගමේ, නගරයේ ඉන්නවා නම් ඒ ඡායාරූප අපිට එවන්න . ඒ ඔක්කොම එක තැනක පල කරන්න අපි සූදානම් .😊  අනිත් අයටත් පේන්න මේක Retweet කරමු.  https://t.co/Kdswpd5Atq",si,7.0,80.0,164,,
63,2021-06-05 00:27:05 India Standard Time,virajgamre1,"I appreciate @mybmc for the effort in making the mumbai covid free but at the same time request you to take care of this potholes as the rainy season is awaited in 2 days,.  @mybmcWardHE  @AUThackeray  @YuvaShivSenaMH @mybmcRoads  https://t.co/cG2TlCBhb4",en,3.0,1.0,1,,
64,2021-06-05 00:25:42 India Standard Time,82tushar,"@alok_bhatt @ModifiedVinayak Please DO NOT follow @ModifiedVinayak as:  &gt; his level of humanity during the Covid times has touched many needy families  #TwitterIndia suspended his previous account as he spoke for the right.  FOLLOW... Vinayak if you feel, people like him are the biggest gift to humanity.",en,1.0,0.0,2,,
65,2021-06-05 00:23:43 India Standard Time,anilgoswami_ame,बात बहुत छोटी है But Important है.. In this second wave of Covid बहुत मौतें हुईं.. कितने तो पूरे परिवार ही खत्म हो गए! पर सरकारी System पूरी तरह फेल रहा! पता नहीं क्यों??? Jab की बहुत से समाज सेवकों ने अपने पर्सनल &amp; स्टाफ के Effort से बहुत Help की लोगों की खासकर गांवों मैं मदद की,hi,0.0,0.0,0,,
66,2021-06-05 00:20:50 India Standard Time,_rodahidup,"7 new community COVID-19 cases in Singapore, including new cluster linked to karaoke lounge manager   https://t.co/MahAR0hLsV",en,0.0,0.0,0,,
67,2021-06-05 00:17:07 India Standard Time,gloria_suncity,"Hundreds of residents, daily helper are getting Covid vaccination @gloria_suncity via @ApolloBangalore at a reasonable cost. Thanks to all residents for coming forward and helping in making our society COVID resistance.  #COVIDSHIELD  https://t.co/1HD0tyyXUQ",en,1.0,2.0,1,,
68,2021-06-05 00:13:47 India Standard Time,vipin_pandey05,@srinivasiyc @IYC Congress is more dangerous than a pandemic lik covid😂😂😂😂😂😂,en,0.0,0.0,0,,
69,2021-06-05 00:11:46 India Standard Time,_rodahidup,"People rejected, allergic to Pfizer-BioNTech or Moderna vaccines to be reimbursed if they get Sinovac COVID-19 jab at private clinics   https://t.co/xsYnsnwM9i",en,0.0,0.0,0,,
70,2021-06-05 00:08:14 India Standard Time,newsnhf,"04/06/2021, Shah Times, Page No. 4. सभी सहयोगी संस्थाओं का धन्यवाद जिनकी वजह से हम यह कार्य कर पाए। Thanks to all the collaborating Organizations that enabled us to do this work. #shahtimes #rationdistribution #lockdown #humanity #nhf #nhfnews #mohitvalecha #delhi #corona #covid  https://t.co/7WCZQ4pyqt",und,0.0,0.0,0,,
71,2021-06-05 00:07:26 India Standard Time,ranjan2506,@officecmbihar  If the mis - management of COVID is over @NitishKumar and running away from accountability towards #PeopleOfBihar is done then kindly @PiyushGoyalOffc provide Electricity 24 hours in patna @barandbench as RIGHT to ELECTRICITY is our basic necessity. @suchetadalal,en,0.0,0.0,0,,
72,2021-06-05 00:03:57 India Standard Time,vasanmsv,It is people’s money and should be spent for the people. Is Modi paying from his grand father’s pocket?  Another thug life moment by Dr PTR   Should Covid Vaccines Be Free For All? Tamil Nadu Finance Minister Palan...  https://t.co/nfPixf75ph via @YouTube,en,0.0,1.0,1,,
73,2021-06-05 00:02:41 India Standard Time,saradabhol,"Dear Sir,  I request to you allow to all MLM sector to build their team and  business(as per covid norms) because this time is very cretical time for all people so that I think all types of problems can solved in this platform for people to grow their income&amp; National growth also",en,0.0,1.0,1,,
74,2021-06-05 00:02:34 India Standard Time,sabg_98,"@Kaushik05993531 @dmuthuk @itisprashanth Yow military, 33 lakhs ku ITC shares ah. I don't think it's going to rise. Heavy cash reserves. No reinvestment plan. Covid - hit hospitality &amp; stationery business. Invest in better growth stocks (HDFC Life, United Spirits,  Britannia, TCS, Asian Paints, Pidlite, Titan) 12% CAGR",en,1.0,0.0,2,,
75,2021-06-04 23:59:15 India Standard Time,nadzwareina,"One fine day when this Covid is over, i'm gonna repeat this trip and shout, 'Istanbul aku datang lagi!'  https://t.co/P0qRU7cRsD",en,0.0,3.0,7,,
76,2021-06-04 23:55:01 India Standard Time,tabrezkhansab92,"#Alhamdulillah 33rd day of @KhidmatEMillat team distribute food package to #COVID patients attenders in QP, Maridan L, Tipu Sultan, Mannur, GIMS, Turman Cc Hospital's Gulbarga under the leadership of @Wahaj_Baba.  #COVIDEmergencyIndia #SecondWaveofCovid  https://t.co/CUv1ZVnAmz",en,1.0,1.0,7,,
77,2021-06-07 05:22:58 India Standard Time,izullk,Kena covid 🤭,en,0.0,0.0,1,,
78,2021-06-07 05:18:25 India Standard Time,imagestilista,"You are precious, so is everyone around you! We are in this together! Let's beat COVID! Let's get vaccinated!  #TTC #ttc #goodvibrations  #imageconsultants #softskillstraining #covid19 #vaccination #staysafe  https://t.co/WBaxiLgTc6",en,0.0,0.0,2,,
79,2021-06-07 05:17:10 India Standard Time,ajiqcorn,"Panic buying is a must actually sebab siapa sangka, tiba-tiba kang tutup sebab covid la, kena tutup sebab tak ikut SOP la, dipaksa tutup sebab Miti la dan bla bla bla. Penat jadi rakyat yang tiada kuasa dan duit rasuah.",in,0.0,0.0,0,,
80,2021-06-07 05:15:52 India Standard Time,afiqbruhh,@amarflexi92 Selagi mana ada yg tak nampak covid is real selagi tu ada yg selfish,in,1.0,0.0,1,,
81,2021-06-07 05:12:01 India Standard Time,sbdanish,"Because of fudged figures, orphans, families, etc. are not getting the aid they need to, as they were not considered #COVID19 #deaths in #India. Public should understand, when actual #covid deaths aren't reported, whatever aid you announce, that will not reach all those impacted.  https://t.co/gwifcbosVG",en,0.0,0.0,2,,
82,2021-06-07 05:11:54 India Standard Time,nextceomuda,Jawa timur lagi naik kasus covid. Agak worry buat k sidoarjo sm bromo nic,in,0.0,0.0,0,,
83,2021-06-07 04:51:03 India Standard Time,sipgrab,Hundreds of former leaders urge G7 to vaccinate poor against COVID-19  https://t.co/tPNU4zgRvg #Sipgrab #UnitingPeopleWithThePossibilities,en,0.0,0.0,0,,
84,2021-06-07 04:40:23 India Standard Time,pawan0bhardwaj,"@HindWarrior2 @richapandey @ArvindKejriwal @msisodia @BJP4Delhi @adeshguptabjp @praveenskapoor @Rajan_Tewari @HarishKhuranna @GautamGambhir @Gupta_vijender @dushyanttgautam @hdmalhotra @kuljeetschahal @BJP4India @AmitShah Ye petition h c...bana raha h Sisodia Education k naam pe kya bola in covid Pendamic we helped jin k children r studied in private Schools we care about this , Schools don't take full fee only tution fee  Kya hua Inn AAP eo ki kahi chalti h  Medical m to dikh gya or Education",en,1.0,0.0,0,,
85,2021-06-07 04:36:01 India Standard Time,mir_nrnmrh,"Tapi dia tu ada 1 kes dulu, before covid lagi. Tengok post ig dia pon dah sense something wrong. Aku cakao naim, naim cakap dia fahaman apa tah, taksub sangat. Nak sekali pasal vaksin ni all out betul. Takut betul😂",in,0.0,0.0,0,,
86,2021-06-07 04:31:48 India Standard Time,_nsir_,@ruthimanrique Otak tak stable laa mal. Kena press. Tak cukup tidur lagi. Rank lose  streak. Itu yang koyak tu 🤣 Kau kalau nak further degree nanti tunggu dah habis covid mal. Odl ni taik. Dia dengan moonton sama level 😌,in,0.0,0.0,0,,
87,2021-06-07 04:01:03 India Standard Time,andrew_stotz,"Good news of the day, 157,030,033 people worldwide have recovered from Covid-19.",en,1.0,0.0,2,,
88,2021-06-07 03:58:57 India Standard Time,hsingh013,@CanadainIndia @CitImmCanada @nadirypatel @DKentCAN WE WANT ANSWER TO OUR QUESTIONS NOW. WHAT IS STOPPING YOU FROM RESUMING PASSPORT STAMPING SERVICES? CURFEW IN DELHI? OR COVID IN DELHI?  BOTH OF THE THINGS ARE NOW A “PAST”. BUSINESSES HAVE RESUMED. ACT WISELY🙏🏻  @vfsglobalcare,en,0.0,0.0,0,,
89,2021-06-07 03:54:20 India Standard Time,aqalsher3,saudi arab may kohi bahi ko covid 19 ویکسین  nahi milta hay to yi software  kay zarigy mill sakhta hay  https://t.co/WPRml7J3AW,tl,0.0,0.0,0,,
90,2021-06-07 03:32:56 India Standard Time,bachansirohi,Meerut is one of the 4 districts of UP where covid curfew continues beyond 7th Jun 21?,en,0.0,0.0,0,,
91,2021-06-07 03:32:19 India Standard Time,sudipta47527945,Every month more than one of my circle of people is dying due to Covid. Still vaccination process is very slow. Many frontline Corona Warriors have not yet been vaccinated. The Government needs to be further improved the vaccination policy.,en,0.0,0.0,0,,
92,2021-06-07 03:15:20 India Standard Time,bharathadepu2,COVID-19 has been devastating so far making many kids as orphans! I hope the Authorities will look into the matter and help the innocent children! @KTRTRS @blsocialwelfare @SocialWelfareBd @PamelaSatpathy @trsharish @revanth_anumula @Collector_WGLU @ManoVikasa @SrinivasThoutam,en,0.0,0.0,0,,
